generation,occupancy,unique_genomes,mean_fitness,entropy
0,0.099853515625,16,0.5103911980440098,3.9739064404233377
1,0.4228515625,16,0.5294457274826789,3.9650576758722265
2,0.735107421875,16,0.5586183992029227,3.9373483028447716
3,0.89501953125,16,0.5733769776322968,3.9199305481907203
4,0.960205078125,16,0.5765954741927282,3.9171133831637
5,0.984130859375,16,0.5777102455966261,3.9168943168828667
6,0.99560546875,16,0.5790828837665523,3.9136655124224737
7,0.998046875,16,0.5793786692759295,3.914510187835807
8,0.998779296875,16,0.5788926912735273,3.9144066076389445
9,0.999267578125,16,0.5776325433667236,3.9173065368852535
10,1.0,16,0.57830810546875,3.915584754050846
11,1.0,16,0.57763671875,3.915853692110951
12,1.0,16,0.57745361328125,3.917349273867546
13,1.0,16,0.57586669921875,3.9192107689927367
14,1.0,16,0.57574462890625,3.9184207125641954
15,1.0,16,0.57464599609375,3.9200568103703155
16,1.0,16,0.5733642578125,3.9220069362549785
17,1.0,16,0.57318115234375,3.92212035442781
18,1.0,16,0.57379150390625,3.9211326072633437
19,1.0,16,0.57403564453125,3.9207166337032735
20,1.0,16,0.573486328125,3.9216763435491995
21,1.0,16,0.57196044921875,3.9240954695942465
22,1.0,16,0.572265625,3.9233692189596785
23,1.0,16,0.57037353515625,3.9265263053926684
24,1.0,16,0.56982421875,3.9286298509669644
25,1.0,16,0.5693359375,3.93008660225067
26,1.0,16,0.56884765625,3.9319354877802204
27,1.0,16,0.56744384765625,3.9356412583492455
28,1.0,16,0.568603515625,3.9333915904835046
29,1.0,16,0.56683349609375,3.935420446512039
30,1.0,16,0.56536865234375,3.9385536595435524
31,1.0,16,0.56341552734375,3.941313904585921
32,1.0,16,0.56378173828125,3.9417773256248063
33,1.0,16,0.56268310546875,3.9440737607909675
34,1.0,16,0.55999755859375,3.9489281734498927
35,1.0,16,0.55975341796875,3.949992118810865
36,1.0,16,0.55804443359375,3.952704462745931
37,1.0,16,0.55877685546875,3.952197878311769
38,1.0,16,0.558349609375,3.9531609136078085
39,1.0,16,0.55938720703125,3.952112556402299
40,1.0,16,0.55792236328125,3.954227513774903
41,1.0,16,0.55877685546875,3.9528950322192076
42,1.0,16,0.55975341796875,3.951711852059426
43,1.0,16,0.5582275390625,3.95341847564164
44,1.0,16,0.5572509765625,3.9544603085169423
45,1.0,16,0.55682373046875,3.9565750393937638
46,1.0,16,0.55474853515625,3.958798516393929
47,1.0,16,0.5545654296875,3.9582391867438114
48,1.0,16,0.55535888671875,3.958229990038232
49,1.0,16,0.554931640625,3.9595363983913776
50,1.0,16,0.55450439453125,3.9603901317047363
51,1.0,16,0.55267333984375,3.9629267048962458
52,1.0,16,0.55401611328125,3.959793947240589
53,1.0,16,0.5533447265625,3.9609366156628174
54,1.0,16,0.5548095703125,3.95936303423621
