treatment,cost,population_mean,population_std,mean_d_mean,mean_d_std,std_d_mean,std_d_std,maladaptation_mean,maladaptation_std,trait_variance_mean,trait_variance_std,trait_env_corr_mean,trait_env_corr_std
moving,0.0,900.0,0.0,5.346666666666667,0.16951273669324893,0.7760772300945425,0.02980433120547515,0.12197914756377497,0.0026529876128964128,0.11271380735902302,0.005665002600320086,0.48763981916862287,0.022608272648001894
moving,0.2,900.0,0.0,3.9492592592592595,0.09065150563146208,1.126629865960086,0.03464549440736066,0.11946387056575451,0.0011417164569114333,0.10200325227969653,0.0019302773074924273,0.4766210752764097,0.008368171975428428
moving,0.5,900.0,0.0,2.632222222222222,0.08604477731799728,0.772037095220505,0.04188976094338573,0.13221381082519154,0.0024359610773719152,0.09997768315599813,0.003374934185023563,0.4153307225000045,0.01867697719341429
moving,1.0,900.0,0.0,1.9592592592592595,0.06227510979847021,0.704304787822891,0.08568561908417793,0.14090462068811116,0.008355887450288906,0.08332736883034263,0.0027147233064274893,0.33074814548787373,0.03737962630242052
static,0.0,900.0,0.0,3.9196296296296302,0.1884319090869165,1.1485344542694842,0.03327509611558734,0.019092982259986336,0.00022503754875908554,0.1222367338120059,0.003647100017515968,0.9231043176580146,0.0013842398652625248
static,0.2,900.0,0.0,2.2885185185185186,0.12447089665952556,0.8670723409978747,0.049764257885014145,0.016981201264394792,0.0017553855537630876,0.1211047741852352,0.0032716316779381246,0.9312872424056754,0.006411458953051925
static,0.5,900.0,0.0,1.6444444444444446,0.0651778194491664,0.6737973077493201,0.04224536653339825,0.015538281707874281,0.0020178633594041475,0.11964850206803428,0.0020520918379983186,0.9367399660136524,0.008509928174918472
static,1.0,900.0,0.0,1.1525925925925926,0.058122192838979535,0.3741342666597662,0.0785800988754657,0.015763497746076428,0.0007384353355171654,0.117783741958376,0.0024175386663151466,0.9359522879785179,0.0027227017702202913
