treatment,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,0.5,1,80,900,2.5411111111111113,0.9680902671921141,0.4977209564429764,0.1493529549977293,0.09945837079602465,0.3368182503398051
moving,0.5,1,100,900,2.7344444444444442,1.0303894744880708,0.5117088320447739,0.11749280182682272,0.09845308756332188,0.47819496296691405
moving,0.5,1,120,900,2.6266666666666665,0.943138967019766,0.5084507766929219,0.12500299773090606,0.09756333147867086,0.4420412090506136
moving,0.5,1,140,900,2.522222222222222,0.8059194580350484,0.5014887518213854,0.1357089173409082,0.09569869205164609,0.38854381516144154
moving,0.5,1,160,900,2.4477777777777776,0.7091039381231277,0.5144691226568643,0.12679356183727267,0.09159632293367086,0.42060744158252084
moving,0.5,1,180,900,2.5655555555555556,0.8035561393803189,0.4985686727029841,0.1347923106214321,0.09256171097058713,0.3847510991764722
moving,0.5,1,200,900,2.69,0.8072656178593126,0.49259496683859255,0.13022986482043952,0.10187267852465694,0.4284518742774586
moving,0.5,2,0,900,3.4455555555555555,1.6807181739503247,0.5030852137642712,0.20853374939798244,0.08745253236586457,0.01878596967798232
moving,0.5,2,20,900,2.8544444444444443,1.4228032667246968,0.49405669073562053,0.09201824821953533,0.09687978904193573,0.5901970998786974
moving,0.5,2,40,900,2.64,1.099171405094664,0.5052352069730077,0.12602068930861723,0.10085022164165786,0.4446873974417003
moving,0.5,2,60,900,2.6222222222222222,0.8547615363074178,0.5186133261883775,0.12694238183481452,0.10278978130586072,0.44636914765376934
moving,0.5,2,80,900,2.5566666666666666,0.8206433790359583,0.5114153040580988,0.12779893852819713,0.09687053369473647,0.4280345581203229
moving,0.5,2,100,900,2.6044444444444443,0.8622852210661712,0.5004453502664189,0.13694622764948922,0.09129004031687572,0.37137909157950943
moving,0.5,2,120,900,2.6344444444444446,0.916958875984585,0.5194832098253318,0.11759663381097059,0.09121046426332084,0.4635525975837257
moving,0.5,2,140,900,2.6433333333333335,0.9336368554088778,0.5242964376232792,0.12316120434529722,0.09496370558553721,0.4469542836698977
moving,0.5,2,160,900,2.6977777777777776,0.7801677565723039,0.5146102098098037,0.12580652610310858,0.08441570055972374,0.40800424373021255
moving,0.5,2,180,900,2.6133333333333333,0.7098043548909955,0.5114799686889204,0.12524638217847675,0.09080267796686763,0.4256139978601139
moving,0.5,2,200,900,2.6733333333333333,0.7831276325662944,0.5122752535593327,0.1314789731667994,0.10197924043348477,0.4235926298414276
moving,1.0,0,0,900,3.5166666666666666,1.7277956412081197,0.4950374560120225,0.20641736263767504,0.07808214439048795,-0.016755010909998206
moving,1.0,0,20,900,2.562222222222222,1.4573627457978697,0.512607010316295,0.0907095430193154,0.08864384222282012,0.5846889692385396
moving,1.0,0,40,900,2.0588888888888888,1.0402344227725728,0.509232291240061,0.14491036868025814,0.10450744189247811,0.37045381997573307
moving,1.0,0,60,900,1.93,0.7864053238205686,0.49630773003393097,0.1382792670133114,0.10242558143635994,0.39398581138566535
moving,1.0,0,80,900,2.0433333333333334,0.680938894305339,0.48051283109895837,0.14364840677932755,0.11192368470954944,0.3958996289306225
moving,1.0,0,100,900,2.0877777777777777,0.7379141440239625,0.4826835817317263,0.15452228637281828,0.1048078131603459,0.330183980175101
moving,1.0,0,120,900,2.198888888888889,0.7640527097065206,0.4817549256420974,0.1546155553328332,0.09956881543658067,0.31500905541656055
moving,1.0,0,140,900,2.2444444444444445,0.8314794192830981,0.5391819186780977,0.15342175062918698,0.09413343604550202,0.30996693111006873
moving,1.0,0,160,900,2.098888888888889,0.8590685452465937,0.517213148730441,0.14389690477333494,0.09467955030104108,0.3496643420670636
moving,1.0,0,180,900,2.0277777777777777,0.7661632807956188,0.47973845288045464,0.14832949859543232,0.09296408165820057,0.32488918040595866
moving,1.0,0,200,900,1.9622222222222223,0.7606397567220456,0.49222612859089165,0.15055113057147995,0.0849207199860859,0.2884124864292476
