treatment,period,cost,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.0,False,0,0,900,3.608888888888889,1.7076068012438699,0.0,0.0,0.22372818486460763,0.0880198554095747,-0.05080033321543446
moving,90,0.0,False,0,20,900,3.938888888888889,1.5547914790124997,0.0,0.0,0.087827286216158,0.09811271832508378,0.610816186363646
moving,90,0.0,False,0,40,900,4.262222222222222,1.3532329829607461,0.0,0.0,0.11204835568470019,0.11276967558365666,0.5294549617414243
moving,90,0.0,False,0,60,900,4.658888888888889,1.1634617354586885,0.0,0.0,0.1149833664769887,0.11684275619056081,0.5248606130670029
moving,90,0.0,False,0,80,900,4.883333333333334,0.9337796551887625,0.0,0.0,0.1127788565021143,0.11401648902035055,0.529893791978634
moving,90,0.0,False,0,100,900,4.948888888888889,0.8257312509318223,0.0,0.0,0.11261545076671618,0.112101191299464,0.5260807237336774
moving,90,0.0,False,0,120,900,4.9911111111111115,0.8755499153794646,0.0,0.0,0.12152159027219939,0.11025666734762846,0.4872700564307116
moving,90,0.0,False,0,140,900,5.032222222222222,0.8794351441917171,0.0,0.0,0.11230016475410814,0.11117299966305492,0.5255914895597328
moving,90,0.0,False,0,160,900,5.224444444444444,0.7693158737347402,0.0,0.0,0.11681862548190323,0.1145365798730592,0.512810546396172
moving,90,0.0,False,0,180,900,5.277777777777778,0.6687929056272083,0.0,0.0,0.10991087462051088,0.10758116453396205,0.5289155954362696
moving,90,0.0,False,0,200,900,5.322222222222222,0.6687929056272083,0.0,0.0,0.11190434758275546,0.10828883148767202,0.5218341255967649
moving,90,0.0,False,1,0,900,3.5933333333333333,1.715018626397069,0.0,0.0,0.2115005048202904,0.08197880583087151,-0.02083525466340009
moving,90,0.0,False,1,20,900,4.154444444444445,1.5425563999133325,0.0,0.0,0.0844573443603989,0.09905006664647376,0.6272777570410302
moving,90,0.0,False,1,40,900,4.485555555555556,1.3931627575900105,0.0,0.0,0.11376176598336375,0.10474715350486771,0.5078329646065572
moving,90,0.0,False,1,60,900,4.647777777777778,1.3405411658296624,0.0,0.0,0.11933036249605362,0.10980034680888796,0.4948325996986935
moving,90,0.0,False,1,80,900,4.8133333333333335,1.248394524534968,0.0,0.0,0.12338633259247653,0.11350137394089473,0.48340128306420904
moving,90,0.0,False,1,100,900,4.992222222222222,1.0888044184923182,0.0,0.0,0.11639923033035122,0.11807693849678995,0.5219229277543868
moving,90,0.0,False,1,120,900,5.133333333333334,0.9486832980505138,0.0,0.0,0.11786899127408125,0.11557691861670283,0.5116579561733374
moving,90,0.0,False,1,140,900,5.2877777777777775,0.8003232371677191,0.0,0.0,0.1158904942025738,0.11283002740983089,0.5139159332401693
moving,90,0.0,False,1,160,900,5.387777777777778,0.7598724714315594,0.0,0.0,0.11688796335759728,0.1130284565593769,0.5095805528844054
moving,90,0.0,False,1,180,900,5.486666666666666,0.712460525222275,0.0,0.0,0.13089048363125658,0.12289103256764947,0.4720317950545704
moving,90,0.0,False,1,200,900,5.558888888888889,0.674848862823611,0.0,0.0,0.12127174753063863,0.1185394379152914,0.504440880012856
moving,90,0.0,False,2,0,900,3.537777777777778,1.7210189344802416,0.0,0.0,0.20795137928301838,0.08177176137138116,-0.005771654908435378
moving,90,0.0,False,2,20,900,4.157777777777778,1.6598512502147615,0.0,0.0,0.08685747473997081,0.10084565838568339,0.6189671721572715
moving,90,0.0,False,2,40,900,4.584444444444444,1.4721798736047553,0.0,0.0,0.10895985568769226,0.10107221273863742,0.5209741061530989
moving,90,0.0,False,2,60,900,4.862222222222222,1.1454817305665457,0.0,0.0,0.11702876526320752,0.10377346176459977,0.4922689701372724
moving,90,0.0,False,2,80,900,5.086666666666667,1.037753984975887,0.0,0.0,0.11988214072343065,0.10419012208430853,0.47892820625919724
moving,90,0.0,False,2,100,900,5.31,0.9119636932344279,0.0,0.0,0.1251825241949723,0.11016627617429735,0.4687910185889812
moving,90,0.0,False,2,120,900,5.358888888888889,0.9586326424704495,0.0,0.0,0.11230156404477193,0.11338107243683224,0.5296945189362275
moving,90,0.0,False,2,140,900,5.262222222222222,1.0594105046128013,0.0,0.0,0.12063669422306883,0.11047392167787494,0.4909004963133104
moving,90,0.0,False,2,160,900,5.378888888888889,1.0539865531974246,0.0,0.0,0.10860372777472044,0.11928137528783447,0.5556603639586662
moving,90,0.0,False,2,180,900,5.4511111111111115,0.9158171147419778,0.0,0.0,0.12544896974431982,0.11836346104443872,0.48475325721689433
moving,90,0.0,False,2,200,900,5.475555555555555,0.8235844571291346,0.0,0.0,0.1162700915549177,0.11142489184433546,0.509055406918606
moving,90,0.0,False,3,0,900,3.4455555555555555,1.714750458755579,0.0,0.0,0.21526438403131998,0.08425958411700449,-0.027460707863999987
moving,90,0.0,False,3,20,900,3.9444444444444446,1.552496993098617,0.0,0.0,0.08793782607880321,0.09977515902911863,0.6130108549280198
moving,90,0.0,False,3,40,900,4.29,1.3909668899326428,0.0,0.0,0.12245207978052185,0.09640182233522962,0.45070326329843474
moving,90,0.0,False,3,60,900,4.764444444444444,1.2383062905177389,0.0,0.0,0.11075026747051454,0.09725123839786591,0.5056522033479142
moving,90,0.0,False,3,80,900,5.113333333333333,0.974360188933116,0.0,0.0,0.10832679375558346,0.10903132530910549,0.5390864413160301
moving,90,0.0,False,3,100,900,5.2444444444444445,0.7833136325339807,0.0,0.0,0.12069537779597848,0.11964907883435189,0.5067843329339113
moving,90,0.0,False,3,120,900,5.2444444444444445,0.8234225472732847,0.0,0.0,0.1106806230922452,0.11836727178754365,0.5457423166162875
moving,90,0.0,False,3,140,900,5.181111111111111,0.863763656517793,0.0,0.0,0.11921642873233039,0.114779152534734,0.5035941347828977
moving,90,0.0,False,3,160,900,5.127777777777778,0.8921295095043069,0.0,0.0,0.12061947758013555,0.11417528510813406,0.4964519419958287
moving,90,0.0,False,3,180,900,5.145555555555555,0.8218760532547351,0.0,0.0,0.11640405835820652,0.11375967234911862,0.5145021783034722
moving,90,0.0,False,3,200,900,5.182222222222222,0.8097431386663823,0.0,0.0,0.11938917561699251,0.11377267440237868,0.5005445603585493
moving,90,0.0,True,0,0,900,3.431111111111111,1.6940185257051055,2.4249730648541123,1.4352810831996496,0.2128692314365234,0.08722148381729743,-0.003098532902377374
moving,90,0.0,True,0,20,900,3.87,1.5619752452157065,2.333494687090531,1.4417570727884428,0.0894188840448569,0.1088782751353718,0.6194115726248653
