treatment,period,cost,evolvable_plastic,population_mean,population_std,mean_d_mean,mean_d_std,std_d_mean,std_d_std,mean_plastic_mean,mean_plastic_std,std_plastic_mean,std_plastic_std,maladaptation_mean,maladaptation_std,trait_variance_mean,trait_variance_std,trait_env_corr_mean,trait_env_corr_std
moving,90,0.0,False,900.0,0.0,5.384722222222222,0.16683047505599038,0.744242341061584,0.08385224703463327,0.0,0.0,0.0,0.0,0.11720884057132608,0.004093896654492478,0.1130064589124194,0.004318885108175187,0.508968743221694,0.00925552045003044
moving,90,0.0,True,900.0,0.0,5.581111111111111,0.22015333227533504,0.6241426089658381,0.1171560316925827,1.912695739471824,0.5683893389244151,1.1441304334248337,0.14749407678375417,0.11901904598934909,0.0018709471504332463,0.11232149233655113,0.002727249329466712,0.4994317052507148,0.012466066026205848
moving,90,0.3,False,900.0,0.0,3.1805555555555554,0.10405166491312583,0.8513298925876279,0.07267725972463866,0.0,0.0,0.0,0.0,0.12192741619042524,0.008603700225906256,0.10387304607363096,0.011588958933440042,0.47091959284970886,0.023822291627875063
moving,90,0.3,True,900.0,0.0,3.2705555555555557,0.28479795740701863,0.9761983049151588,0.07891615886964705,1.2674728351860471,0.171643222248614,0.8838357139190973,0.23003102078247042,0.12387463396984494,0.005346628406666676,0.10717150433565101,0.002068356516479657,0.46797347259349276,0.020829732339577998
moving,90,0.6,False,900.0,0.0,2.394722222222222,0.12186268667353511,0.6855403259800621,0.07728589199002676,0.0,0.0,0.0,0.0,0.13746068976077502,0.009759326394791488,0.09172225873168728,0.005229816538471684,0.37071851639094994,0.04248509196980171
moving,90,0.6,True,900.0,0.0,2.5261111111111108,0.10983152080783969,0.8306997977067853,0.12285462875739622,1.1246720525435692,0.1381949002062254,0.7511965400576884,0.1724367088042035,0.130909787535884,0.00865490037120078,0.09626449231059077,0.016892910868790006,0.41010562102162257,0.07523663579978354
static,-1,0.3,False,900.0,0.0,2.084722222222222,0.07205036532893447,0.7455477048112298,0.06698359333636779,0.0,0.0,0.0,0.0,0.016648875831183907,0.0011077763375986341,0.11404830524751218,0.004325205859680314,0.9316345877427431,0.004590680735713951
static,-1,0.3,True,900.0,0.0,2.1058333333333334,0.11207131400973373,0.80213234801227,0.048940107523521334,1.8819725491094554,0.41824392198242216,1.2015871238886875,0.21860777710304954,0.014428072456202921,0.000588992226749745,0.12133647408290632,0.000793200845183631,0.9416019514307306,0.0023231067214585857
