treatment,bias,replicate,generation,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
moving,0.0,1,140,900,2.1844444444444444,0.9929653805211842,2.3865348671719477,1.389141032182339,1.594023821029571,0.3747527542102985,0.6209026613043218,0.1986261437550455,0.1305273651419238,0.0918289856561235,0.4032523304011595
moving,0.0,2,0,900,3.43,1.7187172219096687,2.579532089402508,1.4237037564635655,0.9732308558101384,0.5847968644313953,0.2506846729279341,0.1439622359320551,0.2020939035958877,0.0815934606686104,0.0222871835297758
moving,0.0,2,20,900,2.74,1.6114727563457114,2.541409572743784,1.51864729206931,1.1275573046109666,0.5447144249212085,0.3401407024989611,0.1616478961524863,0.0960558621804991,0.0907545329320174,0.5620529150006256
moving,0.0,2,40,900,2.545555555555556,1.4426565858482598,2.411995005752132,1.499601541423867,1.225169670986926,0.5570576719906625,0.4130965978138164,0.1547293253269288,0.1320272723451565,0.1015465432082278,0.4198854580801425
moving,0.0,2,60,900,2.698888888888889,1.4412181918582665,2.3634738198012726,1.350632695214741,1.3521529187490948,0.5298942467387312,0.4710494248696153,0.1697719394778901,0.1425523477636416,0.0996402037080224,0.3677758627591615
moving,0.0,2,80,900,2.8455555555555554,1.247901448308863,2.4929787570405684,1.192776821414166,1.3807021243232909,0.5009039609518011,0.5260883106776517,0.1706106132872906,0.1315436778793239,0.0964222582114459,0.4095321479957924
moving,0.0,2,100,900,2.81,1.1276869147852069,2.326906977188669,1.273242098022418,1.456846775228385,0.4117958383770533,0.5823682051266675,0.1777943357433093,0.1330866016077072,0.0899098880923423,0.38611699384025
moving,0.0,2,120,900,2.6644444444444444,1.1267762383712323,2.136084296557985,1.3766076878205042,1.5048491790969487,0.3548659884672391,0.6611288015411526,0.1872433709485361,0.1235443807480188,0.0902719804664361,0.4319499486324892
moving,0.0,2,140,900,2.601111111111111,1.1283217079110062,2.2445836376138324,1.394840895052818,1.567293452294353,0.358238114922418,0.71824046530545,0.1789267009139967,0.1353321475564047,0.092528400893497,0.3850895857591718
moving,0.15,0,0,900,3.581111111111111,1.743903313097403,2.445276314092359,1.481945118285261,0.9920884918771976,0.5715612736298625,0.2517122926280992,0.1413414357527369,0.2050582772915082,0.0826891849552122,0.0160776675149865
moving,0.15,0,20,900,2.64,1.6651192816799107,2.544391773980888,1.566176602063283,1.2182682156536953,0.5272838951509115,0.3256343050525129,0.1635741466388256,0.0965879020777288,0.0995254760601704,0.5747669388872048
moving,0.15,0,40,900,2.0411111111111118,1.381415895573527,2.6534878106606,1.5259098015828871,1.2937636055087545,0.4646890294062541,0.4094435401858795,0.1734561400375262,0.1371042338988901,0.1027564237259894,0.4018124870925799
moving,0.15,0,60,900,1.8044444444444443,1.0422103766206716,2.9259239107748485,1.495404718381533,1.3435924746057748,0.4085722773944591,0.4608745852333117,0.1809758643634584,0.1373862338763029,0.0922057528738183,0.372777103938685
moving,0.15,0,80,900,1.9111111111111112,1.0159226178366632,2.8778872366194537,1.5052388938853132,1.424422237122135,0.400127187947183,0.5211838003541133,0.1927199390854203,0.1313689194468547,0.0988033422678106,0.4169144115486509
moving,0.15,0,100,900,1.94,1.043902932907717,2.8034665886344494,1.4758955009909296,1.3915030819802154,0.3884747312578088,0.5558549676263582,0.1892246538700178,0.1430173369066505,0.0988541525211303,0.3637769659630286
moving,0.15,0,120,900,1.8388888888888888,0.8991594154102974,2.6846208459001795,1.4579928766446508,1.3052548914777586,0.3714823541513158,0.5959565522428046,0.1929696181060253,0.1303016625026549,0.0905928606019957,0.4007488277796742
moving,0.15,0,140,900,1.8144444444444443,0.8628198100944124,2.5257565725551534,1.460760364350279,1.280135014487708,0.375500733202611,0.5980839220273125,0.1931988972682113,0.1236102429462353,0.0767552742335408,0.3989182711621224
moving,0.15,1,0,900,3.462222222222222,1.673889534240389,2.422053034362908,1.475062611177452,0.9950843983380712,0.5821976958458107,0.2446840679377422,0.140922790858202,0.2117359527470204,0.0861147791052739,-0.0027730018025847
moving,0.15,1,20,900,2.6644444444444444,1.5707967625176094,2.302312191323725,1.4783738847698171,1.2455539812422176,0.540302882706999,0.3248882972265569,0.1505899210377408,0.0992469250575912,0.0986971152448118,0.5602520095308717
