treatment,bias,replicate,generation,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
moving,-0.3,1,120,900,2.922222222222222,0.8475818908686021,1.80444603276036,1.0320910192647785,0.7626357310741184,0.3904301059034919,0.7813900071495072,0.1779413050130473,0.132203775120223,0.12245371870186333,0.4658323752909298
moving,-0.3,1,140,900,2.84,0.7908926040311106,1.7769732886879637,0.9560529629722808,0.7800586848461529,0.3906756039320331,0.7914715275134786,0.1750304647559327,0.13271547827974722,0.11822280303188916,0.45471726371742927
moving,-0.15,0,0,900,3.53,1.6773623473908208,2.4405918487549516,1.4444610165977898,1.0073636305353928,0.5781433647656053,0.25929318171250526,0.14134375861447449,0.20076143725171927,0.0833480728604975,0.037163973074398414
moving,-0.15,0,20,900,2.8744444444444444,1.3452848612932098,2.2913532300116373,1.4477040449092577,1.2214300738124015,0.5547880219217577,0.3377480540160344,0.14645182029859674,0.09481365119552866,0.0944803311843699,0.573583881391774
moving,-0.15,0,40,900,2.6866666666666665,1.0602096228786289,2.3480775801467018,1.5020130639519904,1.2023348590949672,0.5300650256930773,0.4192994863668385,0.16644051176562624,0.12728395680760965,0.09668173567234316,0.4293491681388672
moving,-0.15,0,60,900,2.71,0.8241561340749295,2.735290389012568,1.5626927613110213,1.194296923106564,0.52465053974747,0.5135813431512841,0.17414588047458637,0.14330198686490223,0.09967545122515462,0.3647358419375312
moving,-0.15,0,80,900,2.7177777777777776,0.7791131393774702,2.8034190350590666,1.56410752466631,1.2160861234178701,0.5651250817979788,0.5942892499323963,0.20267833486349698,0.13212145993132787,0.1008158803931307,0.41732982023639686
moving,-0.15,0,100,900,2.6155555555555554,0.8412835578396609,2.7727912760018847,1.6605190394148892,1.2131579733746891,0.5732345751195497,0.6823588353004608,0.19405834562580537,0.13390582158349607,0.08950619274827104,0.38247064912874523
moving,-0.15,0,120,900,2.5211111111111113,0.8810340445489725,2.6680992075853296,1.7595699037005388,1.12988695121163,0.6233624485743693,0.7376603644682677,0.1956667014428729,0.1330588944441494,0.08403178397395909,0.37422470058342294
moving,-0.15,0,140,900,2.578888888888889,0.8890687318067952,2.7498539885668287,1.7520865609524565,1.1161444337103121,0.6839486170805654,0.741612825224417,0.18685623739950097,0.12847591292611593,0.0849309555915292,0.3955706900177063
moving,-0.15,1,0,900,3.3944444444444444,1.680929710415645,2.5131809289956184,1.4579081255803465,0.9685586699766863,0.5682084008803843,0.2541139117061719,0.14359381607678087,0.20831949437544076,0.08256518448450875,-0.0037091498604601733
moving,-0.15,1,20,900,2.862222222222222,1.3144139190594732,2.66888712386279,1.4255985835894172,1.0498482128237485,0.5427858537425158,0.36037048113208103,0.14282747365192688,0.09514972810657131,0.09156045451303534,0.5695485881484083
moving,-0.15,1,40,900,2.6755555555555555,1.2005842199262,2.6259219933074474,1.4224152458746204,1.1911417764027632,0.49250455052094727,0.4567915743679513,0.16398269300776663,0.1296352224722415,0.09074226194963278,0.40453840216704096
moving,-0.15,1,60,900,2.5766666666666667,1.0799742795291212,2.586050776258044,1.3123868437961093,1.3297756212112426,0.444201444523604,0.5432646739385911,0.18379771290650038,0.1297641739872519,0.10093711098806889,0.42818871317481816
moving,-0.15,1,80,900,2.568888888888889,1.0245480786337449,2.686227571098525,1.1857479415919474,1.3803767049533922,0.4489511166386526,0.6302269314725405,0.17999153378508903,0.125513675914825,0.10492574709693385,0.4562873908946397
moving,-0.15,1,100,900,2.4744444444444444,0.831606358683283,2.7601462669989623,1.0483017989305794,1.3966702911073692,0.4510381174787941,0.668866475437275,0.17149714588792223,0.133813837549918,0.10057586671797768,0.40921249834346085
