treatment,bias,replicate,generation,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
static,-0.3,2,20,900,2.84,1.449505662861193,2.4522841757561733,1.458612808667151,1.0791362822094284,0.5522042925233834,0.3840815343418672,0.15207935832726513,0.052977944400130365,0.09438434745422665,0.7662899314010145
static,-0.3,2,40,900,2.2888888888888888,1.1029701763314106,2.3925998599517064,1.4713176688569312,1.177391102582325,0.521639851318176,0.4804574486371746,0.1474775449539826,0.03063600937902753,0.10711815329772024,0.8721003894533602
static,-0.3,2,60,900,2.141111111111111,0.9724418799478677,2.557603257477079,1.442922479750611,1.1880967244860057,0.5145944400893678,0.5365469727669832,0.15494019050434707,0.020689220846869943,0.1134592331468498,0.9153632223857721
static,-0.3,2,80,900,2.026666666666667,0.8726460399905057,2.64504590967685,1.403340099497679,1.1534795126767659,0.5422687745220931,0.6005707793682493,0.17019738366852386,0.018578353938416926,0.11651166147524873,0.9239236843909227
static,-0.3,2,100,900,1.8922222222222222,0.7516984882810066,2.642824759797562,1.4042664797830626,1.1896184761928372,0.5228673782558418,0.651651775146055,0.1718510791134652,0.01668882575336343,0.11570802227947524,0.9313902623060629
static,-0.3,2,120,900,1.7966666666666666,0.7361989465415507,2.6051846174317155,1.4123356674297656,1.1968666958787462,0.5296084966288787,0.7048547821836898,0.16976529888702854,0.015032797756390978,0.12295541751325416,0.939446997261967
static,-0.3,2,140,900,1.65,0.647001631459389,2.6491139282881204,1.443179990869652,1.2027667761041165,0.516753724559005,0.7462778947352151,0.15550593806594207,0.01589235142911743,0.12162325092856348,0.9356479458476664
static,-0.15,0,0,900,3.4844444444444442,1.7239432261282794,2.4884154385662223,1.4482901675830004,1.0157741833510756,0.5736775365038644,0.25168183048075676,0.14503204210040635,0.21522373856562074,0.08300273511259895,-0.034775404068090904
static,-0.15,0,20,900,2.7133333333333334,1.4102954773143581,2.4295947983139223,1.4371162510556734,1.0797938964148373,0.5663116648931047,0.3586554388885733,0.13682007882807426,0.049862517482674173,0.09947437221283371,0.7833530476438411
static,-0.15,0,40,900,2.256666666666667,1.1650989466803048,2.5627315655725154,1.4123662841881366,1.0941601224924098,0.558837153551752,0.41686004994008496,0.13680240723353929,0.02591852359017333,0.10363899983749654,0.8913790077918383
static,-0.15,0,60,900,2.0055555555555555,0.9597292570895086,2.5012495417388094,1.4516959525286692,1.0678667167797318,0.5666171426833886,0.465757322030965,0.14931131912467543,0.01816712346153696,0.11371878159315517,0.9258433393412983
static,-0.15,0,80,900,1.8633333333333333,0.8795137545510272,2.45946617311343,1.3981359735196772,1.0667673841296277,0.5755571341015177,0.4896463242328597,0.15994991498097494,0.017015192720216017,0.12148495949840324,0.9311931693623186
static,-0.15,0,100,900,1.7522222222222221,0.7787065882714002,2.4613242453990125,1.3926955849587503,1.114130055603602,0.5927330006805187,0.5334511208075675,0.1770578244361427,0.019796375643281818,0.11745851912218874,0.9188880131669104
static,-0.15,0,120,900,1.63,0.6698175539320804,2.429415404996396,1.359344923414091,1.1058707459835564,0.6178829683043163,0.5730440981014193,0.17186209155321103,0.0172226186712121,0.1208070777612059,0.930143372797407
static,-0.15,0,140,900,1.6322222222222222,0.6559687963069547,2.516241811686537,1.346093783644684,1.1121644872319116,0.6244156440358032,0.6142110599381807,0.1825622390502643,0.01603910579860084,0.11999041996761753,0.9351412531380972
static,-0.15,1,0,900,3.5733333333333333,1.686600789227321,2.470193317581952,1.4652055662261312,0.9631628191294104,0.5776768476778376,0.2514154409627194,0.1391400303703337,0.1964962198365704,0.08177406924417391,0.0508438506306165
static,-0.15,1,20,900,2.81,1.3705270681181179,2.5066565416363407,1.5491682289913808,1.0006500114266554,0.6074110551712039,0.3370082719939225,0.1477254096427268,0.04766073456240371,0.09676090250617654,0.7921231852537506
static,-0.15,1,40,900,2.352222222222222,1.0073869142795773,2.4158282177163524,1.566303080122442,1.080029653725468,0.6296862373123658,0.414435706211234,0.15524850221090014,0.026140930200385413,0.10300991536205424,0.8895005021239462
static,-0.15,1,60,900,2.2144444444444447,0.8038879290480333,2.3216909026947725,1.62041901481747,1.0402013545574498,0.6372398958401588,0.488401081160588,0.16511806824521894,0.021249293199757536,0.10922294087008051,0.911443394938725
static,-0.15,1,80,900,2.178888888888889,0.7790299444315267,2.3422274566051784,1.6408912074339255,1.0275861560102177,0.6313496433742075,0.5665617492284718,0.17920062888843954,0.01712614250868463,0.10736200337340933,0.9289756614331226
static,-0.15,1,100,900,2.0955555555555554,0.7584942849138111,2.2617788552423606,1.6214697293161737,1.0390757940214754,0.629027634176792,0.6115998245059932,0.18889373492577158,0.018795374780473568,0.10735330911570323,0.9217777162122976
static,-0.15,1,120,900,1.9833333333333334,0.7736996258956773,2.4399619045772245,1.607849608983166,1.1047256233409002,0.6054285504652605,0.658798960919183,0.1955610737872922,0.017944906658284687,0.10925344938925971,0.9255277190620868
static,-0.15,1,140,900,1.9377777777777778,0.7427543003021145,2.5137516106967674,1.6248323276556778,1.0966201308005454,0.5954139474168156,0.7082142093657579,0.18853475514095927,0.01631661048143798,0.1158691434045006,0.9329365255400823
static,-0.15,2,0,900,3.571111111111111,1.6991660990317472,2.5400177243656055,1.46341788109982,0.9966109348510513,0.583616906838627,0.25137217147512275,0.1435743676223626,0.20906652479591173,0.08465250295350583,0.002869739289900077
static,-0.15,2,20,900,2.7155555555555555,1.4655989379477528,2.4206023224984206,1.3587250692123987,1.1014696844381926,0.5496641359763668,0.32366338948221973,0.14231860629325396,0.04962285704060629,0.10082632903161895,0.7852647032574397
static,-0.15,2,40,900,2.2311111111111113,1.121471696224251,2.3176065776988284,1.295625728121045,1.1302906666508354,0.5814983725052717,0.3868794134674211,0.1422929541862052,0.024905364075621446,0.09905047225450403,0.8948859867729704
static,-0.15,2,60,900,2.05,0.9278110439811186,2.240925500211436,1.2730268589625597,1.1157791071700154,0.5693916663000584,0.4455201837197343,0.16450588877578565,0.02086173779950427,0.10776008993804273,0.9130797824832151
static,-0.15,2,80,900,1.961111111111111,0.792772132659182,2.296805488880651,1.32190709110691,1.149106309753601,0.5659140247489267,0.5114226787153396,0.17003018628127545,0.020512690566130642,0.11772329890403174,0.9159102172474101
static,-0.15,2,100,900,1.8688888888888888,0.7397663962276567,2.2381120961203185,1.308062817558425,1.133513871024704,0.5541351307488118,0.5547126323405622,0.17425372974093542,0.018078506278217426,0.11629936282184432,0.925704775529261
static,-0.15,2,120,900,1.8,0.7195677714974302,2.2361294530416225,1.3551605122968546,1.09075268574614,0.5392367342355984,0.5916070103369868,0.1900328226904438,0.01598015399405668,0.11906171263726766,0.9348127194527999
static,-0.15,2,140,900,1.76,0.6913432979031153,2.2301325443662026,1.4062844326169481,1.134636911664814,0.5565349546941668,0.6626228774919163,0.1939963821449849,0.015776221035049488,0.11799437391400912,0.9357749054883077
static,0.0,0,0,900,3.5033333333333334,1.7143155420685474,2.4923105978129025,1.3982417942064551,0.9977171946704421,0.5737264102669267,0.24567627219638946,0.14483047239624366,0.2081850497029754,0.0837145775374922,0.004134226918433535
static,0.0,0,20,900,2.7155555555555555,1.4271892431638034,2.2172764727918475,1.3588487149712227,1.179649100389279,0.5674401899104916,0.33721406301114976,0.15554568920672293,0.04644001587726793,0.09420184406981769,0.796106750883959
static,0.0,0,40,900,2.276666666666667,1.0708822946005265,2.0932758295201985,1.322331596758119,1.1940329920277444,0.5620891218934909,0.4187921813703674,0.16970511267260646,0.022058050498408983,0.10599888077028698,0.9076362789015463
static,0.0,0,60,900,2.1144444444444446,0.8545383563475286,2.0444742166704004,1.2539524795001702,1.2516173525181582,0.5423854317856169,0.4821290626578995,0.17263201784577478,0.017587959840247407,0.11159853933894934,0.9273967008358155
static,0.0,0,80,900,2.0833333333333335,0.7907450776184306,2.087172541374353,1.2788633770897353,1.2695154344833797,0.5548102635038847,0.5423412565236032,0.1908400734360903,0.01779870353056854,0.11277178925307424,0.9265185512404575
static,0.0,0,100,900,2.0755555555555554,0.7504533609183054,2.098952029629217,1.3152111938930842,1.2707439131459428,0.5743008065155135,0.614190802007688,0.19859855680075952,0.017435146686389725,0.11034226299331279,0.9282487980250853
static,0.0,0,120,900,2.0588888888888888,0.7302046051841214,2.1477304574421154,1.3322819640464674,1.2365143109146424,0.6237746288244553,0.6846290113973477,0.19291136376122583,0.01595161281379401,0.11793565174302528,0.934779126778608
static,0.0,0,140,900,1.978888888888889,0.7663759513224774,2.102890338362678,1.3456046557719763,1.2232198919648898,0.6344751883602074,0.7322084296270125,0.18526568360455956,0.017850364062842874,0.11713941159035884,0.9270338139447498
static,0.0,1,0,900,3.466666666666667,1.713994684290992,2.4926713846030673,1.4490644119029699,1.034801416541916,0.5772475660472207,0.24730415792227878,0.14401091523825663,0.21459293259096132,0.08531234824153526,-0.018430641053072783
static,0.0,1,20,900,2.6822222222222223,1.5022633130474814,2.3949358468267428,1.4793692887399317,1.2597191607058211,0.5350484827234668,0.31823091415489,0.148607388643491,0.047630462583514,0.09485643957849717,0.7915593516039595
static,0.0,1,40,900,2.187777777777778,1.291538942311138,2.41700125056025,1.4411119344953893,1.3087993036458687,0.5045292069900866,0.3810893510740145,0.14655110651802655,0.026748608142727948,0.1044013695838313,0.8885376758005977
static,0.0,1,60,900,1.8588888888888888,1.0672284400304728,2.3282046475995317,1.4056524601499145,1.3502670591220118,0.47318651038386345,0.4469836667224182,0.156626449111243,0.021212722111821965,0.1186351222506201,0.9140659637654642
