generation,population,mean_A_affinity,mean_B_affinity,genotype_richness,lineage_richness
82,252,0.4947089947089947,0.7341269841269841,15,252
83,265,0.47924528301886793,0.7270440251572327,15,265
84,276,0.4746376811594203,0.7234299516908212,15,276
85,282,0.46572104018912525,0.735224586288416,14,282
86,284,0.47065727699530513,0.7312206572769953,14,284
87,286,0.4708624708624709,0.7214452214452215,15,286
88,286,0.479020979020979,0.7214452214452214,14,286
89,293,0.4857792946530147,0.714448236632537,14,293
90,289,0.4728950403690888,0.7139561707035755,15,289
91,292,0.4794520547945205,0.7191780821917808,15,292
92,283,0.486454652532391,0.7067137809187279,15,283
93,285,0.4888888888888888,0.6935672514619884,15,285
94,296,0.4864864864864865,0.6993243243243243,15,296
95,306,0.4749455337690631,0.7047930283224401,15,306
96,306,0.46405228758169936,0.70479302832244,15,306
97,298,0.45302013422818793,0.7024608501118569,16,298
98,295,0.4440677966101695,0.7016949152542373,16,295
99,288,0.4571759259259259,0.6979166666666666,16,288
100,285,0.4514619883040936,0.7099415204678363,16,285
101,294,0.44104308390022684,0.7188208616780045,16,294
102,283,0.43462897526501765,0.7196702002355713,15,283
103,287,0.44599303135888496,0.710801393728223,16,287
104,289,0.4429065743944637,0.6966551326412919,16,289
105,314,0.435244161358811,0.7027600849256901,16,314
106,315,0.4296296296296296,0.7026455026455026,15,315
107,310,0.4376344086021506,0.6881720430107526,15,310
108,306,0.44553376906318076,0.6851851851851851,15,306
109,296,0.44144144144144143,0.6880630630630631,15,296
110,302,0.44260485651214126,0.6964679911699778,15,302
111,305,0.45901639344262296,0.6950819672131148,15,305
112,304,0.45833333333333337,0.7006578947368421,15,304
113,299,0.4671125975473801,0.6945373467112598,15,299
114,298,0.4642058165548098,0.685682326621924,15,298
115,285,0.45847953216374276,0.6853801169590643,15,285
116,295,0.46779661016949153,0.67909604519774,15,295
117,286,0.46620046620046623,0.6864801864801865,15,286
118,288,0.4652777777777778,0.6701388888888888,15,288
119,289,0.4602076124567474,0.679354094579008,15,289
120,296,0.47072072072072074,0.6745495495495495,15,296
121,301,0.4728682170542635,0.6744186046511628,15,301
122,307,0.4961997828447339,0.6623235613463627,15,307
123,312,0.5106837606837608,0.6602564102564102,15,312
124,317,0.5162986330178759,0.661409043112513,15,317
125,315,0.5079365079365079,0.6730158730158731,16,315
126,310,0.5064516129032258,0.6774193548387096,16,310
127,310,0.4989247311827957,0.6978494623655913,16,310
128,315,0.5089947089947089,0.7015873015873015,15,315
129,328,0.5101626016260162,0.6991869918699186,15,328
