treatment,population_mean,population_std,mean_d_mean,mean_d_std,std_d_mean,std_d_std,maladaptation_mean,maladaptation_std,trait_variance_mean,trait_variance_std,trait_env_corr_mean,trait_env_corr_std
moving,900.0,0.0,5.287407407407407,0.13602075610190886,0.824824906543071,0.08419998503452937,0.12363328743731589,0.006253636532213713,0.11226876669168843,0.004787871145505347,0.47951994178821494,0.02978347173051892
static,900.0,0.0,4.224814814814814,0.035071942521955016,1.2721759364498675,0.07658683333195836,0.019292414853695015,0.0010653940919444797,0.12387356032461971,0.002329479164328143,0.9227930549698423,0.004506361601232751
