treatment,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
static,0,80,900,4.15,1.6920566053047856,0.49787884074282457,0.018458843163212845,0.12018742699862149,0.9249119116067269
static,0,100,900,4.257777777777778,1.6405268650838143,0.4963514066086231,0.01590553024526004,0.12253481448641718,0.9358444590245597
static,0,120,900,4.326666666666667,1.567007055220592,0.48984106406170075,0.018546660000537715,0.12180823340303436,0.9253495015724373
static,0,140,900,4.251111111111111,1.4978684443378898,0.4900699184698914,0.019476509852292677,0.1194136507692904,0.9209573580953206
static,0,160,900,4.28,1.4679691186579278,0.4915449844434116,0.020178534951650742,0.12827862081544827,0.9206900710537814
static,0,180,900,4.216666666666667,1.3835341219741084,0.5021961410057869,0.017839630099605784,0.1309685707146405,0.9305772472865753
static,0,200,900,4.247777777777777,1.359634573273093,0.4948633598304054,0.01823349834514666,0.12651283632009508,0.9276263868967726
static,1,0,900,3.6155555555555554,1.725296181407774,0.5031255384801544,0.211642979314308,0.0856520468515544,-0.004741191490328499
static,1,20,900,3.9955555555555557,1.5776150150789223,0.49694685012643364,0.048345714516828044,0.10489901165878632,0.7927855725030805
static,1,40,900,4.273333333333333,1.442513238914792,0.4973298618807104,0.022861702143596115,0.11841986963814018,0.9064417317020999
static,1,60,900,4.301111111111111,1.403724762863626,0.5066523722807889,0.02012024227062099,0.12000686405734286,0.9182501935578448
static,1,80,900,4.226666666666667,1.3456762034176142,0.5093097735055825,0.019011438822849835,0.12305243046959886,0.9237350576558524
static,1,100,900,4.261111111111111,1.318095801984771,0.498109344973187,0.018836600830183334,0.11792482323252633,0.9228653496811863
static,1,120,900,4.296666666666667,1.277928010491984,0.5032942069053091,0.017591084715343458,0.12210950440495183,0.9289200604971818
static,1,140,900,4.22,1.2348819106835007,0.5080294208900403,0.01978296381079338,0.122686210519581,0.9204293826976346
static,1,160,900,4.331111111111111,1.1978354964448208,0.5048969246891202,0.021288929201649532,0.11919106386098562,0.9131751746257055
static,1,180,900,4.282222222222222,1.1955080535792468,0.49836109938743944,0.018095490793694605,0.12329644220752345,0.9271540653278136
