dispersal,population_mean,population_std,correlation_mean,correlation_std,maladaptation_mean,maladaptation_std,trait_variance_mean,trait_variance_std,cline_amplitude_mean,cline_amplitude_std,lineage_richness_mean,lineage_richness_std,fst_mean,fst_std,moran_i_mean,moran_i_std
1,1522.8,9.670114327716664,0.15952420441382223,0.34801583345116055,0.3443968154078014,0.020503074633691783,0.04882186381855186,0.00624080648635637,0.22462660645623936,0.05450682178640807,89.1,7.309810759064377,0.018910181181522764,0.003003509334404403,4.805398465941003,0.27240711545357155
2,1511.0,10.903618155864084,0.318711787526117,0.2943558140986706,0.3326804611657815,0.018788147963186192,0.047248174714618396,0.0061599308668215105,0.2309743821607452,0.052435304651266994,71.7,4.498147766951785,0.02267123922323217,0.0027077858235578884,3.574808962068795,0.6700126706614614
4,1519.3,6.325433669805661,0.17272858852918965,0.279677952389133,0.35106409323786064,0.020434310002845228,0.050468525395798436,0.004976689935733377,0.251171699100615,0.06336231209606126,63.9,5.087020520675908,0.02400156312096089,0.005039575618312156,1.6749238986732553,0.4765907219924949
8,1505.2,7.03641322771134,0.192840955139597,0.19303836979072794,0.3592241602895685,0.016180902777600165,0.06873270885316518,0.0063069767265778055,0.24872661324318174,0.03951275976374938,64.6,8.579044235810885,0.013711301477182459,0.0027968644981957802,0.5130603668904417,0.15989191269033673
