population,correlation,maladaptation,trait_variance,cline_amplitude,lineage_richness,fst,moran_i,dispersal,replicate
1532,-0.4042821492943166,0.365092834136222,0.04523371942970933,0.1467743553146814,83,0.022149434295476143,4.773109243697478,1,0
1530,0.45934023290659415,0.31999275592782395,0.04521844850896667,0.2697798895852638,91,0.016314082014728705,4.798217189116667,1,1
1518,-0.1819922614863514,0.36843778432680585,0.056935818199897195,0.2859796744311733,96,0.015572767899322534,4.507146024490909,1,2
1516,0.07525497187218046,0.3645431359614481,0.06072263109687056,0.15487086331231922,93,0.018483821394644693,5.281045751633987,1,3
1521,0.36304530186991724,0.3317010458013699,0.0436273018269602,0.20650113102812145,76,0.02564112573489511,4.774774774774774,1,4
1533,0.5537755054138572,0.3217999951543019,0.04966914854624603,0.24589559429912766,97,0.019338170736676777,4.908388270061377,1,5
1536,-0.05615921824029232,0.3529670388808149,0.047411922467569166,0.20837655924262272,98,0.017177757833408615,4.2890625,1,6
1510,0.6819362019680515,0.3146336887810269,0.05193121821917359,0.21982065775994666,83,0.018642452625632938,4.938925680647534,1,7
1523,0.15011877647625765,0.34953047074266463,0.04734526490467057,0.314132380198564,84,0.018890649523984598,5.034316939890711,1,8
1509,-0.04579531734767564,0.35526940436553583,0.040123164985455276,0.1941349593905731,90,0.016891549756457538,4.7489982850965955,1,9
1491,0.49687999346721307,0.3353615253184415,0.0603296585101458,0.3118839910134622,64,0.022293362807178432,2.954273099968464,2,0
1509,0.6568380919581508,0.31351921462463744,0.04048360627497255,0.19188627568927086,74,0.018103617658896086,3.711711711711711,2,1
1514,-0.12159911199431761,0.35557259340128816,0.047154481993539034,0.19633035814895178,73,0.023218799185658126,3.7922713761147047,2,2
1506,-0.0573193172494571,0.3561420478061887,0.04517403132571278,0.18436155559265482,73,0.025137965222061125,3.9279279279279273,2,3
1531,-0.07974570505749982,0.36084478339707493,0.05273989735565893,0.2363040559088083,66,0.025544587532701852,4.065615543876415,2,4
1506,0.6342141508083884,0.31196940321318184,0.048090817294746555,0.2577402575390355,67,0.021740715047314535,2.1144650005409504,2,5
1509,0.399647758439506,0.3269134265424412,0.0431363060999989,0.18324247547644956,73,0.019688141848014554,4.382209839904711,2,6
1514,0.4348637250661294,0.3303789013011616,0.050337413092578685,0.17825213347114222,73,0.02058611861981943,4.107635785919968,2,7
1506,0.37406887169455283,0.3224875243488556,0.04553719276576049,0.25584218909762274,77,0.026512017893495027,3.1871657754010694,2,8
1524,0.4492694181285041,0.31361519170454366,0.03949834243307028,0.313900529670054,77,0.02388706641718255,3.504813559322034,2,9
1521,0.46884177263366605,0.3230065099941064,0.04900524618717872,0.2237961567563051,67,0.018335527465007512,2.1150291892457918,4,0
1519,0.31702149354835135,0.3392093067190147,0.055120979672671176,0.318752247737625,64,0.014871709027084928,1.2205789407154597,4,1
1521,-0.014829855197313821,0.362030305504354,0.05498851197021074,0.2376729584613596,62,0.02258535668557011,1.6751758172419986,4,2
1514,0.6814890431531301,0.32808875219650896,0.047333342191202846,0.15314203347132518,64,0.026173931040829147,1.8527354997943237,4,3
1524,-0.03865102267703317,0.36204787009939554,0.05114522939993976,0.23917565429040685,75,0.02275157473733513,2.2105920931256735,4,4
1525,0.3589386567834003,0.332908783936971,0.04300663974920041,0.23073720406821321,60,0.027129730678016523,1.2358614054644104,4,5
1511,0.06867339424254663,0.35544820758640705,0.051812292297479544,0.17419439104021156,56,0.02105664653586668,1.2906231799650554,4,6
1530,0.18432140012329754,0.35380003033678953,0.05473337430556929,0.2647476900475199,63,0.03059953539628181,1.4793509223005774,4,7
1510,-0.19278489559950088,0.3903660149958921,0.055363653243015246,0.3485828738895574,61,0.026433451762776724,2.503912363067293,4,8
1518,-0.10573410171864756,0.36373515100916753,0.04217598494151655,0.32091578124362596,67,0.03007816788084032,1.165379575811971,4,9
1518,0.5091647184299505,0.3350098843433636,0.07594458783686414,0.26566921576372116,58,0.015996886378438768,0.577172426098852,8,0
1500,0.3320780512058374,0.34221106990200184,0.061673175523320245,0.22774280492942972,71,0.010105922250278971,0.5185539098582577,8,1
1498,0.08524932582185674,0.37545731089327056,0.08085856988518395,0.25575075775261635,57,0.016515663287983595,0.7281859756715048,8,2
1512,0.03659904832887845,0.3715654642000454,0.06564629417582299,0.323635545358461,52,0.015405781255270727,0.7585897328739347,8,3
1496,0.08564476874211951,0.3726696077243344,0.07184604450233338,0.25035094065403435,72,0.011512710120478288,0.39770674624990177,8,4
1512,0.16478756664471755,0.35596221346892143,0.06467297139962541,0.22332193398867775,71,0.013432108452198277,0.43659776409696616,8,5
1503,0.47363321927760904,0.3449617127684505,0.07005028833151555,0.2034937632300137,69,0.010101023532094057,0.4806827355552992,8,6
1507,0.016152568447816273,0.3725917347051121,0.07078104394808585,0.2099988966580261,64,0.011124575247733696,0.19819819819819817,8,7
1505,-0.03695704783240466,0.37648844212684573,0.06273508053992129,0.3025349332087076,77,0.017382507461175783,0.5156667519683866,8,8
1501,0.2620573323295893,0.3453241627633392,0.06311903238897895,0.22476734088812983,55,0.01553583678617241,0.5192494283331159,8,9
