generation,population,mean_A_affinity,mean_B_affinity,genotype_count,lineage_count
127,3942,0.7246321664129883,0.7252663622526636,16.0,935.0
128,3927,0.7237076648841355,0.7258721670486377,16.0,936.0
129,3924,0.7241335372069317,0.7271916411824668,16.0,932.0
130,3941,0.7235473230144633,0.729637147931997,16.0,943.0
131,3916,0.7242083758937692,0.7309754851889684,16.0,951.0
132,3912,0.7245654396728016,0.7292944785276073,16.0,961.0
133,3925,0.7243312101910828,0.7272611464968153,16.0,974.0
134,3914,0.7266223811957078,0.7287940725600409,16.0,974.0
135,3924,0.7261722731906218,0.7305045871559633,16.0,963.0
136,3928,0.7289969450101833,0.7319246435845214,15.0,958.0
137,3926,0.7289862455425369,0.7340804890473764,15.0,952.0
138,3937,0.7289814579629159,0.7349504699009398,15.0,949.0
139,3934,0.7296644636502287,0.7338586680223691,16.0,954.0
140,3921,0.7315735781688345,0.7296608008161183,16.0,959.0
141,3924,0.7303771661569827,0.7329255861365953,16.0,957.0
142,3928,0.7317973523421588,0.7329429735234216,16.0,954.0
143,3936,0.7300558943089431,0.7320884146341463,16.0,956.0
144,3929,0.7280478493255281,0.7318656146602189,16.0,965.0
145,3935,0.7275730622617534,0.7327827191867853,16.0,962.0
146,3935,0.7278271918678526,0.7320203303684879,16.0,960.0
147,3951,0.7303214376107314,0.7312072892938497,16.0,971.0
148,3951,0.7317134902556315,0.7313338395342951,16.0,956.0
149,3926,0.7336984207845135,0.7291136016301579,16.0,963.0
150,3910,0.7360613810741689,0.728772378516624,16.0,955.0
151,3909,0.7370171399334868,0.7272959836275262,16.0,945.0
152,3918,0.7378764675855028,0.7271567126084737,16.0,937.0
153,3923,0.7393576344634208,0.7282691817486617,16.0,931.0
154,3920,0.7394132653061225,0.7299744897959184,16.0,934.0
155,3950,0.7391139240506329,0.7307594936708861,16.0,945.0
156,3947,0.7398023815556118,0.7309348872561439,16.0,953.0
157,3956,0.740267947421638,0.7315470171890799,16.0,953.0
158,3937,0.7414274828549657,0.7344424688849378,16.0,950.0
159,3920,0.7420918367346939,0.7355867346938776,16.0,945.0
160,3929,0.7417918045304148,0.7368287095953169,16.0,943.0
161,3921,0.7430502422851314,0.7360367253251722,16.0,945.0
162,3924,0.7415902140672783,0.7366207951070336,16.0,941.0
163,3930,0.7435114503816794,0.7367684478371501,16.0,940.0
164,3942,0.7430238457635718,0.7399797057331304,16.0,921.0
165,3940,0.7442893401015228,0.7397208121827411,16.0,918.0
166,3928,0.742235234215886,0.7375254582484725,16.0,927.0
167,3931,0.7431951157466293,0.7359450521495803,16.0,939.0
168,3931,0.7405240396845586,0.7378529636224879,16.0,945.0
169,3936,0.7388211382113821,0.7389481707317073,16.0,949.0
170,3943,0.7386507735226985,0.739158001521684,16.0,952.0
171,3943,0.7387775805224448,0.7419477555161045,16.0,956.0
172,3941,0.7424511545293073,0.7406749555950266,16.0,954.0
173,3932,0.7430061037639878,0.7395727365208545,16.0,948.0
174,3955,0.7403286978508218,0.7403286978508218,16.0,944.0
175,3932,0.7376653102746694,0.741353001017294,16.0,950.0
176,3921,0.737439428717164,0.7433052792654935,16.0,951.0
177,3923,0.7407596227377007,0.7424165179709407,16.0,952.0
178,3918,0.7415773353751914,0.743746809596733,16.0,952.0
179,3916,0.7405515832482125,0.7455311542390194,16.0,947.0
180,3945,0.74106463878327,0.7460076045627376,16.0,948.0
181,3952,0.743168016194332,0.7459514170040485,16.0,939.0
182,3937,0.7409194818389637,0.7434594869189738,16.0,931.0
183,3929,0.740519216085518,0.7437006871977603,16.0,938.0
184,3952,0.7430414979757085,0.743168016194332,16.0,938.0
185,3934,0.7416115912557194,0.7436451448906964,16.0,936.0
186,3918,0.7414497192445125,0.7440020418580908,16.0,937.0
187,3933,0.741164505466565,0.744978387998983,16.0,942.0
188,3945,0.741318124207858,0.7465145754119138,16.0,954.0
189,3940,0.7423857868020305,0.7486040609137056,16.0,950.0
190,3937,0.7415544831089662,0.7501905003810008,16.0,951.0
191,3918,0.7404287901990811,0.7503828483920367,16.0,951.0
192,3935,0.7410419313850064,0.7479034307496824,16.0,956.0
193,3934,0.7389425521098119,0.7506354855109304,16.0,966.0
194,3944,0.7407454361054767,0.7519016227180527,16.0,967.0
195,3944,0.7404918864097363,0.7535496957403651,16.0,970.0
196,3934,0.7376715810879512,0.7541942043721404,16.0,969.0
197,3917,0.7390860352310442,0.7569568547357671,16.0,966.0
198,3919,0.741260525644297,0.7581015565195203,16.0,969.0
199,3936,0.7436483739837398,0.7596544715447154,16.0,976.0
200,3936,0.7456808943089431,0.7614329268292683,16.0,969.0
