A,sigma_e,rho,cue_noise,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
0.0,0.0,0.0,0.0,2,100,2588,588,2000,0.5093717058137478,0.0831812393381411,3.506802721088435,0.7713114416349012,0.4943293568833796,0.7742353010063537,0.10022515436644028,0.00700694744768855
0.0,0.0,0.0,0.3,0,0,300,300,0,0.5105256284097806,0.2969276280184411,3.1266666666666665,0.4961272356550096,0.5047645635567783,0.5366802699832527,0.05483473861860666,0.08827680513407851
0.0,0.0,0.0,0.3,0,10,2324,589,1735,0.4887657133737889,0.10224462326242399,3.205432937181664,0.31283301871951613,0.5065015062890579,0.31855480367818595,0.11179489908987962,0.010580172182074882
0.0,0.0,0.0,0.3,0,20,2589,597,1992,0.49372040352024793,0.09595293748480818,3.7169179229480735,0.4511228316853342,0.5572829959209629,0.4565706950416438,0.0690356734425517,0.00924639954391202
0.0,0.0,0.0,0.3,0,30,2600,600,2000,0.49069192812069673,0.09664431522473721,3.635,0.5924154063974484,0.5578882498594269,0.5972618031182984,0.10330777761222593,0.009426763867368649
0.0,0.0,0.0,0.3,0,40,2588,588,2000,0.49583870095653315,0.0960537200981405,3.6904761904761907,0.6262613140493177,0.5241121731927351,0.6307941645070778,0.034023044304986275,0.00924363355442108
0.0,0.0,0.0,0.3,0,50,2591,591,2000,0.4887013163026607,0.09067415000709239,3.712351945854484,0.6785385150949931,0.49154847715205613,0.6821829896182117,0.00915513255139083,0.008349461732801215
0.0,0.0,0.0,0.3,0,60,2598,598,2000,0.4908100283261586,0.09240908567957827,3.9046822742474916,0.6944735466987724,0.5181905280089214,0.6985613044416458,0.08774227864998262,0.008623894695501644
0.0,0.0,0.0,0.3,0,70,2596,596,2000,0.5004133167176495,0.09418742344252146,3.9312080536912752,0.7137820153519403,0.49913358470774444,0.7178421856716566,-0.03664130086887474,0.00887144156544993
0.0,0.0,0.0,0.3,0,80,2600,600,2000,0.4915272903771278,0.08712097076807479,3.9683333333333333,0.7359736397754717,0.5069178843906937,0.7396555250286881,0.07076944808605226,0.0076618503559252515
