A,sigma_e,rho,cue_noise,population_mean,population_std,active_mean,active_std,bank_mean,bank_std,mean_d_mean,mean_d_std,mean_h0_mean,mean_h0_std,mean_hb_mean,mean_hb_std,mean_h_eff_mean,mean_h_eff_std,corr_h_cue_mean,corr_h_cue_std,maladaptation_mean,maladaptation_std
0.0,0.0,0.0,0.0,2592.611111111111,1.8282758524338916,592.6111111111111,1.8282758524338258,2000.0,0.0,3.128722014466428,0.3737397003022382,0.7252250646653081,0.019741294873361896,0.42894858085477167,0.029537841986920263,0.7286170294121374,0.019716939807547625,0.05561471816799058,0.030690114684541556,0.008373071351492642,0.0006314109280735014
0.0,0.0,0.0,0.3,2592.8333333333335,2.7537852736430475,592.8333333333334,2.75378527364305,2000.0,0.0,3.692939291635696,0.20601217450435358,0.6943366919918774,0.03589041701065793,0.5280164440705023,0.09584000879542548,0.6985291324162693,0.03498650538340967,0.06306297866073579,0.020757412616256535,0.00825317597627165,0.00023677640953062492
0.0,0.0,0.8,0.0,2593.3888888888887,3.4734442294089476,593.3888888888888,3.4734442294089702,2000.0,0.0,3.577816349941091,0.7735460925790432,0.722027024314913,0.009838279775759583,0.6104406889526985,0.019516221114394657,0.7267127966715714,0.009566772614730054,0.06546802049259211,0.013244999790937795,0.007775125278460308,0.00026945720483820116
0.0,0.0,0.8,0.3,2592.8888888888887,1.018350154434474,592.8888888888888,1.0183501544345794,2000.0,0.0,3.2719117539623155,0.14494514905927422,0.6828915121168215,0.019625942815147963,0.466670274674174,0.07828808968149473,0.6865055235552507,0.01986273233862255,0.04897559472338441,0.0015623778527665765,0.00799507738564279,9.206843795744592e-05
0.0,0.4,0.0,0.0,2517.8333333333335,34.07345007480164,561.4444444444445,9.784246597540392,1956.388888888889,39.334863435398866,3.074890267783793,0.36042396499535473,0.3630151318374078,0.01563033723258949,0.5506840519401627,0.12281287679788253,0.4481946957955485,0.03893456421619586,0.3590746867902164,0.05972106613173646,0.1573589607987308,0.012584004181067024
0.0,0.4,0.0,0.3,2522.722222222222,2.9265704869036178,571.1111111111111,5.000925840207916,1951.611111111111,6.750171465586217,3.723783418289379,0.4637787944647322,0.3553914521218524,0.007753667042181645,0.38827880025026085,0.07475437936614171,0.41169754773725026,0.01300883992656011,0.2982853006003301,0.010041941373847346,0.1536006234731485,0.0038402078543566514
0.0,0.4,0.8,0.0,2554.8888888888887,9.62106100255128,560.2777777777778,8.83542952067497,1994.611111111111,2.8690558519279112,3.104134323652758,0.3171893125136526,0.4477793655970992,0.018056963244608044,0.5695372762097474,0.0377198229157051,0.5191407484494123,0.013168227723330468,0.33434188172328166,0.06581605807591513,0.12940360173112908,0.003919531813032196
0.0,0.4,0.8,0.3,2547.111111111111,3.583656316193176,562.1111111111112,6.741936198430287,1985.0,6.984108946585719,2.899862829200585,0.292011718000323,0.37629505393502277,0.020883334813429088,0.46285288184642287,0.1039488791151135,0.4341588335551083,0.011919205272090507,0.2553318954299846,0.045990976769521574,0.13200501341064416,0.00923885216383739
0.0,0.8,0.0,0.0,2377.444444444445,47.85404120091928,557.0555555555555,4.491762006821611,1820.3888888888887,43.846428124298264,3.184188605137116,0.3099777222990558,0.26543603377110675,0.004016085846830761,0.42583821729645277,0.06631752961218722,0.385299381001428,0.02002993702206071,0.4193270065618994,0.090377265839811,0.3099958172176996,0.002706309575235486
0.0,0.8,0.0,0.3,2491.3333333333335,21.058120629449686,556.7777777777777,5.2950011366417336,1934.5555555555557,26.077519763908544,2.911020057785597,0.3405740881790508,0.3274391563140818,0.03790587539499317,0.27858373840236866,0.04723282736821645,0.4082406688283593,0.033546437193372684,0.34882729387893213,0.05259470969675947,0.3087915218377682,0.044902119605890356
