A,sigma_e,rho,cue_noise,replicate,population,active,bank,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
0.0,0.4,0.0,0.3,1,2525.5,566.1666666666666,1959.3333333333333,3.1923826006061766,0.3563121101710934,0.47439942252462525,0.42406199967590713,0.29888765948918583,0.1505277353284738
0.0,0.4,0.0,0.3,2,2519.6666666666665,571.0,1948.6666666666667,3.9320325571765404,0.3626436871435326,0.3401542963122243,0.4129024837688089,0.28795573846563005,0.15236845504056562
0.0,0.4,0.8,0.0,0,2551.8333333333335,560.5,1991.3333333333333,3.3954234753891606,0.45219208518880777,0.5306793173236809,0.5187087785140353,0.28007631612117484,0.12782376688829716
0.0,0.4,0.8,0.0,1,2565.6666666666665,569.0,1996.6666666666667,3.1507708766906437,0.46322094763509164,0.5719272030324404,0.5325196461971311,0.3153965808720735,0.1265205338496338
0.0,0.4,0.8,0.0,2,2547.1666666666665,551.3333333333334,1995.8333333333333,2.766208618878471,0.4279250639673981,0.6060053082731209,0.5061938206370703,0.40755274817659665,0.1338665044554563
0.0,0.4,0.8,0.3,0,2550.6666666666665,567.3333333333334,1983.3333333333333,3.200611413343647,0.3553271964127885,0.5538835868890012,0.420645444927485,0.2927674061858749,0.12298335357164737
0.0,0.4,0.8,0.3,1,2543.5,564.5,1979.0,2.8815247454260873,0.37646513830497125,0.4850902231747276,0.43865528448217006,0.20399348945998516,0.14144672860738408
0.0,0.4,0.8,0.3,2,2547.1666666666665,554.5,1992.6666666666667,2.61745232883202,0.3970928270873086,0.3495848354755398,0.4431757712556698,0.26923479064409367,0.13158495805290105
0.0,0.8,0.0,0.0,0,2399.8333333333335,561.0,1838.8333333333333,3.5164047503577223,0.2620292759904507,0.497652395439147,0.39973873309637514,0.4890333370209778,0.3068914552260808
0.0,0.8,0.0,0.0,1,2410.0,558.0,1852.0,3.133451728944211,0.26986419643213455,0.4129541079872989,0.39372666026213904,0.4517331960804336,0.31123765326710906
0.0,0.8,0.0,0.0,2,2322.5,552.1666666666666,1770.3333333333333,2.902709336109416,0.2644146288907349,0.36690814846291236,0.36243274964576977,0.3172144865842868,0.31185834315990885
0.0,0.8,0.0,0.3,0,2514.3333333333335,550.6666666666666,1963.6666666666667,3.062523460429516,0.37085139697738256,0.23569187806609182,0.4450183462911877,0.32290582499610415,0.3286035451913751
0.0,0.8,0.0,0.3,1,2473.0,559.6666666666666,1913.3333333333333,3.1495544503008883,0.30089687946051324,0.3292042502961416,0.40038346238728945,0.4093512659761643,0.3403802464907546
0.0,0.8,0.0,0.3,2,2486.6666666666665,560.0,1926.6666666666667,2.520982262626385,0.31056919250434967,0.27085508684487253,0.3793201978066008,0.3142247906645279,0.25739077383117487
0.0,0.8,0.8,0.0,0,2511.5,567.6666666666666,1943.8333333333333,3.7137274183610764,0.3444185192352793,0.40686007004405605,0.4420792152335798,0.46027594957291335,0.2593414123779967
0.0,0.8,0.8,0.0,1,2569.5,575.8333333333334,1993.6666666666667,4.147530576600864,0.5032438182624908,0.25022072945979285,0.5528731627119902,0.33741533279361624,0.218320606924541
0.0,0.8,0.8,0.0,2,2560.0,569.6666666666666,1990.3333333333333,3.588290096818959,0.4306532428630135,0.3014815432590711,0.5019584758923986,0.38849160231477403,0.2667711588233949
0.0,0.8,0.8,0.3,0,2568.6666666666665,577.0,1991.6666666666667,3.771958906592758,0.40664056059780807,0.3519939596300923,0.5021907001905368,0.5352521893839987,0.2762516863876922
0.0,0.8,0.8,0.3,1,2526.8333333333335,563.8333333333334,1963.0,2.8539742786079,0.2635062668746165,0.5909637845332547,0.40282716211307784,0.7078308386065567,0.23987981270329625
0.0,0.8,0.8,0.3,2,2539.6666666666665,561.6666666666666,1978.0,3.7638383293638387,0.4194993259145318,0.3764793094469336,0.5153458034023114,0.48590673461585726,0.26355639867136876
0.75,0.0,0.0,0.0,0,2583.6666666666665,585.1666666666666,1998.5,4.257904027904155,0.5323204318452605,0.5595283889053668,0.5827838404144426,0.456234306197429,0.10583845552194694
0.75,0.0,0.0,0.0,1,2584.3333333333335,588.8333333333334,1995.5,4.239020923750471,0.5082704661610243,0.588407424920926,0.5657868549109865,0.5796814884898827,0.1092246218520166
0.75,0.0,0.0,0.0,2,2579.0,587.0,1992.0,4.316098981117594,0.4473023848856372,0.6105866018136868,0.5134323635049262,0.5062007167896284,0.1167282319501805
0.75,0.0,0.0,0.3,0,2586.6666666666665,588.0,1998.6666666666667,3.9110197009402494,0.473457322618364,0.687601429947207,0.5404425492037183,0.6975108807292658,0.10742519609065465
0.75,0.0,0.0,0.3,1,2582.8333333333335,584.6666666666666,1998.1666666666667,4.084864669361916,0.39151288055851635,0.7107453189083565,0.457667943066542,0.5949972329484595,0.1036570800692599
0.75,0.0,0.0,0.3,2,2561.1666666666665,585.5,1975.6666666666667,3.199006679802475,0.3778335971954232,0.562653335884482,0.43673554972681733,0.5060463969542287,0.11546991979872685
0.75,0.0,0.8,0.0,0,2585.8333333333335,588.6666666666666,1997.1666666666667,3.7300249485339685,0.4848500582831348,0.5499092890106557,0.5305844588594676,0.4563687942847574,0.09950633309065143
0.75,0.0,0.8,0.0,1,2585.3333333333335,588.0,1997.3333333333333,4.0243497218880595,0.5175840001511886,0.7011082692479474,0.5836068339222008,0.5922575499187164,0.10410254988508826
0.75,0.0,0.8,0.0,2,2578.8333333333335,587.8333333333334,1991.0,4.2277964644615915,0.4896349412025504,0.4881572188648135,0.5380972295131183,0.473965214207049,0.10597257665239738
0.75,0.0,0.8,0.3,0,2573.0,583.1666666666666,1989.8333333333333,4.360167924624693,0.4349161621453539,0.5588431266875106,0.4932518299414515,0.5051833886585996,0.11509930156483529
0.75,0.0,0.8,0.3,1,2575.0,584.3333333333334,1990.6666666666667,4.1462819771118316,0.3938426129087012,0.5275468707181926,0.4532532667526021,0.583056651919181,0.11824082556141326
0.75,0.0,0.8,0.3,2,2581.6666666666665,588.0,1993.6666666666667,3.5092712512603637,0.41775640672369074,0.564960753744938,0.46866313574604807,0.5333672274946536,0.09586049727999153
0.75,0.4,0.0,0.0,0,2539.3333333333335,579.3333333333334,1960.0,3.448326270258729,0.41670726262653734,0.3735589800889276,0.47365440480090903,0.30145238021953485,0.17837608008896855
0.75,0.4,0.0,0.0,1,2561.1666666666665,575.6666666666666,1985.5,3.0706814288857007,0.44135342773056624,0.3558908471282489,0.49634273142754876,0.3197188017001094,0.17578469321097331
0.75,0.4,0.0,0.0,2,2570.5,579.8333333333334,1990.6666666666667,3.892792885441267,0.4740482388251144,0.3255341539902006,0.5317154728628115,0.43809875348255867,0.17957780194478015
0.75,0.4,0.0,0.3,0,2561.5,572.1666666666666,1989.3333333333333,3.6732531618036925,0.4602967722643609,0.35710169095104566,0.520953110908428,0.40108440719051536,0.18324125159885038
0.75,0.4,0.0,0.3,1,2557.0,577.6666666666666,1979.3333333333333,3.074617595080125,0.3056290185619834,0.7842939667797327,0.4293923197840795,0.7301047420487845,0.1701112918397122
0.75,0.4,0.0,0.3,2,2555.8333333333335,581.1666666666666,1974.6666666666667,3.3792282540202656,0.3525259459730555,0.5641936328142293,0.45142990643871483,0.5816743778837449,0.18081203555945002
0.75,0.4,0.8,0.0,0,2571.6666666666665,574.5,1997.1666666666667,3.5492591082594376,0.49736525247675717,0.41727986877708556,0.5496315307327477,0.38658372801300867,0.14195989025184425
0.75,0.4,0.8,0.0,1,2563.6666666666665,583.3333333333334,1980.3333333333333,3.8531498452284576,0.4126020777331257,0.48004410364845734,0.48043764502185754,0.47297150237378327,0.15678488048767134
0.75,0.4,0.8,0.0,2,2571.5,580.3333333333334,1991.1666666666667,3.374907203524907,0.42948277706178906,0.41544970975443407,0.4856962335536322,0.40498157883956026,0.1528115983004543
0.75,0.4,0.8,0.3,0,2581.3333333333335,589.6666666666666,1991.6666666666667,4.56704661432788,0.4085370678024797,0.521393226043118,0.4819981371942017,0.6319738798112261,0.1484505539055627
0.75,0.4,0.8,0.3,1,2575.1666666666665,581.5,1993.6666666666667,3.407056987780006,0.4285512974721601,0.3021898836987691,0.4662958817015678,0.30975593333028034,0.12454044356751086
0.75,0.4,0.8,0.3,2,2573.6666666666665,583.0,1990.6666666666667,3.729653056015317,0.36115605107455995,0.6396681112365428,0.45591388295890756,0.612415319449575,0.15545762791226095
0.75,0.8,0.0,0.0,0,2554.6666666666665,571.0,1983.6666666666667,3.7266781216404947,0.3959341217810001,0.46808385089255405,0.5275987593285179,0.7031326197117679,0.28242296643545767
0.75,0.8,0.0,0.0,1,2459.0,571.1666666666666,1887.8333333333333,3.1217503881649336,0.2839291051985246,0.6332335712838095,0.4518129093682104,0.717118749034329,0.2882796373872704
0.75,0.8,0.0,0.0,2,2552.5,567.0,1985.5,3.431420633315435,0.4336001803660195,0.44347314429610085,0.5210184545855837,0.44182809477368545,0.259876152598812
0.75,0.8,0.0,0.3,0,2528.5,565.8333333333334,1962.6666666666667,3.2870320764411805,0.3457835539366762,0.49739186684342523,0.47172529727582285,0.6312550522211678,0.267878359395866
0.75,0.8,0.0,0.3,1,2527.8333333333335,559.1666666666666,1968.6666666666667,2.9798777060487116,0.3411360428269063,0.511068502924509,0.44223613398785216,0.555612650182496,0.24315098481705702
0.75,0.8,0.0,0.3,2,2570.1666666666665,578.8333333333334,1991.3333333333333,3.3152914273865637,0.38238714450617556,0.36416856449223395,0.4620475151955625,0.5172716473965129,0.2382251256551615
0.75,0.8,0.8,0.0,0,2576.5,582.1666666666666,1994.3333333333333,3.753006103458805,0.4247275647696882,0.48651182301164736,0.5263797119726101,0.5893806438468353,0.22388191991183296
0.75,0.8,0.8,0.0,1,2555.3333333333335,575.3333333333334,1980.0,3.9331043428591355,0.4398626576273827,0.508383592162247,0.552257210871249,0.5848683127822029,0.2278393599962054
0.75,0.8,0.8,0.0,2,2510.5,570.1666666666666,1940.3333333333333,2.925051571001816,0.2904433947773613,0.7852189576641067,0.4346399212026683,0.7443826610385255,0.19693443271816435
0.75,0.8,0.8,0.3,0,2576.8333333333335,580.0,1996.8333333333333,3.644829639374724,0.3701276621738703,0.8131743071270107,0.5175522024837068,0.7433059908147457,0.20946562562790091
0.75,0.8,0.8,0.3,1,2557.5,566.8333333333334,1990.6666666666667,3.142000048982382,0.3610172715309525,0.6443195548491415,0.4833394631000851,0.6645678067890116,0.21092171662656564
0.75,0.8,0.8,0.3,2,2556.8333333333335,567.8333333333334,1989.0,3.508431166190236,0.36503728119948503,0.54484953418143,0.471251393070186,0.5225073334262363,0.2100846730125799
