treatment,period,cost,population_mean,population_std,mean_d_mean,mean_d_std,std_d_mean,std_d_std,maladaptation_mean,maladaptation_std,trait_variance_mean,trait_variance_std,trait_env_corr_mean,trait_env_corr_std
moving,30.0,0.0,900.0,0.0,5.318518518518519,0.19364066674882702,0.8799518829233494,0.08140654524961716,0.21134862261403672,0.006748162871364774,0.10763422369974947,0.007401169783147472,0.09207695721273797,0.0016261867646211496
moving,30.0,0.2,900.0,0.0,3.5303703703703704,0.1339814494868017,1.1483843698123197,0.04393045981265823,0.22046440617324317,0.011287902361068622,0.09680820704791555,0.003222937448440716,0.006981100811953023,0.06392102992969102
moving,30.0,0.5,900.0,0.0,2.4837037037037035,0.04444907383297226,0.8341470875499167,0.047510143730016004,0.19846807462983782,0.0011060807274853332,0.08860739381408923,0.005047511634693177,0.07243804575316852,0.01716245069568368
moving,30.0,1.0,900.0,0.0,1.8196296296296295,0.06016780375793593,0.6702333586430177,0.045758391646919895,0.18415256444037723,0.00556987473493466,0.06921561693263531,0.0063892735716887476,0.05503273965448713,0.05234015990619172
moving,60.0,0.0,900.0,0.0,5.45,0.06167417371723506,0.7863763962068782,0.06564286689172828,0.16256511934077666,0.007277533770345236,0.11204888615651508,0.009815164401794921,0.3151706681242122,0.007152114092575899
moving,60.0,0.2,900.0,0.0,3.822962962962963,0.5266318944608034,1.1699974140076281,0.16011898441119704,0.1636157422465576,0.005311521163195745,0.10273380504148781,0.009041851486543228,0.2830394020507609,0.030639833617297333
moving,60.0,0.5,900.0,0.0,2.4514814814814816,0.08693216692393299,0.8335441259167542,0.1271316564197035,0.16629903356471287,0.0025477193615914247,0.08935940476880277,0.009021297494050012,0.22818053982084005,0.041138047287537
moving,60.0,1.0,900.0,0.0,1.912222222222222,0.10698448024057358,0.6846499632670389,0.08158635336677358,0.1675962819763077,0.005997383003057239,0.07072602155335483,0.0012063009592120704,0.15170230273657534,0.027289192275226082
moving,90.0,0.0,900.0,0.0,5.523333333333333,0.14198330626964303,0.6897398996497875,0.15766047305894318,0.11633842822343561,0.0032820602361298655,0.11005349563085946,0.008146073148470143,0.5061778897270469,0.02930102549583708
moving,90.0,0.2,900.0,0.0,3.657407407407407,0.18107475208769816,0.9377734526798308,0.17740709970369153,0.12558682329700577,0.0029928304839685377,0.1044620222011756,0.002289717464868418,0.45505098269022765,0.013739237358874034
moving,90.0,0.5,900.0,0.0,2.6892592592592592,0.12376966527042157,0.812613731804062,0.07376214110921941,0.13594400939580611,0.0057019913415029535,0.0992596753630307,0.004563750308788949,0.39886303588016087,0.016876271353571608
moving,90.0,1.0,900.0,0.0,1.9196296296296296,0.1514307621329452,0.7528529922366904,0.08805534228868576,0.1463172569625437,0.009820350675064203,0.07183700226623134,0.012870417581475549,0.26201929041393685,0.0994384208787631
moving,180.0,0.0,900.0,0.0,5.006296296296296,0.17158064487427865,0.872555378465392,0.07545532965170705,0.06191746731119919,0.006721054610865707,0.11976459505792275,0.006446588165776377,0.747671013911047,0.026283709815873572
moving,180.0,0.2,900.0,0.0,3.109259259259259,0.23979758267846707,0.8527687325507852,0.045850924196410396,0.06855528648866999,0.0038430320057177853,0.11861940502860917,0.004619255465816026,0.7191867630493296,0.012444498870499573
moving,180.0,0.5,900.0,0.0,2.2422222222222223,0.17282332375743706,0.670749194947839,0.0531368340120015,0.07239275979150284,0.004781373163915531,0.10830058885005317,0.008502393528842142,0.693033147181275,0.010619370475567257
moving,180.0,1.0,900.0,0.0,1.7818518518518518,0.040128394757872145,0.7284565381611854,0.12662305532085774,0.08757275482701365,0.005500414451050408,0.1002766811532166,0.012765792194135546,0.6154383061651246,0.032081846559286406
static,-1.0,0.0,900.0,0.0,3.9992592592592593,0.20561960963953005,1.2491162856965177,0.09749221774195688,0.01858542868970099,0.0004787071471270401,0.11946183248066071,0.002034929227446163,0.9242933521828517,0.0019433646070748979
static,-1.0,0.2,900.0,0.0,2.377037037037037,0.05763158141986676,0.8180917665247195,0.06305907260405595,0.015807397419524763,0.0006582068213664472,0.120006517104975,0.003145552898535331,0.9357834206161121,0.0020681561281757988
static,-1.0,0.5,900.0,0.0,1.7196296296296296,0.07519795549273975,0.6723546106922192,0.05781753054788285,0.014500092988313779,0.00041474111972287966,0.11885301423650953,0.006675961041511126,0.9414605480894328,0.001019219944165015
static,-1.0,1.0,900.0,0.0,1.1662962962962962,0.011129614223197694,0.3971251500591832,0.012853037130758665,0.01668085698623921,0.000859199101204242,0.11630761582717697,0.001275197442821529,0.9316925294394954,0.0037198509161380858
