treatment,period,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,30.0,0.2,1,100,900,3.3855555555555554,1.1977813852759527,0.5028191743507604,0.2072347947401029,0.09862912234695263,0.07386122595442479
moving,30.0,0.2,1,120,900,3.4122222222222223,1.148944228196553,0.5038749050613562,0.2069020999800466,0.092048098906568,0.04736359163760549
moving,30.0,0.2,1,140,900,3.4988888888888887,1.1836848721442754,0.49919769415938503,0.20668786194655017,0.0997946339424573,0.08106210456515715
moving,30.0,0.2,1,160,900,3.5555555555555554,1.2074869321686363,0.501709668242945,0.20915778884115255,0.10831437861577096,0.10381500101387367
moving,30.0,0.2,1,180,900,3.4477777777777776,1.138490987401772,0.5056241396837905,0.21693994065802208,0.1052446303137178,0.05813679039871067
moving,30.0,0.2,1,200,900,3.562222222222222,1.1969941778172501,0.5112245773926416,0.23339921606848896,0.09380055164976521,-0.06682839942149914
moving,30.0,0.2,2,0,900,3.52,1.7348198753761153,0.4939659168957211,0.21106073507722412,0.0799291071681558,-0.030489601083498078
moving,30.0,0.2,2,20,900,3.6977777777777776,1.5598417140336729,0.5033710331084745,0.2153625551219275,0.08794484860180013,-0.011475384989293265
moving,30.0,0.2,2,40,900,3.8266666666666667,1.5066371678528163,0.4848616255347347,0.19731382385889099,0.0996742256122567,0.12358578716587997
moving,30.0,0.2,2,60,900,3.8866666666666667,1.437760604396836,0.4869838954194155,0.21954700836338784,0.09156792965170783,-0.013130976611447315
moving,30.0,0.2,2,80,900,3.828888888888889,1.345630330980363,0.5170523210242686,0.2005998081175564,0.09109548151087406,0.07396924691774334
moving,30.0,0.2,2,100,900,3.841111111111111,1.3557609134065594,0.5144973461236501,0.19113025509770457,0.09037831764967534,0.11505566196847224
moving,30.0,0.2,2,120,900,3.6266666666666665,1.234935895772192,0.5207347337043169,0.19113832858609348,0.08609933698181237,0.09827709021278248
moving,30.0,0.2,2,140,900,3.647777777777778,1.2289767901052011,0.49545003251903597,0.2022120301086329,0.0930558822581909,0.07354801556409425
moving,30.0,0.2,2,160,900,3.6255555555555556,1.1179406773280465,0.4983726234073318,0.19270098651530537,0.09290605702537212,0.11695708352000714
moving,30.0,0.2,2,180,900,3.5188888888888887,1.1559887008717733,0.5118513481070587,0.19307275686250888,0.09103247084379401,0.10827594405261597
moving,30.0,0.2,2,200,900,3.3833333333333333,1.1366373407751675,0.5282787048935772,0.21260604492026502,0.09641392185492019,0.04375808654211458
