treatment,condition,replicate,generation,bias,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
static,neg_const,1225841523,50,-0.3,900,2.348888888888889,1.0731308757757416,2.648617641694815,1.4965908893962305,0.8798262288458004,0.540456325459701,0.4868216520559022,0.13265107631854856,0.01952753854698966,0.11330091485845642,0.9191752414011348
static,neg_const,1225841523,55,-0.3,900,2.2666666666666666,1.0424330514074593,2.644977656260631,1.4940022878182426,0.8806999629900913,0.530194134749542,0.4902592560430289,0.13353792153144248,0.018201764954483154,0.11493642810772706,0.924955333792789
static,neg_const,1225841523,60,-0.3,900,2.22,0.9663447739922963,2.6260854493603376,1.462396203696482,0.8741638806056955,0.5347842255583506,0.5061885767633635,0.13515877999817807,0.017228855770720815,0.11683751511264502,0.9293106844417239
static,neg_const,1225841523,65,-0.3,900,2.18,0.9326426015480004,2.639680669696626,1.43129031207517,0.8739516606235096,0.5228056429586311,0.5143091897267016,0.1386171646066878,0.016402339616037553,0.11846209903749982,0.9330141596560563
static,neg_const,1225841523,70,-0.3,900,2.1655555555555557,0.9179277520724011,2.6039456856056375,1.46257849067993,0.8742362375683911,0.518635614167119,0.5289244605262596,0.14486624428914124,0.015921552417775466,0.11950960398472057,0.9354120952996701
static,neg_const,1225841523,75,-0.3,900,2.1333333333333333,0.8793937305515279,2.615966617167785,1.447376047445168,0.8799423373993781,0.5190529147184684,0.540166136162134,0.14618580794011712,0.015205479973072982,0.11997337142070914,0.9389553222530262
static,neg_const,1225841523,80,-0.3,900,2.1,0.8621678104251708,2.621972569221507,1.441335213131427,0.8802729519427485,0.5250869118360623,0.5548956889110862,0.14844246624582427,0.01586050697708797,0.12289407252172788,0.9375812832954167
static,neg_const,1225841523,85,-0.3,900,2.0566666666666666,0.849908491806291,2.624730913227565,1.4381260115347794,0.8747846502781748,0.529151512483555,0.5641746144563375,0.15050016886077408,0.015178936326439879,0.12221171629088422,0.939063996887391
static,neg_const,1225841523,90,-0.3,900,2.0188888888888887,0.8476627270120068,2.6119463287655202,1.4385012996910418,0.8836121658382817,0.5303492337867557,0.5784657428859608,0.1562957158897531,0.01519280186126606,0.11939104190571621,0.9386395281494406
static,neg_const,1225841523,95,-0.3,900,2.0044444444444443,0.8406229318667479,2.6290973731780527,1.4307479765152455,0.9025611336472116,0.5421111617392506,0.5982747901373769,0.1546016031404527,0.015552057409479294,0.11827675923696881,0.9365350511350217
static,neg_const,1225841523,100,-0.3,900,2.006666666666667,0.8218948297143079,2.614525844769949,1.434569953697542,0.898687975478227,0.5379909625745523,0.599173434929342,0.15243463702150717,0.01467944455239117,0.11958557944708496,0.9402410416923979
static,neg_const,1225841523,105,-0.3,900,1.9833333333333334,0.831831980897852,2.62123464070188,1.4624443250340702,0.9279228547380303,0.5456953848225866,0.6145052671253709,0.15698447208653069,0.014384584370449068,0.11769327075281624,0.9411562003915677
static,neg_const,1225841523,110,-0.3,900,1.9122222222222223,0.826011538495919,2.6075853706850416,1.4700598618145109,0.9496553240717045,0.5463075402962706,0.6293838357439226,0.16140244448893354,0.014556883732595668,0.11798558753749398,0.9405859728398815
static,neg_const,1225841523,115,-0.3,900,1.9011111111111112,0.7875411021999557,2.622992963856279,1.470574057561513,0.9661634647624808,0.5407181718224224,0.6355567262452865,0.16089179431138678,0.014923872994464203,0.11373988726934947,0.93866120331041
static,neg_const,1225841523,120,-0.3,900,1.87,0.7844247715506072,2.6605916201554,1.4708756759516965,0.9875261428342705,0.5460407353584714,0.6430764686316656,0.15901150841035086,0.01572912089029356,0.1121160026175037,0.9351905455270387
static,neg_const,1225841523,125,-0.3,900,1.8466666666666667,0.7592686539617508,2.737676501709526,1.473844883339164,0.9913567623882835,0.551682832186537,0.65955165239823,0.15500195786031062,0.01584024248985753,0.11352479470006986,0.9347127665007877
static,neg_const,1225841523,130,-0.3,900,1.808888888888889,0.7550782806282692,2.7234381414840283,1.4970816121689854,1.0152416548624574,0.5495404102282548,0.6714534092904948,0.15734412678353196,0.016669410576034417,0.11328045670005914,0.931248051097175
static,neg_const,1225841523,135,-0.3,900,1.8055555555555556,0.7445895380992896,2.706554098157658,1.509969749469792,1.0102203930650098,0.5593718650826104,0.6841374065192368,0.16163030625228486,0.016278556711714742,0.11723122425820968,0.9332987506641848
static,neg_const,1225841523,140,-0.3,900,1.808888888888889,0.7609415869601505,2.714619343207085,1.4910252732972098,1.0202541159459249,0.5538580732310379,0.6935232907985447,0.1629665058948607,0.01624237602011444,0.1160956604663282,0.933350540497324
static,neg_const,845234892,0,-0.3,900,3.5366666666666666,1.7113315153866464,2.516135405760205,1.4499172134064706,0.9554966865897889,0.5771346300647274,0.2505584388807342,0.14144677308532458,0.20321307933964533,0.0767334392661539,-0.005905293473009151
static,neg_const,845234892,5,-0.3,900,3.431111111111111,1.690078528382266,2.4513674866262565,1.451131064197683,1.0120328803302403,0.5771672556401379,0.2839800085129872,0.1428343788671505,0.14419664445021782,0.07802917511009311,0.2980558751567035
static,neg_const,845234892,10,-0.3,900,3.27,1.6823891741607626,2.4652024373047676,1.4310700775237468,1.0591170177720675,0.5868042709576257,0.31598769361543066,0.14071829950865522,0.09611357920791998,0.0828929251183558,0.5490800105235466
static,neg_const,845234892,15,-0.3,900,3.102222222222222,1.6174724986690245,2.3898080457928037,1.4129613232071467,1.100359150241509,0.5951997275860702,0.3396226030125044,0.14000622766735304,0.06833044210273108,0.08799731628104054,0.6899459021232958
static,neg_const,845234892,20,-0.3,900,2.9355555555555557,1.5247084319531834,2.408504697008382,1.4106123308070488,1.1282409015036332,0.6046813458162502,0.3596332621149851,0.13930175546253445,0.051890556371404085,0.09114839624857893,0.770636710478059
static,neg_const,845234892,25,-0.3,900,2.8733333333333335,1.487563257291751,2.3971475518161802,1.3685437731525512,1.1376499392724533,0.6105988826139842,0.37857076199404305,0.13608824055195348,0.04056710785926698,0.09431226811438606,0.8237308573470279
static,neg_const,845234892,30,-0.3,900,2.7066666666666666,1.431611368741919,2.356809160339586,1.356868927323157,1.1565906366221228,0.6247825909021876,0.40616391631382626,0.1383104275378135,0.03488164736572809,0.09645020362453333,0.8504927147916745
static,neg_const,845234892,35,-0.3,900,2.6144444444444446,1.3756663929497435,2.3762128230695674,1.3400245917343088,1.151398342452994,0.6334862439023562,0.4201600798296312,0.14457686469731387,0.029205254978220407,0.09984549601114319,0.8761517047099482
static,neg_const,845234892,40,-0.3,900,2.5833333333333335,1.3369741957120937,2.392039210537308,1.3460154669720326,1.1304017038894696,0.6197391665833489,0.4371996716622459,0.14396229621321513,0.02371718189627669,0.10352545289846647,0.9003974141185872
static,neg_const,845234892,45,-0.3,900,2.5122222222222224,1.2511619291041052,2.394605541481352,1.3673864621395881,1.13164295283937,0.6349639551992108,0.45389306352054354,0.14807516021463843,0.021684380417323273,0.10561607389596023,0.9092926342766157
static,neg_const,845234892,50,-0.3,900,2.4322222222222223,1.217860398657122,2.452258478124708,1.39932998430931,1.0935416444448234,0.6273197331749819,0.46829033235141476,0.15034341120921346,0.019447292117760025,0.11014921362368667,0.9195671177463005
static,neg_const,845234892,55,-0.3,900,2.3566666666666665,1.1740291497422217,2.480144058966196,1.4121650126748635,1.0904829724321763,0.622379838111497,0.48637123503246854,0.15431538808015535,0.017368125315369205,0.11265872471674726,0.9284170313929665
static,neg_const,845234892,60,-0.3,900,2.2333333333333334,1.089852181618121,2.4748726456651986,1.4145955485198136,1.088668447926712,0.6237977800482227,0.5046512764926205,0.15377982078045216,0.01772064291825701,0.11421139698755839,0.927130096561696
static,neg_const,845234892,65,-0.3,900,2.198888888888889,1.066353542003406,2.522095185604532,1.422641506871552,1.0890869282650417,0.6266781013971998,0.5202823302911717,0.15650657342780297,0.017755448051711944,0.11670971297057603,0.9274114478344468
static,neg_const,845234892,70,-0.3,900,2.1566666666666667,1.0300539360203964,2.539727896923506,1.443261699560304,1.0871930850167337,0.620679227127128,0.5340978773977223,0.16611716481245273,0.016534404464983974,0.11870488265130191,0.9327157277812822
static,neg_const,845234892,75,-0.3,900,2.068888888888889,0.9942774533906457,2.508580751408578,1.4484265635604763,1.0660232565771324,0.6212605599995346,0.5464311253611815,0.1742013398788332,0.015991276052377965,0.11934267893285876,0.935222755229416
static,neg_const,845234892,80,-0.3,900,2.042222222222222,0.9500851163948741,2.519683323602437,1.4512028248392133,1.0577644941574225,0.6251387362350364,0.5678306303850704,0.18032158947400168,0.014713531320183448,0.12032606688567059,0.9403754410334563
static,neg_const,845234892,85,-0.3,900,2.0044444444444443,0.8906815257132673,2.4833183792280975,1.4661624085158065,1.042638240229656,0.633854520520743,0.5799081466777777,0.18221745504390774,0.015983967560813824,0.12030637425814122,0.9352682136934126
static,neg_const,845234892,90,-0.3,900,1.9922222222222221,0.8887854106435589,2.5117305246142623,1.4773596578564516,1.0212984969510983,0.6297835898524736,0.5881859123910791,0.17596701135892379,0.015157037068695485,0.12066861786076795,0.9385875733158097
static,neg_const,845234892,95,-0.3,900,1.9388888888888889,0.8337591504671205,2.5198799862463694,1.4965429180361398,1.0141463647351896,0.6230033032976534,0.5996562005420242,0.17536025668727814,0.0161819279206456,0.12119688037432205,0.9345553240763416
static,neg_const,845234892,100,-0.3,900,1.95,0.8129165598838133,2.50872816602744,1.50411555946001,1.0172201197541388,0.6281004677164999,0.6065189181488542,0.18097638407232294,0.01623843058230972,0.11904936513086901,0.9339650383039287
static,neg_const,845234892,105,-0.3,900,1.9266666666666667,0.7797150476652066,2.5090988323493133,1.5065888639172198,1.025020011004271,0.6422734047322581,0.6269710817467773,0.18586451408312216,0.016776131965026773,0.12063718804470619,0.9318791752992341
static,neg_const,845234892,110,-0.3,900,1.9111111111111112,0.7752339352227737,2.5142081545748542,1.4950284020811586,1.0260516748892758,0.652307426754411,0.647816448827271,0.18116087735310074,0.016011429569426323,0.12182188275384029,0.9353612877729215
static,neg_const,845234892,115,-0.3,900,1.8811111111111112,0.7515013779013677,2.5050854359486046,1.4977925394248235,1.0405515585790412,0.659442845188611,0.6660293538515722,0.18052532841747215,0.01569599079929535,0.11934170334176568,0.9360239380624332
static,neg_const,845234892,120,-0.3,900,1.8688888888888888,0.7487240174596963,2.5212262800110854,1.4796807726056653,1.0354171414579474,0.660149942055882,0.6845966716709687,0.1771068728141269,0.016216528737023072,0.12087016930751547,0.9342111250584086
static,neg_const,845234892,125,-0.3,900,1.8611111111111112,0.723908288304909,2.5202447811493025,1.4660555664178105,1.0511007057251989,0.6659364104230495,0.6978505007760374,0.1755388300112296,0.015210902021511024,0.1227204219897758,0.9387113801221463
static,neg_const,845234892,130,-0.3,900,1.85,0.7013875137500271,2.4630664747723725,1.4534302189107087,1.0212915620694538,0.6678571628461358,0.709454750988866,0.1728191704611934,0.01355508910574175,0.12048677156787682,0.9450720509901934
static,neg_const,845234892,135,-0.3,900,1.8477777777777777,0.6600888454977991,2.445918519038381,1.4559232663114408,1.0239695422069877,0.6722055869504935,0.7176101457706493,0.1722571631416185,0.014109167567342982,0.11880001673969481,0.9426197549436651
static,neg_const,845234892,140,-0.3,900,1.8377777777777777,0.6397183022024925,2.438683475473571,1.4623586574225873,1.0253509476553042,0.6677670741363753,0.7282403552650718,0.17201179101582947,0.014295061257417556,0.12135903407502853,0.9423879600919066
static,neg_const,365289374,0,-0.3,900,3.486666666666667,1.711672346631277,2.4295707324817895,1.4588836566464025,0.9697463168492133,0.56734954452799,0.25430632565355543,0.14479371106288308,0.21080843555348874,0.08096335089937134,-0.02389039624508839
static,neg_const,365289374,5,-0.3,900,3.2911111111111113,1.6989306731290612,2.3485796044113854,1.4360525498825822,1.003923837378418,0.5631693221323002,0.28703848406589694,0.15044474424327567,0.14084779594869398,0.08772007365403899,0.34363121835315
static,neg_const,365289374,10,-0.3,900,2.982222222222222,1.634256730666389,2.360949843576279,1.4210373222722763,1.0112819164671654,0.5716474445599902,0.31260772038311424,0.15216357349049556,0.10704677848679986,0.09049455946035356,0.510117300514332
static,neg_const,365289374,15,-0.3,900,2.7777777777777777,1.526635936938017,2.3985617484111783,1.4328613602183493,1.0140691091831961,0.5725837327088499,0.3440323097658892,0.1592703920077654,0.07337600620141152,0.09566458414921947,0.6736480993565208
static,neg_const,365289374,20,-0.3,900,2.6166666666666667,1.4285773809399802,2.3104956843259252,1.4319736196764505,1.047707871391684,0.5893937630377475,0.3791073069597368,0.16209331179515613,0.05421283800708819,0.10252291980290573,0.7659709537580424
static,neg_const,365289374,25,-0.3,900,2.4355555555555557,1.2803047476728266,2.2173012526643143,1.4159906375202143,1.058640122159281,0.5901602521497039,0.40510445438980897,0.1600456306731579,0.04259363508178545,0.10937801274431114,0.8204612094429582
static,neg_const,365289374,30,-0.3,900,2.351111111111111,1.1874570817455485,2.1175141783772986,1.4022184547784116,1.0803682110420751,0.5946083758354583,0.43529969443977595,0.16141706100145303,0.03122681295949292,0.11379143931340771,0.8702216397264954
static,neg_const,365289374,35,-0.3,900,2.2044444444444444,1.0563996624921745,2.079522237772618,1.3827437104380715,1.093408910023323,0.5992084891866228,0.45790613849872386,0.16269089522995114,0.02708025272210847,0.11147308064406862,0.8870069587741106
static,neg_const,365289374,40,-0.3,900,2.117777777777778,0.9997308279707402,2.023302835883574,1.388657106073325,1.1119827700706022,0.6039850394221044,0.4784587359902304,0.1654557326903258,0.022950423767499662,0.11339798523199526,0.9048069540260496
static,neg_const,365289374,45,-0.3,900,2.037777777777778,0.8811076082317929,2.0066665019828576,1.3629453203045307,1.169841456796608,0.6028681310874799,0.490764028265882,0.17189632121179388,0.01953678210610725,0.11558754308057884,0.9196475329358146
static,neg_const,365289374,50,-0.3,900,2.0055555555555555,0.8225787515302931,2.0373676801532574,1.3808477513985367,1.1782367518559542,0.6003427406810417,0.5205860546543284,0.18006946701430473,0.01884965614444904,0.11508222649641715,0.922297335316771
