treatment,period,base_cost,sigma_noise,c_plast,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.6,0.0,0.0,False,1,40,900,2.4244444444444446,1.2943733886077087,0.0,0.0,0.13463211657282217,0.10280121440418528,0.41103663394990336
moving,90,0.6,0.0,0.0,False,1,60,900,2.5044444444444443,1.1542107559435593,0.0,0.0,0.1442527435316812,0.11066766779632992,0.3886178911787402
moving,90,0.6,0.0,0.0,False,1,80,900,2.7744444444444443,0.9995622498664226,0.0,0.0,0.13088683187808467,0.10432475336596299,0.43107313726418245
moving,90,0.6,0.0,0.0,False,1,100,900,2.7466666666666666,0.9287027990099356,0.0,0.0,0.145087881322977,0.10019102109937819,0.35977580605933335
moving,90,0.6,0.0,0.0,False,1,120,900,2.55,0.9059985283284591,0.0,0.0,0.1388286825100574,0.10440041196495886,0.3969287514044786
moving,90,0.6,0.0,0.0,False,1,140,900,2.486666666666667,0.8697636971550886,0.0,0.0,0.1306972343275808,0.10362379456328509,0.431975382192781
moving,90,0.6,0.0,0.0,False,1,160,900,2.488888888888889,0.7445273585667092,0.0,0.0,0.13141103722789285,0.10085859881560008,0.42058090208411303
moving,90,0.6,0.0,0.0,False,1,180,900,2.667777777777778,0.7300422784983496,0.0,0.0,0.13702743770483125,0.1056071169026892,0.4077664736256832
moving,90,0.6,0.0,0.0,False,2,0,900,3.4677777777777776,1.7486711003742101,0.0,0.0,0.20866788997316632,0.08254307257011843,-0.004541492900881676
moving,90,0.6,0.0,0.0,False,2,20,900,2.6933333333333334,1.4956826757927857,0.0,0.0,0.09202620397824578,0.08811031881032698,0.5769033931145888
moving,90,0.6,0.0,0.0,False,2,40,900,2.3733333333333335,1.2860620341008264,0.0,0.0,0.14040190275745376,0.08612462733701,0.3421346926048009
moving,90,0.6,0.0,0.0,False,2,60,900,2.3855555555555554,1.1290173811388289,0.0,0.0,0.14918279628518072,0.08666667303446533,0.30069858289098556
moving,90,0.6,0.0,0.0,False,2,80,900,2.5855555555555556,0.9570859837271224,0.0,0.0,0.1406850473063706,0.08176622834962596,0.3282179064576198
moving,90,0.6,0.0,0.0,False,2,100,900,2.608888888888889,0.926360194458151,0.0,0.0,0.13824697810060801,0.08249250790641538,0.3427477802704186
moving,90,0.6,0.0,0.0,False,2,120,900,2.3733333333333335,0.8618842407449184,0.0,0.0,0.13955204692410444,0.07563139978357758,0.322056442365957
moving,90,0.6,0.0,0.0,False,2,140,900,2.3366666666666664,0.7637553418616607,0.0,0.0,0.13635119859737307,0.07759054327578727,0.33633074191981494
moving,90,0.6,0.0,0.0,False,2,160,900,2.398888888888889,0.8285186840841571,0.0,0.0,0.12859922598335258,0.07935074184220708,0.3808101394079693
moving,90,0.6,0.0,0.0,False,2,180,900,2.318888888888889,0.7597359840313599,0.0,0.0,0.12225306996510783,0.07271407828402693,0.3958368746914865
moving,90,0.6,0.0,0.0,False,3,0,900,3.5233333333333334,1.7050610937246011,0.0,0.0,0.21706135309013752,0.08394286569809653,-0.03934326768937852
moving,90,0.6,0.0,0.0,False,3,20,900,2.7911111111111113,1.322761794667543,0.0,0.0,0.09980422186530592,0.09534349695117147,0.5520956322898205
moving,90,0.6,0.0,0.0,False,3,40,900,2.7111111111111112,1.0969092380608387,0.0,0.0,0.1223470924640891,0.1000727441340431,0.4601562251084542
moving,90,0.6,0.0,0.0,False,3,60,900,2.612222222222222,0.9473152446992006,0.0,0.0,0.15197997534512725,0.10228212384666263,0.3344453442951265
moving,90,0.6,0.0,0.0,False,3,80,900,2.818888888888889,0.9210373915011323,0.0,0.0,0.13436977342372652,0.10225760558324302,0.41092144779848644
moving,90,0.6,0.0,0.0,False,3,100,900,2.828888888888889,0.8728299369094945,0.0,0.0,0.14451757354632383,0.09368592372291056,0.34380220929040756
moving,90,0.6,0.0,0.0,False,3,120,900,2.761111111111111,0.8094160370215396,0.0,0.0,0.12835738483042705,0.09798388145734811,0.4275152211061262
moving,90,0.6,0.0,0.0,False,3,140,900,2.71,0.8214553480797899,0.0,0.0,0.13513411074464135,0.09535618587410316,0.3903023010097946
moving,90,0.6,0.0,0.0,False,3,160,900,2.56,0.787231435686694,0.0,0.0,0.13990174901940824,0.0869107494971628,0.3458377984390356
moving,90,0.6,0.0,0.0,False,3,180,900,2.462222222222222,0.7584454536569124,0.0,0.0,0.13416689664550074,0.09246445757457034,0.3880372402674959
moving,90,0.6,0.0,0.0,True,0,0,900,3.506666666666667,1.7207750191895124,2.4859951104390428,1.465845550116314,0.20594069514065905,0.08582924011246561,0.023615175740728828
moving,90,0.6,0.0,0.0,True,0,20,900,2.9988888888888887,1.5125397658276214,2.359394124580072,1.4932848106242391,0.08730682914059612,0.09824291019305324,0.613543594665444
moving,90,0.6,0.0,0.0,True,0,40,900,2.578888888888889,1.2924562700055051,1.9254317227147288,1.3940916781547152,0.12238302520054124,0.10268530919183076,0.46490730134852365
moving,90,0.6,0.0,0.0,True,0,60,900,2.597777777777778,1.078267929781398,1.7321808779573065,1.1872357404507303,0.14307670138980597,0.09801728188516998,0.3614229003988662
moving,90,0.6,0.0,0.0,True,0,80,900,2.7777777777777777,1.0517475169954873,1.673494078939161,0.9729388010525024,0.1362059929427848,0.10241559232331045,0.40373349303113587
moving,90,0.6,0.0,0.0,True,0,100,900,2.8966666666666665,0.9760407550689446,1.6567617858214163,0.8322167284225591,0.13413478775479806,0.10443650935923336,0.41743378752819676
moving,90,0.6,0.0,0.0,True,0,120,900,2.8666666666666667,0.9486832980505138,1.8243190227375925,0.9673500918892988,0.13535871798235788,0.10591309221657699,0.41542879036998565
moving,90,0.6,0.0,0.0,True,0,140,900,2.4966666666666666,0.8478666037636922,1.7053694340967316,1.0361328645290118,0.11888437006409701,0.09485408247642046,0.4642891873978834
moving,90,0.6,0.0,0.0,True,0,160,900,2.327777777777778,0.7041981693588781,1.3700743670900788,0.7858541157706863,0.1358367903699983,0.09226130217207823,0.3794686574850119
moving,90,0.6,0.0,0.0,True,0,180,900,2.281111111111111,0.6878944435246579,1.1882496214446188,0.5940053024218424,0.14131922234381378,0.0977205623060735,0.36944360545066157
moving,90,0.6,0.0,0.0,True,1,0,900,3.581111111111111,1.7246831879407394,2.585434210010027,1.4409645094949162,0.2083376677529847,0.08347365194011815,0.0006931367390803291
moving,90,0.6,0.0,0.0,True,1,20,900,2.968888888888889,1.5030076842003943,2.427418641490358,1.5035864370577503,0.07935178304706536,0.0944362443977052,0.6446889435847063
moving,90,0.6,0.0,0.0,True,1,40,900,2.6955555555555555,1.2903841900863058,2.263870242310894,1.4239730850790813,0.11903677101828745,0.0942864737611421,0.4629799112732255
moving,90,0.6,0.0,0.0,True,1,60,900,2.5877777777777777,1.0646155046961818,2.1076154140288135,1.2574273720224707,0.141574998625854,0.09227021054995238,0.35322129564918486
moving,90,0.6,0.0,0.0,True,1,80,900,2.8222222222222224,0.8442982329561275,1.7947358736192662,0.9738692737028526,0.12106002175816422,0.08664652604409731,0.43653963235716114
moving,90,0.6,0.0,0.0,True,1,100,900,2.8566666666666665,0.756093762557117,1.675831288062082,0.9882270814942435,0.13034527452627856,0.0844349667202644,0.38512772686546765
moving,90,0.6,0.0,0.0,True,1,120,900,2.8177777777777777,0.7602014028134295,1.6846069882434718,1.1240045512938004,0.13058283995394593,0.08856461303439005,0.3943550225046297
moving,90,0.6,0.0,0.0,True,1,140,900,2.81,0.844926032265547,1.6644049502374123,1.1038468487200674,0.11725309374176718,0.09269838597984467,0.4666382456177348
moving,90,0.6,0.0,0.0,True,1,160,900,2.9144444444444444,0.9191857642151572,1.7575042291096485,1.0124961095930547,0.1293127111329093,0.08784310063069894,0.3992325768686352
moving,90,0.6,0.0,0.0,True,1,180,900,2.9077777777777776,0.9962962274542176,1.5915653979889732,0.928225994121849,0.13001473815373935,0.08196814208885522,0.3802698357588196
moving,90,0.6,0.0,0.0,True,2,0,900,3.488888888888889,1.7116882143690413,2.4484656627081693,1.4488178021088358,0.20493197021445092,0.08471532221593359,0.023326777653927492
moving,90,0.6,0.0,0.0,True,2,20,900,2.9655555555555555,1.5296812384801042,1.971957195060193,1.3565051365767102,0.09195031034032179,0.09771995532261084,0.5924874125398165
moving,90,0.6,0.0,0.0,True,2,40,900,2.8266666666666667,1.293986089569745,1.7725332988686648,1.2133116185059711,0.13235932278275442,0.10229600087801806,0.4198182829518302
moving,90,0.6,0.0,0.0,True,2,60,900,2.991111111111111,1.1034938900746567,1.5570836051485817,1.0860962252245012,0.13006905454066184,0.10695090490882961,0.44498690210832104
moving,90,0.6,0.0,0.0,True,2,80,900,2.9833333333333334,1.0406995510499442,1.6362794978680273,1.1885291290162057,0.1305479512058636,0.10388605693870125,0.43407880359078616
moving,90,0.6,0.0,0.0,True,2,100,900,2.7144444444444447,0.9908538530099641,1.73370288194395,1.2225136770540164,0.12830187391489314,0.11036076857612004,0.46005427315719766
moving,90,0.6,0.0,0.0,True,2,120,900,2.488888888888889,0.8899993064222571,1.5963670895611202,1.2875842114803926,0.13530665111028423,0.0990239079539531,0.3987323331647741
moving,90,0.6,0.0,0.0,True,2,140,900,2.5011111111111113,0.8673067436924037,1.2446321206516655,1.079089758897872,0.13230647453750935,0.08970209266146456,0.38906171245444265
moving,90,0.6,0.0,0.0,True,2,160,900,2.6333333333333333,0.9655165571973492,1.0992590759087928,0.7485114887077212,0.1223225953377119,0.08604137050149162,0.429244206599136
moving,90,0.6,0.0,0.0,True,2,180,900,2.678888888888889,0.9190568165781512,1.1390057251844725,0.73766986486533,0.12905283462603226,0.08312948068660474,0.39031409104179154
moving,90,0.6,0.0,0.0,True,3,0,900,3.5077777777777777,1.6669818220549764,2.535456291378027,1.5000520600073772,0.20259746264401138,0.08427896568728688,0.03259144884519375
moving,90,0.6,0.0,0.0,True,3,20,900,3.12,1.364241751140741,2.329569319730659,1.4472524923127679,0.09974242877366822,0.09396384369937852,0.5505722500447157
moving,90,0.6,0.0,0.0,True,3,40,900,2.8233333333333333,1.1219576145687897,2.0817223487299663,1.3544626658013346,0.13683002135522898,0.10598300380881832,0.40957075341432664
moving,90,0.6,0.0,0.0,True,3,60,900,2.727777777777778,1.0318836904502775,2.012810209752248,1.3721173905549626,0.1275348048584791,0.10047801237102978,0.43844965785379975
moving,90,0.6,0.0,0.0,True,3,80,900,2.778888888888889,1.0408324066656611,1.676184952899508,1.3049852199692988,0.14003972295408781,0.09161116206514616,0.3590793507842668
moving,90,0.6,0.0,0.0,True,3,100,900,2.7822222222222224,1.0324273208509673,1.3822882314393514,1.1515131376304608,0.13136431396567758,0.09059142121578125,0.39604385504203526
moving,90,0.6,0.0,0.0,True,3,120,900,2.6222222222222222,0.8753129951658281,1.1502025630654422,0.9148820435842185,0.13357496457504525,0.0896711196429318,0.3832595928710245
moving,90,0.6,0.0,0.0,True,3,140,900,2.611111111111111,0.8150588860041469,1.0862816840560332,0.7619026346562261,0.13629438983958606,0.10144089088089639,0.40357560674353754
moving,90,0.6,0.0,0.0,True,3,160,900,2.4522222222222223,0.7564137283227095,1.1726713375864433,0.8285617154395981,0.12613868004542664,0.10321240794935313,0.4532725341650363
moving,90,0.6,0.0,0.0,True,3,180,900,2.4144444444444444,0.7381750938197539,1.050579441670594,0.7417002657754969,0.13912577719042066,0.11115044918141107,0.41165540058197786
moving,90,0.6,0.2,0.0,True,0,0,900,3.4855555555555555,1.7450922364105133,2.472454374641086,1.4471474582312063,0.19934126605018884,0.08028397510441525,0.02967473438486327
moving,90,0.6,0.2,0.0,True,0,20,900,2.7533333333333334,1.387739969238554,2.2802414908525916,1.4979963622234582,0.09306209189247701,0.10480322004154219,0.5980256045116131
moving,90,0.6,0.2,0.0,True,0,40,900,2.597777777777778,1.1207118549066906,2.1311989099780875,1.5283303994006778,0.13270702133895804,0.11791117752103374,0.4540557895855745
moving,90,0.6,0.2,0.0,True,0,60,900,2.818888888888889,0.938958577295369,1.8841256448990746,1.3898861808955745,0.1272451531286385,0.10840376247243545,0.45601147640781897
moving,90,0.6,0.2,0.0,True,0,80,900,2.7455555555555557,0.8384723027441847,1.7111876789257132,1.1343749881488705,0.1346507938013111,0.10139279032626582,0.4087639753493311
moving,90,0.6,0.2,0.0,True,0,100,900,2.6455555555555557,0.8123574898762396,1.7870189012158815,1.1161015414616464,0.12896454255871692,0.09656470068331376,0.42478086962372974
moving,90,0.6,0.2,0.0,True,0,120,900,2.6422222222222222,0.801939008179242,1.7854184608167578,1.0938664272695666,0.1326109669579722,0.09044505903330617,0.39153798746969976
moving,90,0.6,0.2,0.0,True,0,140,900,2.601111111111111,0.7744524150713694,1.679504587097494,1.0811025430122818,0.11532973847693063,0.0890353939543024,0.46836920647778013
