dispersal,population_mean,population_std,correlation_mean,correlation_std,maladaptation_mean,maladaptation_std,trait_variance_mean,trait_variance_std,lineage_richness_mean,lineage_richness_std,fst_mean,fst_std,moran_i_mean,moran_i_std
1,1525.4,8.792041856133306,-0.018818688590723862,0.417702032801942,0.34555730216976865,0.02865729404419494,0.08427749288993544,0.004131572482659823,112.6,6.841052550594828,0.014283703902170616,0.0011766523030370382,4.95701650213317,0.559061270067911
2,1514.4,4.669047011971501,-0.19123070753881732,0.26256248399160514,0.3640793419854533,0.024967944056252956,0.0847588724639642,0.011658623804622783,94.6,5.770615218501403,0.017945657846688112,0.00267182060730008,3.660769829048468,0.6523860222946175
4,1509.8,2.949576240750525,0.3045423062621801,0.2989265681173925,0.32764502457725186,0.018677941653997943,0.0803345841162371,0.008044895565108517,82.4,5.639148871948674,0.018578638895998766,0.0025039499971176793,1.48311421529418,0.3529043144394899
8,1510.6,7.3688533707762165,0.0435494973880776,0.38825350968528427,0.34077194115237674,0.02129425701339375,0.08331777384105442,0.010406501594277206,82.6,5.594640292279746,0.011084095345357642,0.0023054058716606,0.26101488806280815,0.1712794592449341
