A,sigma_e,rho,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h,maladaptation
0.0,0.0,0.0,0,0,300,300,0,0.4825100856354508,0.2913934254978495,3.013333333333333,0.4765359067855026,0.08521602552785006
0.0,0.0,0.0,0,10,2013,599,1414,0.4882510473526404,0.10351177565807207,3.7395659432387314,0.275700759877909,0.010852725588196943
0.0,0.0,0.0,0,20,2507,588,1919,0.48845396258820656,0.09521727571681367,3.704081632653061,0.3956664855817182,0.00919964057484625
0.0,0.0,0.0,0,30,2564,593,1971,0.5005832432078688,0.09381837157332512,3.615514333895447,0.5214168481278176,0.008802227017310028
0.0,0.0,0.0,0,40,2600,600,2000,0.5111024295885818,0.09132323767390013,3.4883333333333333,0.5908549117849549,0.00846319768201307
0.0,0.0,0.0,0,50,2594,594,2000,0.4898076169524057,0.09709266410577758,3.5993265993265995,0.6297333455145036,0.009530870095346236
0.0,0.0,0.0,0,60,2594,594,2000,0.49660852766767555,0.09332162083634202,3.515151515151515,0.6686189235734152,0.008720427000102905
0.0,0.0,0.0,0,70,2595,595,2000,0.5013944347004158,0.08793365946321824,3.5394957983193276,0.7256812767650517,0.007734272914726954
0.0,0.0,0.0,0,80,2591,591,2000,0.4789825201751647,0.08878402142279185,3.560067681895093,0.7574510749543004,0.008324336918190118
0.0,0.0,0.0,0,90,2594,594,2000,0.4999304574358652,0.08585083443542439,3.6077441077441077,0.781303627035713,0.007370370609426879
0.0,0.0,0.0,0,100,2592,592,2000,0.48920671066046456,0.08451661197211043,3.574324324324324,0.7681916277816307,0.007259552794011209
0.0,0.0,0.0,1,0,300,300,0,0.5352768030232806,0.285263165723683,3.1133333333333333,0.5172361177453536,0.08261952655024077
0.0,0.0,0.0,1,10,2154,600,1554,0.48275554705827783,0.10112624910928722,3.3666666666666667,0.35693259554702533,0.010523889416172888
0.0,0.0,0.0,1,20,2581,592,1989,0.48621728987438234,0.08869130954773648,3.4847972972972974,0.5496410771572389,0.008056111487699214
0.0,0.0,0.0,1,30,2597,597,2000,0.48068677048852787,0.09786527921640092,3.4991624790619764,0.6500459402211447,0.009950613710266914
0.0,0.0,0.0,1,40,2595,595,2000,0.49007053141392415,0.09469698711690389,3.566386554621849,0.7052401737336014,0.009066113715420926
0.0,0.0,0.0,1,50,2597,597,2000,0.5015568440041012,0.0982561541149885,3.5862646566164154,0.7474187869728615,0.009656695584721478
0.0,0.0,0.0,1,60,2596,596,2000,0.4956994054639438,0.08629222297220372,3.4748322147651005,0.7497413155518966,0.007464842858848079
0.0,0.0,0.0,1,70,2595,595,2000,0.5038970019644575,0.07378845123037907,3.3983193277310924,0.7553167523079015,0.005459922159289015
0.0,0.0,0.0,1,80,2594,594,2000,0.48972316024276613,0.08750355073600019,3.2996632996632997,0.7689203804572623,0.007762484826803623
0.0,0.0,0.0,1,90,2599,599,2000,0.502345622175917,0.08314192919203323,3.1769616026711187,0.7720432303085085,0.00691808233316522
0.0,0.0,0.0,1,100,2600,600,2000,0.5096740892864446,0.08300351792487573,3.3566666666666665,0.7653835593769669,0.006983171991427267
