A,sigma_e,rho,population_mean,population_std,active_mean,active_std,bank_mean,bank_std,mean_d_mean,mean_d_std,mean_h_mean,mean_h_std,maladaptation_mean,maladaptation_std
0.0,0.0,0.0,2595.0833333333335,2.4748737341529163,595.0833333333334,2.4748737341529163,2000.0,0.0,3.4740681495728882,0.13003720324433976,0.7408169917166676,0.026851690509936542,0.007765419173838249,0.0005532675194251758
0.0,0.0,0.8,2593.5,0.942809041581849,593.5,0.9428090415820097,2000.0,0.0,3.683668533686053,0.528031661871218,0.7677047994701065,0.031509797217990326,0.007560820889056422,0.0005417835912670235
0.0,0.4,0.0,2514.0,10.370899457402912,564.5,0.0,1949.5,10.37089945740259,3.336350989004446,0.3312739278662951,0.44066666640870444,0.012930275772387173,0.1565799881978553,0.0024510599371951503
0.0,0.4,0.8,2548.75,2.7105759945482175,559.8333333333333,3.064129385141773,1988.9166666666665,5.774705379690111,2.8787953434910394,0.212373775151716,0.4893136484423105,0.016017482912912467,0.1303382647855426,0.007747957929864505
0.0,0.8,0.0,2503.583333333333,12.845773191555345,549.6666666666667,2.5927248643506875,1953.9166666666667,10.253048327204938,3.076250008495845,0.058670271302231757,0.4164246481719622,0.004777725717740417,0.32107317695110016,0.004774302802601274
0.0,0.8,0.8,2530.9166666666665,20.859650045003153,567.5,1.8856180831641804,1963.4166666666665,18.97403196183889,3.518353657762435,0.3533675656282534,0.46350173302446274,0.038962959986526775,0.24413536613085757,7.852766658607112e-05
0.75,0.0,0.0,2579.0833333333335,3.8890872965260113,585.0833333333333,2.0034692133619516,1994.0,5.892556509888004,4.04099452097369,0.29596662202594437,0.5223458482323644,0.05530921021205309,0.10218766627271891,0.004515549644393502
0.75,0.0,0.8,2557.75,21.5667568261897,589.8333333333334,0.7071067811865476,1967.9166666666667,20.859650045003153,4.219484994645953,0.5506157564049048,0.4537435649079486,0.025108097905185568,0.11876472697835876,0.0032409913844042093
0.75,0.4,0.0,2568.416666666667,2.0034692133621523,582.5,1.8856180831641804,1985.9166666666665,0.11785113019773112,3.1069573322932964,0.008755034783652457,0.47562061118516596,0.03048358237783293,0.15227503279442553,0.009768187730885496
0.75,0.4,0.8,2536.083333333333,19.68113874302584,583.8333333333333,3.299831645537155,1952.25,22.980970388562795,3.6952264401552046,0.06797425630723443,0.44914519386513324,0.03302761617478521,0.14859370741967112,0.007091486331120629
0.75,0.8,0.0,2548.333333333333,11.549410759380544,572.5833333333333,1.2963624321753238,1975.75,12.845773191555505,3.5241159354300287,0.007837922692753439,0.45857520135526153,0.019616170809189187,0.27787181983765,0.01547440182149059
0.75,0.8,0.8,2552.25,7.660323462854051,576.9166666666667,0.8249579113843188,1975.3333333333333,8.48528137423857,3.1877739550002158,0.2898436427929742,0.4663341464130543,0.045596420509346855,0.20486376808284956,0.008388931329686359
1.5,0.0,0.0,2554.6666666666665,19.79898987322333,590.5,0.23570226039546224,1964.1666666666665,19.563287612827786,4.116800406168541,0.6626598265142247,0.47157791335256577,0.029260219399582503,0.12406456636446125,0.004059605782168747
1.5,0.0,0.8,2574.4166666666665,8.131727983645296,590.9166666666666,3.181980515339464,1983.5,4.949747468305833,3.8667612012255037,0.3759393450402695,0.5072327146675278,0.01537081817008735,0.12118187625222077,0.0033190334380821516
1.5,0.4,0.0,2524.416666666667,86.38487843495629,588.9166666666666,2.4748737341529163,1935.5,83.91000470080353,3.8514525768894887,0.09269105337557977,0.4679239213367008,0.07772348107294445,0.14233484722749948,0.010479939535029877
1.5,0.4,0.8,2552.25,2.7105759945482175,588.1666666666667,3.0641293851416926,1964.0833333333335,5.774705379690272,3.8604072106950684,0.35758305464038015,0.4502826414408051,0.03396286616783859,0.13876610206129997,0.010809468812884832
1.5,0.8,0.0,2575.0,4.714045207910531,585.25,2.7105759945483787,1989.75,7.424621202458749,3.979920716610942,0.6099310043109567,0.5177819344742098,0.0530476494455626,0.22138338478094677,0.032904888953274196
1.5,0.8,0.8,2568.583333333333,2.239171473757454,584.5833333333333,1.5320646925708663,1984.0,0.7071067811865476,3.4996975487731223,0.15369573767240477,0.4677560279031473,0.022000762304151253,0.16902540622111295,0.015795056606603644
