r,epsilon,long_memory_score,motif_50,motif_100,motif_150,comp_50,comp_100,comp_150,frame_50,frame_100,frame_150,wall_period,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.86,0.09,7.886912345922103e-06,0.20781944444444445,0.199953125,0.2395,0.0,0.0,0.0,0.7646666666666667,0.7674062500000001,0.7722678571428572,3.921628937007874,0.7106536281589799,0.009738645274680196,0.45871171540151723,10.0,3.921628937007874
3.86,0.11,7.512379825595452e-05,0.6188055555555556,0.601859375,0.588,0.0,0.0,0.0,0.9101250000000001,0.9025000000000001,0.8941964285714286,251.52459016393442,0.8475860650457844,0.011467258406909328,0.11724766301274193,13.0,2.0165289256198347
3.86,0.13,0.00043873322128954676,0.48926388888888894,0.921625,0.4710535714285714,0.0,0.0,0.0,0.833125,0.9791093750000001,0.8246071428571429,251.5,0.33613296874799214,0.11172497467070439,0.18875784747509813,15.0,251.5
3.86,0.15,1.9570715657590007e-05,0.383125,0.43020312499999996,0.4333392857142857,0.0,0.0,0.0,0.8345,0.8499375,0.8501071428571428,3.460567429071366,0.7686660916179304,-0.0001257479316751854,0.37490450952687926,9.0,3.460567429071366
3.88,0.09,3.512122607402779e-05,0.179375,0.16312500000000002,0.17667857142857143,0.0,0.0,0.0,0.7581944444444445,0.741890625,0.7390178571428572,252.02432467873066,0.8082402013924936,0.017009561015659428,0.5341281576293299,12.0,4.056979358794116
3.88,0.11,9.521763825462128e-05,0.4608055555555556,0.43178125,0.4152321428571428,0.0,0.0,0.0,0.8615138888888889,0.842796875,0.8301785714285714,375.0,0.8529859281944243,-0.01328099149020832,0.16983970915831348,15.0,2.8403427171785274
3.88,0.13,8.179323742152622e-06,0.6435416666666667,0.938984375,0.6417321428571429,0.0,0.0,0.0,0.890625,0.9885781250000001,0.8903214285714286,2.1944444444444446,0.3789709414030908,0.00046235324410035753,0.11561002336630605,453.0,2.1944444444444446
3.88,0.15,1.757778680862797e-05,0.36336111111111113,0.48162499999999997,0.3786785714285714,0.0,0.0,0.0,0.8381111111111111,0.871,0.8410178571428572,2.5,0.560429578668585,0.02516619009285681,0.32594122460214936,20.0,2.0
3.9,0.09,2.790009446866239e-05,0.07766666666666666,0.058078124999999994,0.04635714285714286,0.0,0.0,0.0,0.6539444444444444,0.6133124999999999,0.5845892857142857,229.16666666666666,0.847434711709387,-0.07122999783003013,0.8040086721838092,11.0,64.71303606003231
3.9,0.11,0.00025012611804368874,0.33105555555555555,0.32118749999999996,0.35314285714285715,0.0,0.0,0.0,0.8079861111111111,0.796390625,0.8000535714285715,188.9630695520756,0.7287145477370806,-0.0024530557998773436,0.3049499291735021,13.0,126.46306955207562
3.9,0.13,0.0002376981553758578,0.5277499999999999,0.7223125,0.5087857142857143,0.0,0.0,0.0,0.8722361111111111,0.9359531249999999,0.8631964285714286,127.0,0.606729763616194,0.0646814921023229,0.15035516205357824,13.0,127.0
3.9,0.15,0.00023024591729205548,0.36091666666666666,0.8003750000000001,0.33173214285714286,0.0,0.0,0.0,0.8233055555555555,0.95215625,0.8136785714285715,127.0,0.4095303962804351,0.1092116142380247,0.2141335583123571,14.0,251.5
3.92,0.09,1.3600567871345539e-06,0.043916666666666666,0.040390625,0.039464285714285716,0.0,1.5625e-05,0.0,0.5961111111111111,0.58359375,0.5818928571428571,208.955223880597,0.9113104264644739,-0.00795242872530496,1.1011070106135237,15.0,2.7803657694962043
3.92,0.11,9.211170423480983e-06,0.2739583333333333,0.249171875,0.23610714285714288,0.0,0.0,0.0,0.8028055555555556,0.782046875,0.7671785714285714,2.9667825873750395,0.8115876334475627,0.002439022131269372,0.34232535431401817,14.0,2.575178577349977
3.92,0.13,0.0002531103890830644,0.5787083333333334,0.55403125,0.5294285714285714,0.0,0.0,0.0,0.88625,0.870765625,0.8571071428571428,333.3333333333333,0.7959576501804283,-0.006412880360126723,0.1254700236253513,13.0,126.50200803212851
3.92,0.15,4.7370864134480425e-05,0.36944444444444446,0.834453125,0.34310714285714283,0.0,0.0,0.0,0.8286944444444444,0.954203125,0.81625,126.5,0.4845904220326253,0.07139504578193001,0.17180608685610754,17.0,2.0
