r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,motif_odd,parity,wall_entropy,max_cluster_lifetime,atlas_score,motif_entropy,transition_entropy,motif_repeat_rate
3.8625,0.132,240,2880,101,4,0.9216436742103433,0.8124434903619759,3.5527104858259195e-05,0.8124079632571177,0.2639220891547057,2,0.004455076359488121,0.5830236013570032,0.5141143379977352,3.183975917563969e-05
3.8625,0.132,240,2880,101,6,0.9216436742103433,0.7612007107026518,0.0,0.7612007107026518,0.2639220891547057,2,0.004455076359488121,0.5743957447843461,0.5257322099803524,1.447261780710895e-06
3.8625,0.132,240,2880,137,4,0.9128755575461079,0.7936668377305082,2.4987390904949675e-05,0.7936418503396032,0.0610252648851193,1,0.001982493306913306,0.5952038832946167,0.5356268071118235,1.8814403149241634e-05
3.8625,0.132,240,2880,137,6,0.9128755575461079,0.7377396259555091,2.7245284897132532e-06,0.7377369014270194,0.0610252648851193,1,0.001982493306913306,0.5618731330895941,0.5145081277927113,1.447261780710895e-06
3.8625,0.132,240,2880,173,4,0.9119085471977177,0.7921117823807415,7.24807531180968e-06,0.7921045343054297,0.10322224164450412,2,0.004108825157433131,0.6083496290308139,0.5401885284415816,4.341785342132685e-06
3.8625,0.132,240,2880,173,6,0.9119085471977177,0.7327537446572958,0.0,0.7327537446572958,0.10322224164450412,2,0.004108825157433131,0.6010272711961838,0.5659217060383419,0.0
3.8625,0.132,240,2880,211,4,0.9340135919049283,0.8386437039198424,5.6886436626184234e-05,0.8385868174832163,0.4000310951671969,1,0.0023261954971939146,0.5438960808048887,0.4745090815177621,3.762880629848327e-05
3.8625,0.132,240,2880,211,6,0.9340135919049283,0.7817772213787642,4.909638756205508e-06,0.7817723117400079,0.4000310951671969,1,0.0023261954971939146,0.5000385321337609,0.44391824519777456,0.0
3.8625,0.132,240,2880,257,4,0.9249624597841132,0.8257100110951555,2.4934720439128123e-05,0.8256850763747164,0.43943557582867526,1,0.002461658103073353,0.5705182437373848,0.5028440268686324,2.7497973833507006e-05
3.8625,0.132,240,2880,257,6,0.9249624597841132,0.7726792958686028,1.1779482264699119e-06,0.7726781179203763,0.43943557582867526,1,0.002461658103073353,0.5472107312776245,0.47791770089841445,0.0
3.8625,0.132,240,2880,307,4,0.9437469454467463,0.8599951143562763,0.0,0.8599951143562763,0.10899270845400943,0,0.0,0.6019163332428739,0.5717850704084171,0.0
3.8625,0.132,240,2880,307,6,0.9437469454467463,0.8124926715344142,0.0,0.8124926715344142,0.10899270845400943,0,0.0,0.6086117060540985,0.6241279855489316,0.0
3.8625,0.132,240,2880,359,4,0.9100684217408264,0.7890439694086719,1.2970324504397626e-05,0.7890309990841675,0.161735112140506,1,0.0021584763045631125,0.619064213252179,0.5546471817693716,5.78904712284358e-06
3.8625,0.132,240,2880,359,6,0.9100684217408264,0.7289646476766702,0.0,0.7289646476766702,0.161735112140506,1,0.0021584763045631125,0.6220710906151032,0.5662579910884585,0.0
3.8625,0.132,240,2880,401,4,0.9225,0.81125,0.0,0.81125,4.660846458483881e-32,2,0.0036529166666666663,0.7611501684731147,0.6960822849133719,0.0
3.8625,0.132,240,2880,401,6,0.9225,0.7525,0.0,0.7525,4.660846458483881e-32,2,0.0036529166666666663,0.7148985160374675,0.7228846294535813,0.0
3.8625,0.132,240,2880,457,4,0.9384757734030241,0.849024403994157,6.253170217592646e-06,0.8490181508239394,0.41143952145179813,0,0.0,0.5237270882437395,0.45085214835110005,1.3025356026398055e-05
3.8625,0.132,240,2880,457,6,0.9384757734030241,0.7986687549185504,0.0,0.7986687549185504,0.41143952145179813,0,0.0,0.4782347782654942,0.4503705226091414,0.0
3.8625,0.132,320,2880,17,4,0.9199088827967945,0.8094873161646792,6.732184471038447e-05,0.8094199943199688,0.21252338753578498,2,0.004327130678496753,0.5808567079863716,0.5182087639826701,7.381035081625564e-05
3.8625,0.132,320,2880,17,6,0.9199088827967945,0.7515829586635336,4.3001415882820325e-06,0.7515786585219454,0.21252338753578498,2,0.004327130678496753,0.5392314120885907,0.47779329543816623,4.341785342132685e-06
