r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,parity,wall_entropy,cluster_lifetime,atlas_score,motif_repeat_rate,transition_entropy
3.8625,0.132,320,1440,101,4,0.9256349611395145,0.8191789102321885,0.8191696270718911,0.23106327980014837,1,0.0021478345558240152,1.3029881862404447e-05,0.8356373316019426
3.8625,0.132,320,1440,101,6,0.9256349611395145,0.7661369980858528,0.7661365563897397,0.23106327980014837,1,0.0021478345558240152,0.0,0.8648310968303263
3.8625,0.132,320,2880,101,4,0.9262929304027379,0.8211038023965683,0.821099319459468,0.1773213883419587,1,0.0020635740326068997,6.5126780131990274e-06,0.8345715993475153
3.8625,0.132,320,2880,101,6,0.9262929304027379,0.7688451232222501,0.7688449043080644,0.1773213883419587,1,0.0020635740326068997,0.0,0.8634638405856437
3.8625,0.132,320,720,137,4,0.9233770510726715,0.8157600226360977,0.8153433079406989,0.2279801939798974,1,0.002160468752392258,9.561891515994437e-05,0.804056919490844
3.8625,0.132,320,720,137,6,0.9233770510726715,0.7588456128106316,0.7587772501216496,0.2279801939798974,1,0.002160468752392258,8.692628650904034e-06,0.8151366685416946
3.8625,0.132,320,1440,137,4,0.9264103759192845,0.8239616504246143,0.8237760612855478,0.18194696839482555,1,0.002069528479933003,4.777623349548298e-05,0.804533691194474
3.8625,0.132,320,1440,137,6,0.9264103759192845,0.7695355011253768,0.769505230252492,0.18194696839482555,1,0.002069528479933003,4.343293954134816e-06,0.8168196032206875
3.8625,0.132,320,2880,137,4,0.927648337708483,0.8273193531940018,0.8272311283860209,0.13185265276989633,1,0.001986896658936433,2.3879819381729767e-05,0.8047681426619621
3.8625,0.132,320,2880,137,6,0.927648337708483,0.7739116675567648,0.7738973118287308,0.13185265276989633,1,0.001986896658936433,2.1708926710663426e-06,0.8176385228144315
3.8625,0.132,320,720,173,4,0.9128125,0.7928125,0.7928125,0.1357502732151024,2,0.004196771560508569,0.0,0.8504678515666853
3.8625,0.132,320,720,173,6,0.9128125,0.7309374999999999,0.7309374999999999,0.1357502732151024,2,0.004196771560508569,0.0,0.8677202288686315
3.8625,0.132,320,1440,173,4,0.9128125,0.7928125,0.7928125,0.11931925373449763,2,0.0041459920082731186,0.0,0.8504722612504086
3.8625,0.132,320,1440,173,6,0.9128125,0.7309374999999999,0.7309374999999999,0.11931925373449763,2,0.0041459920082731186,0.0,0.8677335661218706
3.8625,0.132,320,2880,173,4,0.9128125,0.7928125,0.7928125,0.10637913395834675,2,0.0041060009724836685,0.0,0.8504744629087283
