r,epsilon,runs,atlas_score_mean,atlas_score_std,motif_even_mean,motif_odd_mean,frame_even_mean,parity_mean,smooth_mean,resonance_mean,wall_entropy_mean,cluster_lifetime_mean,nearest_atlas_index,parameter_distance,nearest_atlas_score,nearest_class,nearest_parity_index,nearest_smooth_index,nearest_resonance_index,nearest_motif_even_mean,nearest_motif_odd_mean,nearest_frame_even_mean,r_atlas_nearest,epsilon_atlas_nearest,score_difference
3.855,0.122,4,0.0097582401911587,0.0116931139173457,0.7160735263560364,6.915006547722029e-05,0.912537939714855,0.7160043762905591,1.5559809959681853e-56,0.7085246541093315,0.5910386211998626,1.5,8,0.0020000000000000018,0.0713070597622198,resonant phase-memory,0.5986128904428905,5.031194890852847e-150,0.7720138888888888,0.5986366666666667,2.377622377622378e-05,0.893591488095238,3.855,0.12,-0.06154881957106109
3.855,0.1245,4,0.0,0.0,0.7887881634494538,0.0,0.9206533385968868,0.7887881634494538,3.461777319529766e-71,0.7264815963606286,0.1434625788367969,0.0,9,0.0007999999999999952,0.1676235331044465,resonant phase-memory,0.7077667261904762,5.420987580008942e-131,0.741125,0.7077667261904762,0.0,0.907596130952381,3.855,0.1253,-0.1676235331044465
3.855,0.127,4,0.0858538174648943,0.0777316306658848,0.6819905245124499,0.0005000073655912,0.9000949975763485,0.6814905171468587,5.1936986825710035e-17,0.6669405594405595,0.52675952388553,17.5,9,0.001700000000000007,0.1676235331044465,resonant phase-memory,0.7077667261904762,5.420987580008942e-131,0.741125,0.7077667261904762,0.0,0.907596130952381,3.855,0.1253,-0.0817697156395522
3.855,0.1295,4,0.0031093665371716,0.0035920894244365,0.6865074502950006,0.0003407213392463,0.8989289338014136,0.6861667289557543,1.2837710122991965e-63,0.704165985224453,0.537830901925865,0.5,10,0.0012000000000000066,0.1054003497541039,resonant phase-memory,0.5608837301587302,1.9566020688773791e-53,0.7133611111111111,0.5608992857142857,1.5555555555555555e-05,0.8773702380952381,3.855,0.1307,-0.1022909832169323
3.855,0.132,4,0.0206441097446498,0.0070002257615457,0.6057763377415595,0.001136894955158,0.8729456299748639,0.6046394427864015,8.770541835702323e-31,0.6423285603285603,0.7270206012143069,4.0,10,0.0012999999999999956,0.1054003497541039,resonant phase-memory,0.5608837301587302,1.9566020688773791e-53,0.7133611111111111,0.5608992857142857,1.5555555555555555e-05,0.8773702380952381,3.855,0.1307,-0.08475624000945409
3.855,0.1345,4,0.0207531416267616,0.0130369819885816,0.5995839829693157,0.0012108847118248,0.8799392442235183,0.5983730982574909,1.3386530460950354e-19,0.6853324326882795,0.798214742035265,3.5,11,0.0015000000000000013,0.1202675958777793,resonant phase-memory,0.585037152014652,4.676097355415952e-31,0.6130055555555556,0.5851053571428572,6.820512820510154e-05,0.8957435714285713,3.855,0.136,-0.0995144542510177
3.855,0.137,4,0.0148071916376389,0.0192995484294944,0.6759536177028617,0.0005686321611009,0.9154421683826924,0.6753849855417607,9.056571337832448e-05,0.5532713451423128,0.8679870255732587,3.0,11,0.0010000000000000009,0.1202675958777793,resonant phase-memory,0.585037152014652,4.676097355415952e-31,0.6130055555555556,0.5851053571428572,6.820512820510154e-05,0.8957435714285713,3.855,0.136,-0.1054604042401404
3.8575,0.122,4,0.0,0.0,0.8211576090240404,2.9748129905239096e-05,0.944388100474794,0.8211278608941353,1.0335057960593315e-16,0.6565165613955937,0.5336417084864987,0.0,8,0.0032015621187163838,0.0713070597622198,resonant phase-memory,0.5986128904428905,5.031194890852847e-150,0.7720138888888888,0.5986366666666667,2.377622377622378e-05,0.893591488095238,3.855,0.12,-0.0713070597622198
3.8575,0.1245,4,0.0084129227352709,0.0101251939790928,0.6985251509243444,0.0001731850267141,0.8926913429312622,0.6983519658976303,1.6148874015974082e-86,0.7727079170829171,0.287745406873515,1.5,9,0.002624880949681285,0.1676235331044465,resonant phase-memory,0.7077667261904762,5.420987580008942e-131,0.741125,0.7077667261904762,0.0,0.907596130952381,3.855,0.1253,-0.1592106103691756
3.8575,0.127,4,0.0180400109618003,0.0047724625649629,0.6429873510226334,8.354526661507992e-05,0.8807808560726909,0.6429038057560182,2.459830670524325e-66,0.7546932234432234,0.4439797617774664,3.0,9,0.0030232432915661546,0.1676235331044465,resonant phase-memory,0.7077667261904762,5.420987580008942e-131,0.741125,0.7077667261904762,0.0,0.907596130952381,3.855,0.1253,-0.1495835221426462
3.8575,0.1295,4,0.066871149390063,0.0848033601386581,0.7052457384685208,0.0004211948615226,0.901960877160474,0.7048245436069982,5.873024477238055e-39,0.6898969941348974,0.2929978008758589,27.0,10,0.002773084924772364,0.1054003497541039,resonant phase-memory,0.5608837301587302,1.9566020688773791e-53,0.7133611111111111,0.5608992857142857,1.5555555555555555e-05,0.8773702380952381,3.855,0.1307,-0.038529200364040894
3.8575,0.132,4,0.0,0.0,0.7771831238318133,7.526792725101293e-05,0.925741409128506,0.7771078559045623,3.403155466667024e-52,0.7059583779795473,0.493211189940825,0.0,10,0.002817800560721025,0.1054003497541039,resonant phase-memory,0.5608837301587302,1.9566020688773791e-53,0.7133611111111111,0.5608992857142857,1.5555555555555555e-05,0.8773702380952381,3.855,0.1307,-0.1054003497541039
3.8575,0.1345,4,0.0154623361604291,0.0135901935258639,0.5580538845395197,0.0012670614071476,0.8652059607059608,0.556786823132372,1.6008362649092642e-28,0.6837832574883069,0.6371210428293143,3.0,11,0.002915475947422605,0.1202675958777793,resonant phase-memory,0.585037152014652,4.676097355415952e-31,0.6130055555555556,0.5851053571428572,6.820512820510154e-05,0.8957435714285713,3.855,0.136,-0.10480525971735019
3.8575,0.137,4,0.0311447124329702,0.0214066474186514,0.5997790818052915,0.0027799234778225,0.8806787835820094,0.5969991583274689,0.0033972718227429,0.5539937466818904,0.7834932039684517,8.5,11,0.002692582403567203,0.1202675958777793,resonant phase-memory,0.585037152014652,4.676097355415952e-31,0.6130055555555556,0.5851053571428572,6.820512820510154e-05,0.8957435714285713,3.855,0.136,-0.08912288344480909
3.86,0.122,4,0.0126204483008529,0.020934039703698,0.5646797053752699,0.0019123446330788,0.8636392854457371,0.562767360742191,2.42784440405346e-22,0.636056651847313,0.7400312368205655,7.0,8,0.005385164807134406,0.0713070597622198,resonant phase-memory,0.5986128904428905,5.031194890852847e-150,0.7720138888888888,0.5986366666666667,2.377622377622378e-05,0.893591488095238,3.855,0.12,-0.058686611461366896
3.86,0.1245,4,0.022386339151393,0.0204812640751994,0.7224463073888477,0.0007162581553323,0.9037769889720496,0.7217300492335154,3.53623988268085e-65,0.7145956127206128,0.2622591791456071,3.5,9,0.005063595560468759,0.1676235331044465,resonant phase-memory,0.7077667261904762,5.420987580008942e-131,0.741125,0.7077667261904762,0.0,0.907596130952381,3.855,0.1253,-0.1452371939530535
3.86,0.127,4,0.0067387361603871,0.0079859895053685,0.7243045966130643,0.0005392402104432,0.9056192814242208,0.7237653564026211,1.6148874015974082e-86,0.7323572261072262,0.3722432487943568,1.0,9,0.005281098370604259,0.1676235331044465,resonant phase-memory,0.7077667261904762,5.420987580008942e-131,0.741125,0.7077667261904762,0.0,0.907596130952381,3.855,0.1253,-0.1608847969440594
3.86,0.1295,4,0.0,0.0,0.7961835526704478,4.0865103374504855e-05,0.9245448966356224,0.7961426875670733,7.89455296679335e-55,0.6930848005041553,0.9266086857805182,0.0,10,0.005141984052872874,0.1054003497541039,resonant phase-memory,0.5608837301587302,1.9566020688773791e-53,0.7133611111111111,0.5608992857142857,1.5555555555555555e-05,0.8773702380952381,3.855,0.1307,-0.1054003497541039
3.86,0.132,4,0.0785106790372377,0.0931074354380867,0.7132958956366214,3.927729772191673e-05,0.9058419874816044,0.7132566183388995,2.8037444161873883e-20,0.7084003496503497,0.5197246382116861,67.5,10,0.005166236541235692,0.1054003497541039,resonant phase-memory,0.5608837301587302,1.9566020688773791e-53,0.7133611111111111,0.5608992857142857,1.5555555555555555e-05,0.8773702380952381,3.855,0.1307,-0.026889670716866196
3.86,0.1345,4,0.0060437593991376,0.0013877054259298,0.6369036459172548,3.7313432835820897e-06,0.880457705265165,0.6368999145739712,5.420215915823912e-180,0.8668065268065268,0.3126923036358593,1.0,11,0.005220153254455173,0.1202675958777793,resonant phase-memory,0.585037152014652,4.676097355415952e-31,0.6130055555555556,0.5851053571428572,6.820512820510154e-05,0.8957435714285713,3.855,0.136,-0.1142238364786417
3.86,0.137,4,0.0120515047563383,0.0151401209484747,0.69550002769408,0.0012895718084416,0.905458352635268,0.6942104558856385,0.0016332782601984,0.5855172381382059,0.81821755996288,2.5,11,0.00509901951359268,0.1202675958777793,resonant phase-memory,0.585037152014652,4.676097355415952e-31,0.6130055555555556,0.5851053571428572,6.820512820510154e-05,0.8957435714285713,3.855,0.136,-0.108216091121441
3.8625,0.122,4,0.0134217795258971,0.0076293878941563,0.6457579662441053,4.9162084315265776e-05,0.8877596578488716,0.64570880415979,1.0953779408458531e-54,0.7679662004662005,0.6450592250722876,2.0,12,0.0032015621187167307,0.0617154672848985,resonant phase-memory,0.568668988095238,1.1264792642513536e-69,0.6922222222222223,0.5686723214285714,3.3333333333333333e-06,0.8891877976190476,3.865,0.12,-0.0482936877590014
3.8625,0.1245,4,0.0103137729067222,0.0119217550808462,0.7144076939525528,6.276800023770658e-05,0.9016815608786376,0.7143449259523151,4.52089903888946e-59,0.7216744973776223,0.3691681727802713,1.5,13,0.0026248809496817083,0.1082542170335034,resonant phase-memory,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,0.5561270833333334,0.0003648384948384,0.8725220238095238,3.865,0.1253,-0.0979404441267812
3.8625,0.127,4,0.0098070907980844,0.0114896329667881,0.751400750794904,0.0008307367888354,0.9085522536938868,0.7505700140060686,2.2353124022982548e-57,0.6915515734265734,0.2320132281473852,1.5,13,0.0030232432915665223,0.1082542170335034,resonant phase-memory,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,0.5561270833333334,0.0003648384948384,0.8725220238095238,3.865,0.1253,-0.098447126235419
3.8625,0.1295,4,0.0098689171181742,0.0114009780260216,0.7466088312728938,2.742864624247185e-05,0.915341688889068,0.7465814026266513,1.3491237798671903e-47,0.7244549200799202,0.4468398022924936,1.5,14,0.0027730849247727648,0.056745232396521,resonant phase-memory,0.6985470833333334,2.556408127020124e-127,0.7577777777777777,0.6985504166666667,3.3333333333333333e-06,0.910281488095238,3.865,0.1307,-0.046876315278346806
3.8625,0.132,4,0.088985923048679,0.1028489943248264,0.7734174048397838,0.0001107059575829,0.922003910739798,0.7733066988822008,5.6246258225749104e-21,0.6741870629370629,0.3374117038415496,30.5,14,0.002817800560721419,0.056745232396521,resonant phase-memory,0.6985470833333334,2.556408127020124e-127,0.7577777777777777,0.6985504166666667,3.3333333333333333e-06,0.910281488095238,3.865,0.1307,0.032240690652158
3.8625,0.1345,4,0.0189461543402743,0.0219694908883228,0.6810504771606082,0.0004746538293403,0.9008482604425144,0.6805758233312679,0.2763408448060223,0.7061309308970598,0.4868791729449655,3.0,15,0.0029154759474229863,0.1605361068002391,resonant phase-memory,0.6482644444444444,2.115648560008329e-131,0.7681388888888889,0.64827,5.555555555555556e-06,0.9022009523809522,3.865,0.136,-0.1415899524599648
3.8625,0.137,4,0.012914978781176,0.0157782294494111,0.7184112446693092,0.0003433048632527,0.91853419295758,0.7180679398060565,0.0001061907367253,0.6397642773892773,0.6911219700411244,2.0,15,0.0026925824035676153,0.1605361068002391,resonant phase-memory,0.6482644444444444,2.115648560008329e-131,0.7681388888888889,0.64827,5.555555555555556e-06,0.9022009523809522,3.865,0.136,-0.1476211280190631
3.865,0.122,4,0.0123224222997102,0.00722188439576,0.6921507429902087,0.0,0.9123120409496418,0.6921507429902087,2.572581975131237e-81,0.746793414918415,0.3820958308232147,2.0,12,0.0020000000000000018,0.0617154672848985,resonant phase-memory,0.568668988095238,1.1264792642513536e-69,0.6922222222222223,0.5686723214285714,3.3333333333333333e-06,0.8891877976190476,3.865,0.12,-0.049393044985188296
3.865,0.1245,4,0.0088601094479106,0.0109712210969314,0.6604443737546056,3.554595443833464e-05,0.8958666761665753,0.6604088278001673,2.3170439511642578e-12,0.7907598651348651,0.510095758769551,1.5,13,0.0007999999999999952,0.1082542170335034,resonant phase-memory,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,0.5561270833333334,0.0003648384948384,0.8725220238095238,3.865,0.1253,-0.09939410758559279
3.865,0.127,4,0.0875056843357082,0.0939345533290258,0.7072487285060369,0.0002664735359283,0.8919930111890797,0.7069822549701087,2.5373220280750403e-44,0.7379731206293707,0.3419687477679578,48.0,13,0.001700000000000007,0.1082542170335034,resonant phase-memory,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,0.5561270833333334,0.0003648384948384,0.8725220238095238,3.865,0.1253,-0.020748532697795197
3.865,0.1295,4,0.0406726101118693,0.0471174111504199,0.7566056592936633,0.0023491713998432,0.9081646211651252,0.75425648789382,9.121963158149108e-09,0.6524811993561994,0.7453153443462758,5.5,14,0.0012000000000000066,0.056745232396521,resonant phase-memory,0.6985470833333334,2.556408127020124e-127,0.7577777777777777,0.6985504166666667,3.3333333333333333e-06,0.910281488095238,3.865,0.1307,-0.0160726222846517
3.865,0.132,4,0.0242509016167263,0.0284356877811314,0.7235766149173407,0.0001950137699331,0.9159795983586309,0.7233816011474076,3.265509059191501e-42,0.683732987442665,0.7425574620219617,3.5,14,0.0012999999999999956,0.056745232396521,resonant phase-memory,0.6985470833333334,2.556408127020124e-127,0.7577777777777777,0.6985504166666667,3.3333333333333333e-06,0.910281488095238,3.865,0.1307,-0.0324943307797947
3.865,0.1345,4,0.0,0.0,0.8059796874832157,1.114272166903746e-05,0.9430220376062112,0.8059685447615466,2.1665407817520327e-82,0.711191724941725,0.2175956488608696,0.0,15,0.0015000000000000013,0.1605361068002391,resonant phase-memory,0.6482644444444444,2.115648560008329e-131,0.7681388888888889,0.64827,5.555555555555556e-06,0.9022009523809522,3.865,0.136,-0.1605361068002391
3.865,0.137,4,0.0446220435215054,0.0348889051112834,0.6170226076846541,0.0004881925222175,0.8785332808992083,0.6165344151624366,0.1706520835258262,0.6694375624375624,0.5845432422595653,8.0,15,0.0010000000000000009,0.1605361068002391,resonant phase-memory,0.6482644444444444,2.115648560008329e-131,0.7681388888888889,0.64827,5.555555555555556e-06,0.9022009523809522,3.865,0.136,-0.11591406327873371
3.8675,0.122,4,0.0182659186266125,0.0067074260498816,0.7352127859539654,2.724897349757372e-05,0.926661805096785,0.7351855369804678,2.176466396531433e-12,0.6831246357808858,0.4862522285972045,3.0,12,0.0032015621187163838,0.0617154672848985,resonant phase-memory,0.568668988095238,1.1264792642513536e-69,0.6922222222222223,0.5686723214285714,3.3333333333333333e-06,0.8891877976190476,3.865,0.12,-0.043449548658286
