motif_size,replication_parity,replication_parity_sd,horizon_change,local_rewired_drop,positive_drops,grid_peak_r,grid_peak_epsilon,grid_peak_parity
4,0.8132481663698252,0.016799950641246363,0.009627147858911944,0.07654228743912617,12,3.8625,0.132,0.8112293367600875
6,0.7551065106350122,0.020219271566652874,0.012560359254366382,0.10408405056142966,12,3.8625,0.132,0.7530259063562212
