r,epsilon,global_activity_mean,global_activity_std,wall_density_mean,wall_density_std,mean_wall_velocity,lag10_similarity,lag20_similarity,lag50_similarity,lag100_similarity,lag200_similarity,lag200_complement_similarity,global_activity_period,global_activity_power,wall_density_period,wall_density_power,global_ac_peak_lag,global_ac_peak_value,wall_ac_peak_lag,wall_ac_peak_value,mean_cluster_lifetime,max_cluster_lifetime,motif_simpson,motif_entropy,motif_count,motif_transition_entropy,motif_transition_entropy_norm,motif_p1,motif_p2,motif_p5,motif_p10,motif_p20,motif_p50,motif_p100,motif_p150,motif_p200,slow_structure_score
4.0,0.1,0.6847000000000001,0.04655437680820139,0.43016,0.05551913543995439,1.07874596545919,0.5827142857142856,0.5693125,0.5662222222222223,0.564275,0.5656666666666667,0.5656666666666667,2.347417840375587,0.034721471527079516,2.0408163265306123,0.03452467431588563,21,0.11512899400639498,45,0.11448398221838332,1.2771971496437056,13.0,0.034642886399999996,5.390005368714052,64,9.959969249460553,0.9012006508171454,0.0045090180360721445,0.07363453815261044,0.026525252525252525,0.04,0.036375,0.0348,0.03195,0.03485714285714286,0.0329,0.0
4.0,0.12,0.6731,0.04076015210962785,0.528,0.061605194586171065,0.7404448986313985,0.6694285714285715,0.6499791666666666,0.6095555555555556,0.590175,0.5789000000000001,0.5789000000000001,2.4509803921568625,0.031037009840023694,250.0,0.1764461073385149,3,0.15120732639536774,3,0.28231871838111294,1.2014198598343497,12.0,0.034585712,5.246205090411081,64,9.347986039820167,0.8826692982892921,0.0027254509018036074,0.13751004016064258,0.01202020202020202,0.0933673469387755,0.08275,0.05782222222222222,0.0464,0.037885714285714286,0.038233333333333334,0.0
4.0,0.14,0.55352,0.027619007947426336,0.8606400000000001,0.053016887875468516,0.11899521383048653,0.9052653061224489,0.9020208333333333,0.8906444444444443,0.8742750000000001,0.8486999999999999,0.8486999999999999,500.0,0.2302845977106577,500.0,0.4672233094225389,2,0.41739595096862947,3,0.740988137144627,1.053724472305206,11.0,0.21755491200000002,3.251634395983171,64,4.733600006287096,0.4828964145502407,0.0001002004008016032,0.6647590361445783,0.0004646464646464646,0.6541428571428571,0.6520833333333333,0.6282444444444445,0.60015,0.573,0.5479666666666667,0.0
4.0,0.16,0.5582,0.026456757170900576,0.8346,0.04447516160735113,0.1356296564279802,0.8962244897959184,0.9047291666666666,0.8808,0.8586750000000001,0.7975666666666666,0.7975666666666666,2.0080321285140563,0.1463680115850597,250.0,0.2386568561107937,4,0.3599492542430996,4,0.5821271157307232,1.0620482540975262,17.0,0.1581071376,3.671570558119412,64,5.3383154881032695,0.5453084571445316,0.0002404809619238477,0.5750602409638554,0.0005656565656565656,0.5798775510204082,0.6196666666666667,0.5529555555555555,0.519975,0.4764857142857143,0.4423,0.0
4.0,0.18,0.7831800000000002,0.03764688034884167,0.39576,0.03961341187022396,1.1651799812614665,0.6329183673469387,0.9097916666666668,0.6349333333333333,0.885425,0.8469,0.8469,500.0,0.3669239426641991,500.0,0.08520414266470681,2,0.717338351369193,2,0.575609479956442,1.751150442477876,321.0,0.07396762800000001,4.3362304000124245,64,7.131055304088768,0.7394402367436532,0.07551102204408817,0.12048192771084337,0.08252525252525253,0.09936734693877551,0.7107083333333334,0.10028888888888889,0.632075,0.09591428571428572,0.5027666666666667,0.0
4.0,0.19999999999999998,0.71276,0.055896175182207235,0.30268,0.05321670414446953,2.1808221148218534,0.6268367346938776,0.6065625,0.5964,0.594375,0.5893,0.5893,2.1008403361344534,0.05698734300152439,2.1008403361344534,0.05903684189291794,2,0.32115375173026206,2,0.37317510682137,1.226815823605707,18.0,0.072218772,4.922083394508752,64,8.924110373313269,0.896255791701524,0.013426853707414829,0.24345381526104418,0.04751515151515152,0.10173469387755102,0.0869375,0.07724444444444445,0.0728,0.07014285714285715,0.0662,0.0
4.0,0.21999999999999997,0.7040799999999999,0.06402931828467331,0.28280000000000005,0.054038504790565774,2.1742773284329693,0.6162040816326532,0.5932708333333333,0.5774666666666667,0.58205,0.5798666666666666,0.5798666666666666,2.3041474654377883,0.045185088973521755,2.3041474654377883,0.048094761057445874,2,0.29437452397139197,2,0.39528266944277035,1.222971804186127,12.0,0.075955248,4.839518901819757,64,8.742652705018278,0.8846472205209136,0.017294589178356714,0.24646586345381527,0.056606060606060604,0.10210204081632653,0.08160416666666667,0.07442222222222222,0.07765,0.07611428571428572,0.07133333333333333,0.0
4.0,0.24,0.7014000000000001,0.05895795111772457,0.26132000000000005,0.047369374072284295,2.3360851017981457,0.5966734693877551,0.5923541666666666,0.5791777777777778,0.58235,0.5799,0.5799,2.074688796680498,0.03922179847961076,2.074688796680498,0.039316009656698084,2,0.2599498739945455,2,0.33504703257461615,1.2305518930118666,19.0,0.08412572399999999,4.72501909844693,64,8.565407086227967,0.8740852051252384,0.018697394789579158,0.26156626506024094,0.0676969696969697,0.09904081632653061,0.09410416666666667,0.08091111111111111,0.086825,0.0878,0.0831,0.0
3.85,0.1666667,0.83228,0.039390374458743084,0.17692000000000002,0.041867811024700115,5.0295286154504595,0.8345714285714284,0.9216458333333333,0.8250222222222222,0.9126999999999998,0.9114666666666666,0.9114666666666666,4.0,0.33816229452219837,4.0,0.29338932931807044,8,0.6683164193695081,8,0.6466017592652598,1.4674850696748507,25.0,0.26640042240000006,3.0741878415651867,64,5.735700476693615,0.6475178124505571,0.18294589178356713,0.4936746987951807,0.19577777777777777,0.48212244897959183,0.73725,0.46475555555555553,0.7108,0.4588,0.7045333333333333,0.0
3.9,0.1666667,0.7965599999999999,0.036961688273129505,0.2778,0.05302791717576696,2.1368689629967603,0.820857142857143,0.8419375,0.8333777777777778,0.84845,0.8432999999999999,0.8432999999999999,2.0,0.37926547672263333,2.0,0.07028225337142681,8,0.42882467494442816,8,0.23865295381157633,1.4720220432386604,256.0,0.1470001072,4.045944807318882,44,7.069799041718217,0.7908424851135667,0.16975951903807615,0.28857429718875505,0.17464646464646463,0.3910612244897959,0.442,0.4184,0.45895,0.42742857142857144,0.4467,0.0
