motif_size,model,intercept,slope,r2
4,linear_1_over_n,0.7451387199047715,3.0380412802020538,0.951685875116071
4,power_law_log,1.0251957554693298,-0.052078958479647164,0.8230417646558462
6,linear_1_over_n,0.6706106303838879,3.7638988640409963,0.947985498402213
6,power_law_log,1.0134763867661534,-0.06355363644116956,0.7954220473881994
