r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,comp_odd,parity,smooth,resonance,wall_spectral_entropy,max_cluster_lifetime,atlas_score,class
3.8625,0.132,80,120,1313,4,,,,,,,,,,0.868987759237254,4,,low motif memory
3.8625,0.132,80,120,1313,6,,,,,,,,,,0.868987759237254,4,,low motif memory
3.8625,0.132,80,360,101,4,0.9144489967357912,0.13908654712776322,0.791954246694166,1.4925373134328359e-05,0.0,0.5246303757083954,0.7919393213210317,6.045887949147416e-95,0.7053554778554778,0.40885525832765746,0,0.0,resonant phase-memory
3.8625,0.132,80,360,101,6,0.9144489967357912,0.13908654712776322,0.7364711209489435,0.0,0.0,0.3968901795027633,0.7364711209489435,8.430233370311357e-145,0.7561013986013987,0.40885525832765746,0,0.0,resonant phase-memory
3.8625,0.132,80,360,707,4,0.9136425592216921,0.13987483355896888,0.7923474994427615,6.1010735794710656e-05,0.0,0.5548096181287672,0.7922864887069668,2.8784829929400714e-91,0.7013986013986013,0.5130744887516531,1,0.006799877522562117,resonant phase-memory
3.8625,0.132,80,360,707,6,0.9136425592216921,0.13987483355896888,0.7306417770737328,0.0,0.0,0.42447571686275704,0.7306417770737328,7.7467765420908205e-149,0.7583333333333333,0.5130744887516531,1,0.0071347978865237615,resonant phase-memory
3.8625,0.132,80,360,1313,4,0.9166512182374078,0.12565262227011154,0.777689334187318,0.0011524467841677985,0.00027380264225022286,0.5398065845089962,0.7765368874031502,9.96613819231813e-59,0.6778817016317016,0.6756932532994016,0,0.0,resonant phase-memory
3.8625,0.132,80,360,1313,6,0.9166512182374078,0.12565262227011154,0.7118524189184472,5.890494629609803e-05,0.0,0.35480431072044116,0.7117935139721511,1.9108458306503622e-99,0.7255681818181818,0.6756932532994016,0,0.0,resonant phase-memory
3.8625,0.132,80,720,101,4,0.916424732901346,0.13805934373353607,0.8055894299305603,7.1942446043165465e-06,0.0,0.5249303304621913,0.805582235685956,4.959214610260989e-106,0.7045716083276139,0.29949979204520605,0,0.0,resonant phase-memory
3.8625,0.132,80,720,101,6,0.916424732901346,0.13805934373353607,0.7570799613873811,0.0,0.0,0.3989380992707253,0.7570799613873811,6.000933688085719e-164,0.7533682223747427,0.29949979204520605,0,0.0,resonant phase-memory
3.8625,0.132,80,720,707,4,0.9162009310051198,0.13834862509558274,0.8057303457113812,2.9055825107355973e-05,0.0,0.5518429725455041,0.8057012898862739,1.3672931724560955e-104,0.7033253260123542,0.36472465251757175,1,0.006174627697993128,resonant phase-memory
3.8625,0.132,80,720,707,6,0.9162009310051198,0.13834862509558274,0.7501413555879872,0.0,0.0,0.4169932802702589,0.7501413555879872,1.3049621654795544e-172,0.7600125829329674,0.36472465251757175,1,0.006476926290014465,resonant phase-memory
3.8625,0.132,80,720,1313,4,0.9232697362346942,0.11699889139420108,0.8016019408347574,0.00043234267007616204,9.206153905737168e-05,0.5573648910487945,0.8011695981646813,5.609183131145755e-64,0.6779040837336994,0.4859468325367316,303,0.15856085328942485,resonant phase-memory
3.8625,0.132,80,720,1313,6,0.9232697362346942,0.11699889139420108,0.7402999563664496,2.1312432980483046e-05,0.0,0.37143553797127715,0.7402786439334691,1.1215408914691103e-108,0.7306397277510868,0.4859468325367316,303,0.1659446778498293,resonant phase-memory
