r,epsilon,seed,n,horizon,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8625,0.132,707,80,360,4,0.8830840384413973,0.16984296029913687,0.695424736218083,0.00026645976256546024,0.0,0.6951582764555175,0.43904403243687296,108,0.06988845862466356
3.8625,0.132,1313,80,360,4,0.9038079741159379,0.1317006932807354,0.7583891367369191,0.0028905166301833583,0.0019550152468499242,0.7554986201067357,0.36240644665232735,155,0.06308835118873404
3.8625,0.1345,101,80,360,4,0.8888830284299034,0.16746409831803694,0.7142891929978623,9.055363297311451e-05,0.0,0.7141986393648891,0.49307772651281634,3,0.008598099319043088
3.8625,0.1345,707,80,360,4,0.8823070076764633,0.18230688748951857,0.6911071532634032,0.0007481556116126824,3.8352272727272726e-05,0.6903589976517905,0.7509524368780188,6,0.01976267729045527
3.8625,0.1345,1313,80,360,4,0.9048994718319315,0.14333750002446832,0.7476587285362487,0.0009946181159682522,3.485576923076923e-05,0.7466641104202805,0.7681845412498252,3,0.009474999633816482
3.8625,0.137,101,80,360,4,0.8956526344958805,0.14926909683663708,0.7040176198129827,0.0007396175319910506,0.0,0.7032780022809917,0.6820890939759784,11,0.034255819051592674
3.8625,0.137,707,80,360,4,0.8995655324178511,0.15561981977464753,0.7145319730672555,0.0003342840592594065,0.0,0.7141976890079961,0.8496600616214665,2,0.0066912721051026625
3.8625,0.137,1313,80,360,4,0.9043495978148197,0.13389590032110632,0.7371750317894471,0.0011391884522118014,0.0,0.7360358433372353,0.713244427876912,3,0.009230228521041701
3.865,0.127,101,80,360,4,0.9061702700860967,0.1561913907104611,0.7810438419107774,0.0,0.0,0.7810438419107774,0.2511602768540492,0,0.0
3.865,0.127,707,80,360,4,0.9202001451169798,0.12654319288953508,0.791999501338715,8.33987954962032e-05,0.0,0.7919161025432188,0.34151320985343453,1,0.0023556880502964175
3.865,0.127,1313,80,360,4,0.909023704454148,0.14199028714830725,0.7633220908795506,0.00013967780185125708,0.0,0.7631824130776993,0.7922903198547615,0,0.0
3.865,0.1295,101,80,360,4,0.8959676403905235,0.15979516854522285,0.7372407842493528,0.001232740420385621,0.0006558632899358706,0.7360080438289672,0.7842675626002635,2,0.006555883883886544
3.865,0.1295,707,80,360,4,0.886306561717852,0.17327590394793851,0.7094956270208286,0.0018966137838127273,0.0008159889505655636,0.7075990132370159,0.28740464914187736,1,0.0025428012376331167
3.865,0.1295,1313,80,360,4,0.925,0.125,0.82,0.0,0.0,0.82,0.0,0,0.0
