r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score
3.87,0.75,0.6483291939708817,0.7632402782219524,243611171.51504454,0.126,0.3386111111111111,4.536,3.036,0.0,20494080.818137404
3.87,0.775,0.640931213063857,0.7682167502450434,244090925.6596915,0.11633333333333334,0.36727777777777776,4.188,3.26,0.0,20238916.631228585
3.87,0.8,0.6413379258152094,0.7704901812130568,257833860.0672173,0.11066666666666666,0.37433333333333335,3.984,3.388,0.0,21470956.798896518
3.87,0.8250000000000001,0.6365650948333089,0.7864526493867464,247022189.36689773,0.12377777777777778,0.33794444444444444,4.456,3.148,0.0,20696217.410800062
3.87,0.8500000000000001,0.6424504134856381,0.7835598629472184,246597743.16692796,0.12755555555555556,0.32011111111111107,4.592,3.088,0.0,20995188.740281433
3.87,0.875,0.6380680882026397,0.8033174298529868,246528531.82234967,0.15311111111111111,0.2797777777777778,5.512,2.796,0.0,21622659.854178067
3.87,0.9,0.6395349297066325,0.8038302187263747,234938880.29013637,0.18655555555555556,0.29244444444444445,6.716,3.04,0.0,22556719.167051625
3.88,0.65,0.6360015865086927,0.7815887977442051,253823518.14521068,0.14388888888888893,0.32027777777777783,5.18,2.768,0.0,21245384.676889326
3.88,0.675,0.6354030169786127,0.7745535403698284,249029003.81762218,0.12466666666666666,0.35161111111111115,4.488,3.252,0.0,20669616.22589147
3.88,0.7000000000000001,0.6423004752672979,0.7718365005072461,243055083.74557257,0.1416666666666667,0.31394444444444447,5.1,2.744,0.0,20383039.61979907
3.88,0.7250000000000001,0.6323852555419567,0.7852652256133542,249605963.65914786,0.12088888888888888,0.35194444444444445,4.352,3.296,0.0,20710004.99384345
3.88,0.75,0.6411099492397961,0.770503351016539,245523770.41109538,0.13466666666666666,0.32261111111111107,4.848,2.856,0.0,20403025.802744996
3.88,0.775,0.6468831453096792,0.766149471325115,239941105.78052664,0.13377777777777777,0.3243888888888889,4.816,2.812,0.0,20103193.849738643
3.88,0.8,0.6416201584029725,0.7737945662176802,250297063.11927772,0.12222222222222223,0.3486111111111111,4.4,3.1,0.0,20889923.17999123
3.88,0.8250000000000001,0.6372047965565503,0.8260382033525603,245614070.5605787,0.16555555555555554,0.2686111111111111,5.96,2.556,0.0,22194673.93313498
3.88,0.8500000000000001,0.6398326941393733,0.7844282755754058,250233580.2859702,0.141,0.3035,5.076,2.816,0.0,21202238.962396197
3.88,0.875,0.6421196053439706,0.7827415174929531,240862015.92124835,0.13666666666666666,0.316,4.92,3.008,0.0,20662129.306031972
3.88,0.9,0.6353665107942813,0.7895346864899084,264778719.83478558,0.17888888888888885,0.35077777777777774,6.44,3.476,0.0,25246746.371693816
3.89,0.65,0.6328147426501041,0.7766664819559838,247459431.3900727,0.13422222222222221,0.3229444444444445,4.832,2.952,0.0,20262164.06265103
3.89,0.675,0.6395653689929884,0.7787794270833626,253323939.71756953,0.13266666666666665,0.3274444444444445,4.776,2.992,0.0,21303066.66155992
3.89,0.7000000000000001,0.6379282953594204,0.7768271119756306,250584568.73617244,0.13422222222222221,0.32605555555555554,4.832,2.884,0.0,20806176.419376872
3.89,0.7250000000000001,0.6316824073055518,0.7836984413789942,256146859.87594533,0.12655555555555556,0.34094444444444444,4.556,3.212,0.0,21212409.16813617
3.89,0.75,0.6396208883368671,0.7803425487038415,257691174.75152257,0.14799999999999996,0.3151666666666667,5.328,2.628,0.0,21740626.718577888
