r,epsilon,mean_cluster_lifetime,max_cluster_lifetime,cluster_count_frames,motif_simpson,motif_entropy,motif_count,lag0_similarity,lag1_similarity,lag5_similarity,lag10_similarity,lag20_similarity,mean_wall_velocity,mean_wall_count,structure_score_renormalized
3.9,0.9,1.2036272485992332,22.0,14.841818181818182,0.20333672494834712,3.7665538226082043,64,1.0,0.5064207650273224,0.5361009174311926,0.7136921296296296,0.6735259433962264,4.7660835264260895,29.683636363636364,0.0544152794859635
3.85,0.8250000000000001,1.4076750560677798,65.0,10.270909090909091,0.21895564876033058,3.273302226018912,58,1.0,0.511384335154827,0.5392316513761468,0.7394560185185185,0.7242452830188679,4.30860264760538,20.541818181818183,0.0543602955615505
3.87,0.9,1.2630150924198744,78.0,13.541818181818181,0.19578934865702483,3.702083568130575,64,1.0,0.4902777777777778,0.5101949541284404,0.7397685185185185,0.7276297169811321,4.632460959177681,27.083636363636362,0.0541947803083544
3.88,0.9,1.2465245597775718,28.0,14.672727272727272,0.19325106069214876,3.7641975462908865,64,1.0,0.502299635701275,0.5241628440366972,0.7407523148148147,0.7020754716981132,4.430317609897044,29.345454545454544,0.0540620384448069
3.86,0.65,1.401017380245867,59.0,12.018181818181818,0.18156742458677685,3.494948846238435,57,1.0,0.5168488160291439,0.5437729357798166,0.7442592592592592,0.7316155660377359,3.617282477484181,24.036363636363635,0.0535609161953353
3.85,0.9,1.2745605920444034,82.0,12.525454545454545,0.2104902004132231,3.594741775145849,64,1.0,0.4932149362477231,0.5104357798165137,0.7580092592592592,0.7249646226415094,4.722645287496328,25.05090909090909,0.0532695076254446
3.84,0.65,1.4355368026254103,33.0,11.134545454545455,0.20408774767561982,3.3971634524594605,56,1.0,0.5211293260473587,0.5433256880733945,0.7444907407407407,0.7230896226415094,4.026784743272609,22.26909090909091,0.053145090009475
3.91,0.9,1.192424902046147,20.0,14.94,0.2043298254132232,3.767928798042407,64,1.0,0.508025956284153,0.5387614678899083,0.7093171296296297,0.6643632075471698,5.010489704349382,29.88,0.0529865436453392
