motif_size,n,parity_infinite_horizon,parity_fit_slope,parity_r2
4,20,0.8999999999999998,-1.2691464453926701e-13,
4,40,0.8290042119664355,-1.3943542177653405,0.07453024528588119
4,80,0.8312205977681622,-32.976604466530674,0.9818747170462808
6,20,0.8699999999999998,-1.8395323158105154e-13,
6,40,0.7678906844198043,-2.5138726593851763,0.12542308378592001
6,80,0.7820181550130513,-42.35034760885685,0.9824048098153734
