r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score,ftle_proxy,sensitivity_renormalized,structure_score_renormalized
3.86,0.7250000000000001,0.6415618212894899,0.7725532172469798,254076878.99978384,0.1264444444444444,0.3408888888888889,4.552,3.124,0.0,21331646.66604295,0.3025531972686278,0.575066548158955,0.048281120513914345
3.86,0.75,0.6409604121849659,0.7742310634036749,239264597.778766,0.1232222222222222,0.3263333333333333,4.436,3.1,0.0,19919951.18456912,0.19123519864665206,0.5476636296310281,0.045595683060062814
3.86,0.775,0.6472302599941177,0.7593963263728927,240185271.25899604,0.1201111111111111,0.3487777777777778,4.324,3.148,0.0,20015316.76992029,0.3032437666060801,0.5752352903902423,0.047935980812006396
3.86,0.8,0.6412863894534492,0.7847986558322545,248997507.23737508,0.1273333333333333,0.3306111111111111,4.584,3.056,0.0,21127588.964820094,0.29533136954103983,0.5733008365806344,0.04864492244460924
3.86,0.8250000000000001,0.6464098629419084,0.7728273307924183,241771281.88304785,0.1295555555555555,0.3261666666666666,4.664,3.044,0.0,20579054.626467925,0.316237213921461,0.5784069596357503,0.049232763816966535
3.86,0.8500000000000001,0.6412370574482411,0.7751044361794927,242583699.90893027,0.1198888888888888,0.3545555555555555,4.316,3.28,0.0,20431651.03338165,0.27499064942558343,0.568317689478108,0.04786664855006193
3.86,0.875,0.6466363238700219,0.7721570820586253,241337466.3765349,0.1265555555555555,0.3377222222222222,4.556,3.304,0.0,20817488.741644327,0.2696624681942434,0.5670100395234444,0.0489096255604276
3.86,0.9,0.6385853776811142,0.7986279080824481,248061305.518258,0.1791111111111111,0.2701111111111111,6.448,2.928,0.0,22938813.24295066,0.2558572302781765,0.5636176359320358,0.05211905042613242
3.87,0.65,0.6420287769280667,0.791974620895352,248481420.05733347,0.1768888888888889,0.2556666666666667,6.368,2.24,0.0,21818162.29248628,0.3004348922957934,0.574548826404663,0.05044884054736186
3.87,0.675,0.6390093378946943,0.7828822668792091,239435165.93372667,0.1402222222222222,0.3122777777777777,5.048,2.796,0.0,20162538.234870933,0.31975698399930996,0.5792650261457327,0.04877918910633038
