r,epsilon,seed,n,horizon,motif_size,frame_even,motif_even,parity,wall_entropy,cluster_lifetime,score
3.86,0.16,101,80,360,4,0.8212288002655945,0.5168128991304395,0.32575000046938096,0.5253248659929255,3,0.0016735996973853222
3.86,0.16,707,80,360,4,0.7948254245754245,0.45743135997067447,0.3609790312317134,0.8740587760800955,4,0.0027430793830809995
3.86,0.16,1313,80,360,4,0.8163072369498782,0.49870575107016635,0.3130439517501631,0.8303323570313691,11,0.006060194609996386
3.8625,0.1,101,80,360,4,0.7908798397503034,0.429738616558173,0.41830995770928886,0.6403378059459561,10,0.007040167103242226
3.8625,0.1,707,80,360,4,0.7553346255558957,0.35976347459663993,0.344028727188571,0.7486253928818372,6,0.001704940085754211
3.8625,0.1,1313,80,360,4,0.7768677637886306,0.39002725315678943,0.3777522998260289,0.8438732661894027,5,0.0024147912850558118
3.8625,0.11,101,80,360,4,0.9025924537492077,0.7389979153910605,0.7341935690096136,0.7116220525336301,10,0.0309200353338132
3.8625,0.11,707,80,360,4,0.8928400065995831,0.6704963413602527,0.6675761909864161,0.8279128632213292,10,0.031452688960678585
3.8625,0.11,1313,80,360,4,0.8551464577089577,0.5577930940027713,0.5530506038483626,0.8626412222644783,6,0.011995627988070056
3.8625,0.12,101,80,360,4,0.8913913962381704,0.6955571736731011,0.6930710726483746,0.6953586798839684,3,0.009435417375308246
3.8625,0.12,707,80,360,4,0.9130941207649877,0.7289824993554832,0.7287953098092992,0.654272951352766,4,0.011587401726786815
3.8625,0.12,1313,80,360,4,0.864194466823499,0.6072294091996713,0.6055352245920388,0.4114602231958907,3,0.006195781251886422
3.8625,0.13,101,80,360,4,0.8926743636068233,0.7310297862419839,0.7310223235554167,0.24425300486411755,1,0.002421091341216211
3.8625,0.13,707,80,360,4,0.8724999999999999,0.6962499999999999,0.6962499999999999,5.175310662431026e-17,2,0.004256238839285715
3.8625,0.13,1313,80,360,4,0.9283827417542136,0.827574618090243,0.8274568081976508,0.2785367157471302,1,0.0021963466072740926
3.8625,0.14,101,80,360,4,0.8894540090286057,0.6542332282972403,0.6528662802039212,0.7822967425294869,10,0.029789588114530603
3.8625,0.14,707,80,360,4,0.8696030209709645,0.5776197881419656,0.5755230725582365,0.7399002999006434,5,0.01028056753917765
3.8625,0.14,1313,80,360,4,0.9210635569068029,0.7654001004036287,0.764411485206894,0.873170973149192,8,0.025176842000152248
3.8625,0.15,101,80,360,4,0.8477409849894728,0.5522376266206911,0.5359953110989719,0.8075338708346623,5,0.009267723303447719
3.8625,0.15,707,80,360,4,0.8658835920463945,0.5913530048580451,0.5798031156966,0.5847927835964253,3,0.006076822467507095
3.8625,0.15,1313,80,360,4,0.874127859371811,0.6147538986551083,0.599920307019984,0.8038909519370578,5,0.012545676876801637
3.8625,0.16,101,80,360,4,0.830474294019153,0.5250457890563738,0.3196680220011569,0.22606834142805132,3,0.001333089128847908
3.8625,0.16,707,80,360,4,0.8111754114501091,0.4723684131728486,0.35809544206030436,0.7730627543500483,6,0.004004665773621028
3.8625,0.16,1313,80,360,4,0.821757307544606,0.5051940238860602,0.3606369298211942,0.7251096882000347,4,0.003016443212719093
3.87,0.1,101,80,360,4,0.7917374599526817,0.41645441906883435,0.4046942558620548,0.6622743835424588,4,0.0024295075076155408
3.87,0.1,707,80,360,4,0.7954628790228588,0.39390731160640435,0.38683162360204226,0.8059210225271294,6,0.0029614820903748795
3.87,0.1,1313,80,360,4,0.8118315703114091,0.44401982459744554,0.43798435878616115,0.6868469781567427,7,0.005727975904700839
3.87,0.11,101,80,360,4,0.8619756105789371,0.5985280341298487,0.5934012659215843,0.904683857248629,5,0.012776997467093829
3.87,0.11,707,80,360,4,0.8844977678571428,0.6813547339757017,0.6757897156304857,0.8161602638737281,17,0.05609163029163475
3.87,0.11,1313,80,360,4,0.8782143098836647,0.6231098627514958,0.621244402357037,0.7946708139807953,8,0.02130783203150623
3.87,0.12,101,80,360,4,0.8806370966063506,0.6213713566339575,0.621067656960625,0.36907625874300576,5,0.010372631789145435
3.87,0.12,707,80,360,4,0.8743580070802853,0.6014600812493958,0.6014600812493958,0.6395857507380548,3,0.006663257625304448
3.87,0.12,1313,80,360,4,0.8162400208997992,0.4829378549877542,0.4769961795120746,0.7608987521773147,4,0.004841861525047209
3.87,0.13,101,80,360,4,0.9214544167190336,0.822076556675851,0.822076556675851,0.3697203894327115,0,0.0
3.87,0.13,707,80,360,4,0.8922957318219416,0.7461538461538462,0.7461538461538462,0.07552928832436424,1,0.002145114995501461
3.87,0.13,1313,80,360,4,0.8678844033990203,0.6773121307455985,0.6771225523219274,0.4517550016798634,1,0.0028204737439992793
3.87,0.14,101,80,360,4,0.9107896564121362,0.7570061757798653,0.7564537206321335,0.7182832102842946,61,0.07547859321957391
