system,n,horizon,motif_size,runs,frame_even_mean,parity_mean,frame_parity_corr,residual_parity_mean,residual_parity_sd,density_slope
coupled,20,360,4,3,0.96,0.9,1.0,-7.401486830834377e-17,6.409875621278547e-17,2.4999999999999933
coupled,20,360,6,3,0.96,0.87,0.9912407071619304,-1.0362081563168128e-15,0.015000000000000013,3.2499999999999916
coupled,20,720,4,3,0.96,0.9,1.0,-7.401486830834377e-17,6.409875621278547e-17,2.4999999999999933
coupled,20,720,6,3,0.96,0.87,0.9912407071619304,-1.0362081563168128e-15,0.015000000000000013,3.2499999999999916
coupled,30,360,4,3,0.9238806990500539,0.7934944509648094,0.9827384430190208,1.2582527612418441e-15,0.014738945099373119,2.557076478829513
coupled,30,360,6,3,0.9238806990500539,0.7205921242374752,0.990545115109742,1.5543122344752192e-15,0.013413370341096045,3.1630795060152295
coupled,30,720,4,3,0.9363690685354747,0.8351967162989351,0.992071016354106,2.9605947323337506e-16,0.007189767781378812,2.2940531687817005
coupled,30,720,6,3,0.9363690685354747,0.7742326055275344,0.9960516936259821,7.401486830834377e-17,0.006711704897716255,3.0439004156047913
coupled,40,360,4,3,0.9290503259061728,0.8213535306489298,0.9929010242578612,4.070817756958907e-16,0.007500000000000007,3.301145681719171
coupled,40,360,6,3,0.9290503259061728,0.7558904124549285,0.9848046365039943,7.401486830834377e-16,0.015000000000000013,4.485027328142687
coupled,40,720,4,3,0.9311828856505008,0.8327351722447064,0.9850555670849,3.3306690738754696e-16,0.007500000000000007,2.8087225336598047
coupled,40,720,6,3,0.9311828856505008,0.7720713941628999,0.9671118869801316,6.661338147750939e-16,0.015000000000000013,3.7346238839434442
coupled,60,360,4,3,0.9125599162635454,0.7772851385171444,0.5048776774452977,-3.700743415417188e-17,0.0007380964256768662,0.08045113863436702
coupled,60,360,6,3,0.9125599162635454,0.7068929095844418,0.9460380497107743,0.0,0.0011464401344002796,0.6237065142973145
coupled,60,720,4,3,0.9159719757455761,0.7934544893058743,0.9826976516920454,-7.401486830834377e-17,0.0025959731774000067,2.221804974573297
coupled,60,720,6,3,0.9159719757455761,0.7298334622905257,0.999629213178427,-3.700743415417188e-17,0.0005363025318823318,3.1759853631065353
coupled,80,360,4,3,0.8948342556301226,0.7325861419347749,0.9861263372839548,8.511709855459534e-16,0.0054254755911668905,3.0299822742949543
coupled,80,360,6,3,0.8948342556301226,0.6554787406024836,0.9999955809788298,7.031412489292658e-16,0.0001218204275987183,3.852204714823983
coupled,80,720,4,3,0.914015120686789,0.7875935327831577,0.9584446114778085,-3.700743415417188e-17,0.008330631621797981,2.2928984665928778
coupled,80,720,6,3,0.914015120686789,0.7259312877162186,0.9676268072857976,-2.220446049250313e-16,0.009397422720234963,2.951628644948041
coupled,120,360,4,3,0.8932109378450104,0.7314086772847558,0.9841521281069137,4.070817756958907e-16,0.005948683112640965,2.809718977633263
coupled,120,360,6,3,0.8932109378450104,0.6547404020710472,0.9847572092909922,3.7007434154171886e-16,0.007596978543848497,3.6604704496106018
coupled,120,720,4,3,0.9040358405466516,0.7634656558112538,0.9797489073945354,3.700743415417188e-17,0.004758722379998611,2.6228606347046846
coupled,120,720,6,3,0.9040358405466516,0.6963631530585266,0.9845843101590528,4.070817756958907e-16,0.005594005688527082,3.5469813062001796
coupled,160,360,4,3,0.8925762038141071,0.7347022154305316,0.9947321108774216,9.62193288008469e-16,0.0030784629804620454,2.8886143592897633
coupled,160,360,6,3,0.8925762038141071,0.6593048753328813,0.9849359876957762,1.6283271027835629e-15,0.006442958583849032,3.5486229498504973
coupled,160,720,4,3,0.8967533070315824,0.7494826422276616,0.9958170311786158,-1.1102230246251565e-16,0.0033588646176983014,2.764158566736226
coupled,160,720,6,3,0.8967533070315824,0.6791949911580848,0.9899256876449172,-5.551115123125783e-16,0.006543627585003963,3.4545271707967378
coupled,240,360,4,3,0.9015039462851963,0.7493953155713383,0.9939090900060181,3.700743415417188e-17,0.00020213753379690375,0.7959373898624758
coupled,240,360,6,3,0.9015039462851963,0.672457909539906,0.8491921925219535,4.070817756958907e-16,0.0031202537804029345,2.1906450821526433
coupled,240,720,4,3,0.9087621816039118,0.7738755005981557,0.9406737228705189,-2.9605947323337506e-16,0.0002993777554742393,0.5496467751391665
coupled,240,720,6,3,0.9087621816039118,0.7053673466637216,0.9934008286496192,-2.220446049250313e-16,0.0004444049714521397,2.549096996911033
null,20,360,4,3,0.5195598939590876,0.0006438507892664334,0.5820861389926326,-4.951189921017137e-18,0.000488389783180174,0.08075788333863619
null,20,360,6,3,0.5195598939590876,0.0,,0.0,0.0,0.0
null,20,720,4,3,0.521942437622426,0.0013014264538140333,0.6725414369781169,1.546795099412653e-17,0.0016681952358825534,0.3995090053128993
null,20,720,6,3,0.521942437622426,4.292754004706667e-05,0.6725414369781171,6.776263578034403e-19,5.5025405073644884e-05,0.013177801000181517
null,30,360,4,3,0.5212838263886651,0.0009118206574804667,-0.37493715773686054,4.7704895589362195e-18,0.0014641086958093676,-0.15433093153031432
null,30,360,6,3,0.5212838263886651,0.0006973743906504333,-0.3749371577368605,6.3606527452482924e-18,0.0011197727329487817,-0.11803465785899059
null,30,720,4,3,0.5234397197804542,0.0023556319091399664,0.41722077480988823,3.0429940974426493e-17,0.0025343596796006027,0.4002482851464494
null,30,720,6,3,0.5234397197804542,0.0005159764571476666,0.36944258776917155,7.137664302196237e-19,0.0006757158173175929,0.09241509199453674
null,40,360,4,3,0.5223876559148736,0.0011001689082029667,-0.35723287179521085,-3.0357660829594124e-18,0.0017798114999522656,-0.1448946661765897
null,40,360,6,3,0.5223876559148736,0.00014605422830086666,-0.35723287179521085,-4.228388472693467e-18,0.0002362809866815277,-0.01923566326547131
null,40,720,4,3,0.5240307414714159,0.0024323980264934,0.4756363579098879,5.305362630695735e-17,0.002735578795639237,0.7941389493948615
null,40,720,6,3,0.5240307414714159,0.0008090922928013668,0.3571771101908584,2.8189256484623115e-18,0.0008529600965540438,0.1751163056487681
null,60,360,4,3,0.5219990095776387,0.00010508239794393333,-0.05934013915413255,-1.807003620809174e-20,0.0001816873215082522,-0.002705317476597981
null,60,360,6,3,0.5219990095776387,0.00013812693971256666,-0.8348292426921088,1.969633946682e-18,0.00013170535212257665,-0.050028300078427554
null,60,720,4,3,0.5237159054731483,0.0020673685102221002,-0.6581860894789738,1.1040792123144054e-16,0.0007893226326600538,-0.5784810031018536
null,60,720,6,3,0.5237159054731483,0.0004415030341245333,-0.9990934480132095,5.182486384480711e-17,2.042669332111477e-05,-0.4018728078593662
null,80,360,4,3,0.5214852378244516,0.0,,0.0,0.0,0.0
null,80,360,6,3,0.5214852378244516,1.033482278853711e-05,-0.88789261370062,-1.4456028966473392e-19,8.235110271037118e-06,-0.004693468497395343
null,80,720,4,3,0.5232675776606843,0.0017100420531939002,-0.1907975251609577,-1.6335312732114932e-17,0.0009845773697016184,-0.1420909957433446
null,80,720,6,3,0.5232675776606843,0.00027343564445190003,-0.6542594756655737,-8.61940727125976e-18,0.00017956867143801715,-0.1153440419481751
null,120,360,4,3,0.5223348286644658,0.0008848275044151333,0.6884316648471949,1.7076184216646695e-17,0.00041224801871139483,0.14919406557524958
null,120,360,6,3,0.5223348286644658,0.0005534542451169334,0.3219483695186615,-1.0480621000693209e-18,0.00045404063044768024,0.05886983978044594
null,120,720,4,3,0.5229692183555397,0.0016393229973776667,-0.9787448880296543,-7.806255641895632e-18,4.9981332012234316e-05,-0.13059875084540554
null,120,720,6,3,0.5229692183555397,0.00027567606836636664,0.9802110906312497,3.0176960467513205e-18,2.1672477574645905e-05,0.05875567123138014
null,160,360,4,3,0.5223032622619316,0.0012531638445517,0.3913214964417672,-3.3610267347050637e-18,0.0011107918606373778,0.20524978530034182
null,160,360,6,3,0.5223032622619316,0.0006738754435414001,0.4733319826483256,-7.011174048739596e-18,0.0006922282890473117,0.1616294367151901
null,160,720,4,3,0.5225648169456021,0.0014748206254772333,-0.11763747068184593,1.4456028966473393e-18,0.0006060801716656165,-0.041968048788958774
