r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,motif_odd,comp_even,parity,wall_entropy,max_cluster_lifetime,atlas_score,motif_entropy
3.8625,0.1,320,1440,137,4,0.8130680454743976,0.43739049857797363,0.006266695622846985,0.0025284075115909682,0.43112380295512664,0.7488498881073912,13,0.010203407392906797,0.6878731732209327
3.8625,0.1,320,1440,137,6,0.8130680454743976,0.2950007377408496,0.0007650220885229147,0.0002643623276022241,0.2942357156523267,0.7488498881073912,13,0.0003965063916726797,0.6438375227735307
3.8625,0.1,320,1440,173,4,0.798869178509864,0.4107945387626134,0.008442950550734237,0.0038756770401038284,0.40235158821187916,0.7993329311646442,14,0.008494909166742101,0.7018783551873541
3.8625,0.1,320,1440,173,6,0.798869178509864,0.2712332825606026,0.0012342563143355981,0.00045498671409068355,0.269999026246267,0.7993329311646442,14,0.0,0.660628985494482
3.8625,0.132,320,1440,17,4,0.9173464641210456,0.8018934165028446,0.00014061775886781047,1.1534525431143846e-05,0.8017527987439769,0.2603476076743621,2,0.004511255585623404,0.5906080273442271
3.8625,0.132,320,1440,17,6,0.9173464641210456,0.7421347338719682,8.995812744577169e-06,0.0,0.7421257380592235,0.2603476076743621,2,0.004511255585623404,0.5500403849609432
3.8625,0.132,320,1440,42,4,0.9238662733624438,0.8137424806642268,4.41696113074205e-07,0.0,0.8137420389681137,0.1766754523276438,1,0.0020804435101004657,0.5867223037784924
3.8625,0.132,320,1440,42,6,0.9238662733624438,0.7544468376642277,0.0,0.0,0.7544468376642277,0.1766754523276438,1,0.0020804435101004657,0.5779487790401439
3.8625,0.132,320,1440,73,4,0.9246448268675428,0.8162072577689777,8.426327798199595e-05,2.1083854863418492e-05,0.8161229944909958,0.36810774209843283,0,0.0,0.5749025089944254
3.8625,0.132,320,1440,73,6,0.9246448268675428,0.7550044753432156,8.995715709496629e-07,0.0,0.7550035757716447,0.36810774209843283,0,0.0,0.5370764024122828
3.8625,0.132,320,1440,101,4,0.9256349611395145,0.8191789102321885,9.283160297358377e-06,0.0,0.8191696270718911,0.23106327980014837,1,0.0021478345558240152,0.5691997829754781
3.8625,0.132,320,1440,101,6,0.9256349611395145,0.7661369980858528,4.41696113074205e-07,0.0,0.7661365563897397,0.23106327980014837,1,0.0021478345558240152,0.5664468313718228
3.8625,0.132,320,1440,137,4,0.9264103759192845,0.8239616504246143,0.00018558913906655748,6.526139018476659e-05,0.8237760612855478,0.18194696839482555,1,0.002069528479933003,0.5657945868082677
3.8625,0.132,320,1440,137,6,0.9264103759192845,0.7695355011253768,3.0270872884903518e-05,7.306167615718027e-06,0.769505230252492,0.18194696839482555,1,0.002069528479933003,0.5208302017402006
3.8625,0.132,320,1440,173,4,0.9128125,0.7928125,0.0,0.0,0.7928125,0.11931925373449763,2,0.0041459920082731186,0.7892076304277128
3.8625,0.132,320,1440,173,6,0.9128125,0.7309374999999999,0.0,0.0,0.7309374999999999,0.11931925373449763,2,0.0041459920082731186,0.7532029953247713
3.8625,0.164,320,1440,17,4,0.8649554355867443,0.6223522423835274,0.33996884476572575,1.884915235241379e-05,0.2823833976178016,0.8316366951570119,7,0.0038542782501059403,0.610643462290225
3.8625,0.164,320,1440,17,6,0.8649554355867443,0.5181799077340026,0.2401239963134704,2.4297966643466827e-06,0.2780559114205322,0.8316366951570119,7,0.00254062817682255,0.5877495090380044
