r,epsilon,long_memory_score,motif_50,motif_100,motif_150,comp_50,comp_100,comp_150,frame_50,frame_100,frame_150,wall_period,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.86,0.13,0.00043873322128954676,0.48926388888888894,0.921625,0.4710535714285714,0.0,0.0,0.0,0.833125,0.9791093750000001,0.8246071428571429,251.5,0.33613296874799214,0.11172497467070439,0.18875784747509813,15.0,251.5
3.92,0.13,0.0002531103890830644,0.5787083333333334,0.55403125,0.5294285714285714,0.0,0.0,0.0,0.88625,0.870765625,0.8571071428571428,333.3333333333333,0.7959576501804283,-0.006412880360126723,0.1254700236253513,13.0,126.50200803212851
3.9,0.11,0.00025012611804368874,0.33105555555555555,0.32118749999999996,0.35314285714285715,0.0,0.0,0.0,0.8079861111111111,0.796390625,0.8000535714285715,188.9630695520756,0.7287145477370806,-0.0024530557998773436,0.3049499291735021,13.0,126.46306955207562
3.9,0.13,0.0002376981553758578,0.5277499999999999,0.7223125,0.5087857142857143,0.0,0.0,0.0,0.8722361111111111,0.9359531249999999,0.8631964285714286,127.0,0.606729763616194,0.0646814921023229,0.15035516205357824,13.0,127.0
3.9,0.15,0.00023024591729205548,0.36091666666666666,0.8003750000000001,0.33173214285714286,0.0,0.0,0.0,0.8233055555555555,0.95215625,0.8136785714285715,127.0,0.4095303962804351,0.1092116142380247,0.2141335583123571,14.0,251.5
3.88,0.11,9.521763825462128e-05,0.4608055555555556,0.43178125,0.4152321428571428,0.0,0.0,0.0,0.8615138888888889,0.842796875,0.8301785714285714,375.0,0.8529859281944243,-0.01328099149020832,0.16983970915831348,15.0,2.8403427171785274
3.86,0.11,7.512379825595452e-05,0.6188055555555556,0.601859375,0.588,0.0,0.0,0.0,0.9101250000000001,0.9025000000000001,0.8941964285714286,251.52459016393442,0.8475860650457844,0.011467258406909328,0.11724766301274193,13.0,2.0165289256198347
3.92,0.15,4.7370864134480425e-05,0.36944444444444446,0.834453125,0.34310714285714283,0.0,0.0,0.0,0.8286944444444444,0.954203125,0.81625,126.5,0.4845904220326253,0.07139504578193001,0.17180608685610754,17.0,2.0
3.88,0.09,3.512122607402779e-05,0.179375,0.16312500000000002,0.17667857142857143,0.0,0.0,0.0,0.7581944444444445,0.741890625,0.7390178571428572,252.02432467873066,0.8082402013924936,0.017009561015659428,0.5341281576293299,12.0,4.056979358794116
3.9,0.09,2.790009446866239e-05,0.07766666666666666,0.058078124999999994,0.04635714285714286,0.0,0.0,0.0,0.6539444444444444,0.6133124999999999,0.5845892857142857,229.16666666666666,0.847434711709387,-0.07122999783003013,0.8040086721838092,11.0,64.71303606003231
