r,epsilon,long_memory_score,motif_100,motif_150,motif_200,comp_100,comp_150,comp_200,frame_100,frame_150,wall_period,wall_period_power,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.7,0.02,3.499032452441651e-06,0.137125,0.13306,0.13597142857142858,0.0,0.0,0.0,0.75075,0.7469466666666666,3.2646138313982833,0.03309746920794672,0.9075659626365665,0.0030248818294750218,0.7937713403578254,14.0,2.0
3.7,0.04,9.516461423467318e-06,0.21561875000000003,0.18661999999999998,0.1850642857142857,0.0,0.0,0.0,0.7893000000000001,0.7738933333333333,3.207174887892377,0.14736769641174716,0.7885666238982252,0.01621678422692973,0.6198929622072985,13.0,3.2107463164638057
3.7,0.06,1.4646580453501535e-05,0.31978125,0.11480666666666668,0.3483428571428572,0.0,0.0,0.0,0.8298,0.71538,182.4,0.28264213846431746,0.6655240831992352,0.023782976321394207,0.7037721331937127,25.0,2.7860262008733625
3.7,0.08,5.32385153028628e-05,0.50468125,0.30421333333333334,0.5183142857142857,7.500000000000001e-05,6.666666666666667e-05,2.142857142857143e-05,0.86808125,0.7826266666666667,182.4,0.21304251590515388,0.7398834362501745,0.03996899200227462,0.49417626712676765,89.0,2.0
3.7,0.1,3.05907505625047e-05,0.5499,0.3496933333333333,0.5957214285714285,0.00013749999999999998,0.00011333333333333334,0.00015714285714285716,0.87539375,0.7924133333333334,2.8,0.4264650929940563,0.5730436599308628,0.01203319157548989,0.5461430548193619,97.0,2.4
3.7,0.12,1.2199260621915148e-05,0.54166875,0.36272666666666664,0.5333785714285714,0.00028125,0.00021999999999999998,0.0002142857142857143,0.8762187499999999,0.8007866666666666,2.4,0.5497808323078266,0.47094157203026094,0.004841166735808547,0.8915803137660756,95.0,2.0
3.7,0.14,4.437206678471026e-06,0.684075,0.5459866666666666,0.6749714285714286,0.00103125,0.00102,0.0009214285714285715,0.8998312500000001,0.8342600000000001,2.0,0.6015606870244392,0.4337199934768643,0.0029503472271688175,1.8033978390290961,67.0,2.0
3.7,0.16,5.230928227688537e-06,0.5624499999999999,0.50326,0.5723,0.00303125,0.002993333333333333,0.003264285714285714,0.8408187500000001,0.8052133333333333,2.8,0.3514411157183377,0.6401438822937002,0.0326003365128891,1.414434910041139,226.0,2.607911036847109
3.7,0.18,2.020465236991464e-07,0.5815187500000001,0.46369333333333335,0.6173571428571428,0.0038062499999999997,0.0038933333333333333,0.003985714285714285,0.8439937499999999,0.7700133333333333,2.4,0.37322781477617656,0.651313252370688,0.002986875037263963,1.7281200452001344,273.0,2.0
3.7,0.2,1.3888463283680087e-07,0.54480625,0.4511,0.5405571428571428,0.00330625,0.00334,0.0031071428571428574,0.8195124999999999,0.7763266666666666,2.4,0.30817589111562593,0.6933081397285475,0.025842214524707818,1.6972423945477337,35.0,2.4
3.7,0.25,9.457243390070049e-09,0.60569375,0.3370066666666667,0.5942571428571429,0.00318125,0.0028666666666666667,0.002942857142857143,0.85695,0.7291733333333333,3.2,0.3706871074457256,0.5874895232028471,0.00833502996049493,2.170551009057683,55.0,2.4
3.7,0.3,6.865035974009888e-12,0.6445624999999999,0.5260466666666667,0.6303,0.0029,0.0028133333333333335,0.0028142857142857145,0.8764375,0.8451266666666667,182.0,0.34018912183225336,0.6776748136116499,0.01877448398226999,3.8528545021055876,115.0,2.400890868596882
3.75,0.02,3.7575450186043794e-08,0.06188125,0.06355333333333332,0.06315,0.0,0.0,0.0,0.6287312500000001,0.6298466666666667,27.460805824727952,0.020192897106708813,0.9222518221131001,-0.0003985951220520279,1.5296780746752938,16.0,2.2080585719806956
3.75,0.04,1.1010884257297565e-05,0.13188125,0.12255333333333333,0.11751428571428572,0.0,0.0,0.0,0.7389,0.7279466666666667,272.17030780905213,0.02583369369302401,0.9134796885019375,0.005672832256341938,0.6594264999494021,12.0,3.58315184574938
3.75,0.06,7.101112022953794e-06,0.31378125,0.11455333333333333,0.3251571428571428,0.0,0.0,0.0,0.8297062499999999,0.7199933333333333,4.0,0.3952663089882703,0.6115279744842486,0.008826189091762296,0.659119247249867,12.0,3.6
3.75,0.08,2.3546296028121173e-05,0.5701750000000001,0.24224666666666667,0.52915,0.0,0.0,0.0,0.91139375,0.79726,2.0,0.40685544122705936,0.5180582357230608,0.007336462506822602,0.29858666250686794,72.0,2.0
3.75,0.1,4.395892922600601e-05,0.8221812500000001,0.5223066666666667,0.8305285714285715,0.0,0.0,0.0,0.95914375,0.8632799999999999,2.8,0.4157022189667757,0.5741706154357915,0.011593000650209557,0.15037877652130419,900.0,3.2
3.75,0.12,4.772444629936316e-05,0.6553687499999999,0.2847,0.7222428571428571,0.0,0.0,0.0,0.91479375,0.7779466666666666,2.934124629080119,0.2601624473755818,0.6805839819364627,0.005446446687237102,0.36904697267878583,70.0,2.934124629080119
3.75,0.14,1.0151701462561997e-07,0.71735625,0.14260666666666666,0.7086571428571429,0.0,0.0,0.0,0.93004375,0.6906066666666667,2.8,0.5785767074634164,0.3723220487133583,0.00438190521982608,1.6192033859108388,17.0,2.4
3.75,0.16,0.0002722522941775341,0.38860625,0.34947333333333336,0.31702857142857144,0.0001,0.0001,0.0001142857142857143,0.77459375,0.7544733333333333,361.2008908685969,0.1318044381067107,0.7778572759049254,0.08908702173371934,0.8342229942841733,90.0,181.60357543235529
3.75,0.18,4.2804214644406936e-05,0.58424375,0.5096733333333334,0.5749357142857143,7.500000000000001e-05,4.6666666666666665e-05,2.1428571428571428e-05,0.8557375,0.8087133333333334,181.99800664451828,0.2101052307814296,0.7358797130231011,0.013719365661550093,0.7820109525254131,26.0,3.2015940884644607
3.75,0.2,3.473110561132383e-05,0.66030625,0.49215333333333333,0.64065,6.874999999999999e-05,7.999999999999999e-05,2.142857142857143e-05,0.88263125,0.7972733333333333,361.6,0.12951065167459658,0.8447317059569659,0.02935744210536124,0.7014437558486502,25.0,3.068254972239792
3.75,0.25,7.39855553003598e-05,0.6802374999999999,0.4986,0.6722928571428571,3.7500000000000003e-05,3.3333333333333335e-05,3.571428571428572e-05,0.8997375,0.8171666666666667,182.0,0.3014336793831697,0.6482472240455821,0.0447061467242094,0.669114492293024,24.0,3.6
3.75,0.3,6.398385075496642e-09,0.59311875,0.2805066666666667,0.5819857142857143,6.874999999999999e-05,4e-05,2.8571428571428574e-05,0.885825,0.7771466666666667,4.000031605562579,0.24564601054185348,0.7310196423010117,0.009080558263809449,2.2129915740463693,40.0,3.204494382022472
3.8,0.02,9.44615721208272e-08,0.04293125,0.0439,0.0439,0.0,6.666666666666667e-06,7.1428571428571436e-06,0.5896125,0.5924866666666666,2.6965405470337425,0.018022430882690843,0.9236489252045665,-0.001141219480131237,1.2248615755150793,13.0,2.3320119816563403
3.8,0.04,3.2867995941423263e-08,0.0558,0.05684666666666667,0.055714285714285716,0.0,0.0,0.0,0.6212,0.6202066666666667,2.1791375640373545,0.02216725146784142,0.9229306094811284,0.0009549694214244453,1.440900430060608,13.0,2.307226867103712
3.8,0.06,1.3854956606526153e-05,0.1380125,0.13820666666666664,0.13952857142857142,0.0,0.0,0.0,0.7399125,0.7361133333333333,362.63917102315156,0.03421526967207873,0.890993717373874,0.003939400125665024,0.5994114193712905,12.0,4.124430079687685
3.8,0.08,9.797832809463974e-06,0.21593125,0.21095333333333333,0.23479999999999998,0.0,0.0,0.0,0.791925,0.79218,3.523988005997002,0.21815312405155662,0.6530039428896488,0.011101173595405606,0.4847977201283162,12.0,3.523988005997002
