N,boundary_complexity,bridge_formula,bridge_score,cluster_count,coexistence,entropy,epsilon,motif_persistence,order,phase_variance,r,sensitivity,spatial_entropy,steps,temporal_entropy,transient
48,0.13965277777777776,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.002145903242057339,21,0.9155650928235601,0.8120425403749656,0.0,0.5808908045977011,0.8964774475514055,0.07157516741991987,3.65,0.005828129849999471,0.8152457587671861,300,0.8081274956733628,450
48,0.10284722222222223,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.0042226842631727666,27,0.6450876780086722,0.5386643221511473,0.1,0.7306034482758621,0.8935766441424752,0.061651749174887804,3.65,0.0229102778605273,0.625892417891343,300,0.4320522051353526,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.0031729036894256207,15,0.7429134106616502,0.6423991356625898,0.2,0.5163793103448275,0.8994857250009396,0.06224533599846882,3.65,0.014997824146608482,0.7197269906112943,300,0.5478873129475064,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.004073685119703598,13,0.641037475275766,0.5419311982332465,0.30000000000000004,0.7176724137931034,0.9008937229574805,0.06445804209958661,3.65,0.02331646034449016,0.6690615948251766,300,0.3865496023986652,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.007918906518653408,7,0.7637100402203786,0.6535179506868558,0.4,0.6383620689655173,0.8898079104664772,0.0672120837936584,3.65,0.033488036692768765,0.7690011245985978,300,0.5123718492391711,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.010848171140092776,7,0.8676620364920352,0.7505967006859375,0.5,0.6041666666666666,0.8829346641939023,0.07148517032972224,3.65,0.03618577384741939,0.8139385542285623,300,0.673178879689396,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.015056330984146072,5,0.8371322873531095,0.7433689645800828,0.6000000000000001,0.5918103448275862,0.9062366772269733,0.04491301070940157,3.65,0.051606489393440376,0.8165570494234097,300,0.6539168608826832,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.01947564147123495,5,0.832606457746073,0.7529042604179885,0.7000000000000001,0.5873563218390805,0.9202978026719155,0.03331555577330236,3.65,0.06543740511712626,0.8283964452662322,300,0.6606360344923572,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.01961117498018925,9,0.6894205322588449,0.5984722149725291,0.8,0.9494252873563218,0.9090516827136842,0.05359978125997811,3.65,0.08252715573152003,0.8036085778941917,300,0.3477499936238302,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.016826529512066386,1,0.7921194964475629,0.7798584272762432,0.9,0.5938218390804598,0.9877389308286804,0.0006026938646348512,3.65,0.05323812768246152,0.7835135156035531,300,0.7753910970984201,450
48,0.18368055555555557,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.007182971762429901,26,0.8123157214623342,0.702435157534127,1.0,0.6653735632183908,0.8901194360717928,0.07703331823798287,3.65,0.02377768850182288,0.8262371875363932,300,0.5511215653091349,450
48,0.13,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.004197799681223028,20,0.908571664386586,0.821778476190361,0.0,0.42442528735632185,0.913206811803775,0.0488567325725342,3.6875,0.012428874529001606,0.8274755755944967,300,0.8148153546964174,450
48,0.09256944444444444,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.010522173921505958,13,0.8362928594764104,0.7202782012279256,0.1,0.5747126436781609,0.8839853417515152,0.065287561091938,3.6875,0.03677831747262633,0.7786940496691721,300,0.6488810531330688,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.015896563829189074,8,0.8938838028618454,0.777143009339389,0.2,0.5571839080459771,0.8832592064775435,0.07557256871535467,3.6875,0.05119290850905359,0.8089776009765082,300,0.7382340640051319,450
