r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8625,0.132,60,360,1313,4,0.918237541356493,0.1236955467833218,0.777612380003509,0.0002118043678661,0.0,0.7774005756356428,0.7893180922710903,0,0.0
3.8625,0.132,60,360,1313,6,0.918237541356493,0.1236955467833218,0.710964255054981,0.0,0.0,0.710964255054981,0.7893180922710903,0,0.0
3.8625,0.132,60,720,101,4,0.9206858494190212,0.1288588535162216,0.8061991387173311,1.5503875968992248e-05,0.0,0.806183634841362,0.2852265262710898,2,0.0045341022067995
3.8625,0.132,60,720,101,6,0.9206858494190212,0.1288588535162216,0.7452706899385019,0.0,0.0,0.7452706899385019,0.2852265262710898,2,0.0045341022067995
3.8625,0.132,60,720,707,4,0.9089498238702278,0.1511008191474349,0.7784342431761786,0.0,0.0,0.7784342431761786,0.0904086624541517,2,0.0041098825432243
3.8625,0.132,60,720,707,6,0.9089498238702278,0.1511008191474349,0.7076513647642679,0.0,0.0,0.7076513647642679,0.0904086624541517,2,0.0041098825432243
3.8625,0.132,60,720,1313,4,0.918280253947479,0.1243262124785823,0.7960075024525587,0.0002619125524764,0.0,0.7957455899000823,0.6844874079343268,127,0.0722894953337441
3.8625,0.132,60,720,1313,6,0.918280253947479,0.1243262124785823,0.7365835001274637,5.167958656330749e-06,0.0,0.7365783321688073,0.6844874079343268,127,0.0722894953337441
3.8625,0.132,80,360,101,4,0.8976107543330325,0.1550001858922986,0.7473319922684842,0.0002304630264132,5.148883374689827e-05,0.747101529242071,0.4655945870202435,3,0.0082283274064307
3.8625,0.132,80,360,101,6,0.8976107543330325,0.1550001858922986,0.6660373567964293,0.0,0.0,0.6660373567964293,0.4655945870202435,3,0.0075629565781765
3.8625,0.132,80,360,707,4,0.8830840384413973,0.1698429602991368,0.695424736218083,0.0002664597625654,0.0,0.6951582764555175,0.4390440324368729,108,0.0698884586246635
3.8625,0.132,80,360,707,6,0.8830840384413973,0.1698429602991368,0.610294294583105,3.882045539380366e-05,0.0,0.6102554741277112,0.4390440324368729,108,0.0506589346349378
3.8625,0.132,80,360,1313,4,0.903807974115938,0.1317006932807354,0.7583891367369191,0.0028905166301833,0.0019550152468499,0.7554986201067357,0.3624064466523273,155,0.063088351188734
3.8625,0.132,80,360,1313,6,0.903807974115938,0.1317006932807354,0.6901433908833103,0.0,1.9969278033794163e-05,0.6901433908833103,0.3624064466523273,155,0.0616077863852011
