r,epsilon,score_mean,parity_mean,local_score_mean,local_score_std,local_parity_mean,local_parity_std,positive_runs,neighborhood_runs
3.88,0.11,0.022784994202529,0.465429233520136,0.016470685008261866,0.013992120198030138,0.5074932236772611,0.11911050296863676,6,6
3.88,0.12,0.0333831757265927,0.6283376567666789,0.023379893376424724,0.011602142863280965,0.5726049977076373,0.0773322141176657,4,4
3.88,0.13,0.0272987211969139,0.7049110927098425,0.01447695872170705,0.01813271038596395,0.7266810388801921,0.03078735312624048,2,2
3.88,0.14,0.0035832739605593,0.6915987341182964,0.0142074332955594,0.016998983262615324,0.6206826097335701,0.09642003701842855,4,4
3.88,0.15,0.0077237596854629,0.558577216084197,0.0142074332955594,0.016998983262615324,0.6206826097335701,0.09642003701842855,4,4
3.88,0.16,0.0018213141864579,0.3759358588297619,0.0019897898161628,0.000238260520458017,0.3562122937606776,0.027893333219047238,2,2
3.89,0.1,0.0011744623223826,0.3235731272071757,0.00788727261796665,0.009493347361652709,0.4201030346837906,0.13651390432804889,2,2
3.89,0.11,0.0146000829135507,0.5166329421604056,0.014547130698205,0.013346271052666633,0.4963918325513054,0.1636397417428157,3,3
3.89,0.12,0.0278668468586817,0.648969428286335,0.021233464886116202,0.009381018750003323,0.5828011852233703,0.09357602673804415,2,2
3.89,0.13,0.0093214462028968,0.661922231988517,0.0093214462028968,,0.661922231988517,,1,1
3.89,0.14,0.0214549513785711,0.7080588162857149,0.018286343963710802,0.00448108757993139,0.6519057051553118,0.07941249133005968,2,2
3.89,0.15,0.0151177365488505,0.5957525940249087,0.018286343963710802,0.00448108757993139,0.6519057051553118,0.07941249133005968,2,2
3.89,0.16,0.0027469585447999,0.420960081993796,0.0027469585447999,,0.420960081993796,,1,1
