n,motif_size,runs,mean_parity_drop,drop_sd,drop_sem,positive_drops,t_mean_over_sem
640,4,8,0.08033644221311345,0.01612576022437397,0.005701317203221568,8,14.090856437126284
640,6,8,0.10999747181400722,0.01807295741329757,0.006389755371519199,8,17.21466087798831
960,4,8,0.075633232216696,0.018155496966541725,0.006418937510426724,8,11.782827312750703
960,6,8,0.10448370224055097,0.01930165070190786,0.006824164049706566,8,15.310842687763886
