r,epsilon,motif_size,runs,parity_mean,parity_sd,score_mean,score_sd,motif_entropy_mean,frame_even_mean
3.84,0.1,4,6,0.6541527181217974,0.028958322206326135,0.04802940427048572,0.020722888409460807,0.6217577463086587,0.8940728425059808
3.84,0.1,6,6,0.5361820488467214,0.03468327666942956,0.02546221518182631,0.012778521302367871,0.5761573524421737,0.8940728425059808
3.84,0.132,4,6,0.6868879562857368,0.03195288631261764,0.02528534657863508,0.013486845790444376,0.7871387869570534,0.896167269030451
3.84,0.132,6,6,0.5869267935856989,0.04147818366902365,0.015933646907716075,0.00845067158019832,0.7713275064859465,0.896167269030451
3.84,0.164,4,6,0.3892944430756862,0.01615024795941087,0.004866184173240382,0.0021095800731100863,0.554549330242136,0.8815731686268046
3.84,0.164,6,6,0.4207115479494368,0.008669652740718178,0.004596067519374174,0.0023104713314615203,0.53742747005784,0.8815731686268046
3.8625,0.1,4,6,0.4325743872775027,0.027602940029092186,0.0077053247386003375,0.001802309509867856,0.6834702729476732,0.8128873777436749
3.8625,0.1,6,6,0.2961373844783679,0.02672646412797144,0.0003942658473869343,0.00048566666520107185,0.6387283221917927,0.8128873777436749
3.8625,0.132,4,6,0.8112293367600875,0.011659457225321484,0.002492509023292334,0.001642525854377056,0.6127391400547673,0.9217859002349719
3.8625,0.132,6,6,0.7530259063562212,0.014533401850487748,0.002492509023292334,0.001642525854377056,0.5842575991416941,0.9217859002349719
3.8625,0.164,4,6,0.2983479006851322,0.013845652388197915,0.0033519499327183257,0.0010824877453091384,0.6532225747429473,0.8531295512633257
3.8625,0.164,6,6,0.2980286408439023,0.011745613145229442,0.00217859223520111,0.0005748588875906164,0.6420815089226771,0.8531295512633257
3.885,0.1,4,6,0.37373944770365974,0.018132297058918893,0.0031448218220178348,0.0005377276915901279,0.6944062293367534,0.7909465179451957
3.885,0.1,6,6,0.24208505778473763,0.01544294305981859,0.0,0.0,0.6483194587965698,0.7909465179451957
3.885,0.132,4,6,0.7476208805549103,0.03413800102495252,0.014047392324522843,0.004586169937821389,0.6529261444143859,0.9056399195244228
3.885,0.132,6,6,0.6741232380890646,0.044671533807666614,0.01251090659611974,0.0036186318287016305,0.6230927023350801,0.9056399195244228
3.885,0.164,4,6,0.34848528294468983,0.011135387048195857,0.00295969289948168,0.000931557893541046,0.7722075669364187,0.8243052402404487
3.885,0.164,6,6,0.3187176820288828,0.014795025676771002,0.0011047323316014056,0.00040880183504017614,0.7676903842945556,0.8243052402404487
