n,horizon,motif_size,parity_mean,parity_sd,score_mean,score_sd
160,360,4,0.7347022154305316,0.030031244736789135,0.0050421375966011,0.002298810450400869
160,360,6,0.6593048753328813,0.037259906085898,0.004602436944602133,0.0023621302834589022
160,720,4,0.7494826422276616,0.036761212185116424,0.006543326621567866,0.0012982201924996689
160,720,6,0.6791949911580848,0.046216009025267984,0.005948542788856634,0.0006943955955646341
240,360,4,0.7493953155713382,0.0018342274777591056,0.017601676158994134,0.0163926869414069
240,360,6,0.672457909539906,0.005908632507164522,0.0164545736994836,0.015331097911116585
240,720,4,0.7738755005981557,0.0008823069845636156,0.0069033343361413,0.0016810966372484465
240,720,6,0.7053673466637216,0.0038746893481997027,0.0069033343361413,0.0016810966372484465
