r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,comp_odd,parity,smooth,resonance,wall_spectral_entropy,max_cluster_lifetime,atlas_score,class
3.8625,0.132,40,260,1313,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.4,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,360,101,4,0.907150977718518,0.13965385646046174,0.7502467035652519,0.0011861116184627408,0.00021476373089276317,0.5371242903748461,0.7490605919467892,8.227587082685545e-32,0.6297785547785548,0.9269349702094991,1,0.008074557633682627,resonant phase-memory
3.8625,0.132,40,360,101,6,0.907150977718518,0.13965385646046174,0.6576712373647857,0.0,0.0,0.3700833252734274,0.6576712373647857,4.833711319749801e-54,0.6711305361305362,0.9269349702094991,1,0.007537679867089208,resonant phase-memory
3.8625,0.132,40,360,707,4,0.9400000000000001,0.1,0.865,0.0,0.0,0.625,0.865,8.941249609089966e-57,0.6499999999999999,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,360,707,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.48125716702981,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,360,1313,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,360,1313,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.4,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,520,101,4,0.9023902916023927,0.1394564109247028,0.749339880819269,0.0008014637888058753,0.0002616352579783431,0.533465169046649,0.7485384170304632,7.059686878960265e-35,0.6525881834215168,0.6194362497634233,148,0.179423161401097,resonant phase-memory
3.8625,0.132,40,520,101,6,0.9023902916023927,0.1394564109247028,0.6581209974221942,0.0,0.0,0.3616143972549126,0.6581209974221942,8.380693300373488e-61,0.7024911816578483,0.6194362497634233,148,0.16881346086973512,resonant phase-memory
3.8625,0.132,40,520,707,4,0.9400000000000001,0.1,0.865,0.0,0.0,0.625,0.865,8.941249609089966e-57,0.6499999999999999,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,520,707,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.48125349492045305,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,520,1313,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,520,1313,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.4,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,720,101,4,0.9135486569515023,0.12721411297002402,0.7837324081799246,0.0005268914458054769,0.0001641293416904264,0.5605948291028293,0.7832055167341192,5.982221048857296e-41,0.661306909174102,0.459984654630701,348,0.1591312985448919,resonant phase-memory
3.8625,0.132,40,720,101,6,0.9135486569515023,0.12721411297002402,0.7062141824886996,0.0,0.0,0.39660826705095786,0.7062141824886996,2.5847969854457996e-72,0.7149959963395105,0.459984654630701,348,0.16678787968062772,resonant phase-memory
3.8625,0.132,40,720,707,4,0.9400000000000001,0.1,0.865,0.0,0.0,0.625,0.865,8.941249609089966e-57,0.6499999999999999,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,720,707,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.48125219309153466,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,720,1313,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,720,1313,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.4,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,80,260,101,4,0.8918213609307358,0.16031112804204167,0.7266970373376622,0.00035538730219581284,7.886904761904763e-05,0.48601992042104686,0.7263416500354664,1.4960268856095878e-65,0.68578125,0.5444494887776655,3,0.022011111176662948,resonant phase-memory
3.8625,0.132,80,260,101,6,0.8918213609307358,0.16031112804204167,0.6349225514069264,0.0,0.0,0.3408372457921895,0.6349225514069264,5.343838231247726e-105,0.7438020833333334,0.5444494887776655,3,0.018892053995746456,resonant phase-memory
3.8625,0.132,80,260,707,4,0.8755058170995671,0.1774985534434846,0.6705872564935065,0.0004357217041822799,0.0,0.48537045645681437,0.6701515347893242,5.692382765521121e-96,0.7186458333333334,0.5046441846223612,8,0.05773396055575018,resonant phase-memory
3.8625,0.132,80,260,707,6,0.8755058170995671,0.1774985534434846,0.5780213744588745,6.406406406406406e-05,0.0,0.3634482774388907,0.5779573103948104,9.113272677894957e-137,0.7610416666666666,0.5046441846223612,8,0.03833612318050938,resonant phase-memory
3.8625,0.132,80,260,1313,4,0.8918364448051948,0.14411119898729413,0.7318234577922078,0.003965617145842428,0.002918831168831169,0.5221369714073093,0.7278578406463654,1.8016969008198623e-40,0.6626041666666667,0.44157086218023395,55,0.16922536259717483,resonant phase-memory
3.8625,0.132,80,260,1313,6,0.8918364448051948,0.14411119898729413,0.6586603760822511,0.0,3.463203463203463e-05,0.3429239905917002,0.6586603760822511,2.1361365265712212e-69,0.7031770833333333,0.44157086218023395,55,0.15810993866449533,resonant phase-memory
3.8625,0.132,80,360,101,4,0.8976107543330325,0.15500018589229866,0.7473319922684842,0.0002304630264132863,5.148883374689827e-05,0.49466469042959493,0.747101529242071,4.600830362456069e-75,0.7063228438228437,0.46559458702024353,3,0.021014409756385168,resonant phase-memory
3.8625,0.132,80,360,101,6,0.8976107543330325,0.15500018589229866,0.6660373567964293,0.0,0.0,0.35102035636947304,0.6660373567964293,3.7283837341657506e-121,0.7677972027972026,0.46559458702024353,3,0.02033795377049803,resonant phase-memory
3.8625,0.132,80,360,707,4,0.8830840384413973,0.16984296029913687,0.695424736218083,0.00026645976256546024,0.0,0.49799811675090383,0.6951582764555175,1.3891961207461153e-98,0.7345658508158508,0.43904403243687296,108,0.1828313437826992,resonant phase-memory
3.8625,0.132,80,360,707,6,0.8830840384413973,0.16984296029913687,0.610294294583105,3.882045539380366e-05,0.0,0.3749398937387355,0.6102554741277112,1.6307386943504093e-145,0.786625874125874,0.43904403243687296,108,0.13832811786182353,resonant phase-memory
3.8625,0.132,80,360,1313,4,0.9038079741159379,0.1317006932807354,0.7583891367369191,0.0028905166301833583,0.0019550152468499242,0.5428935394002417,0.7554986201067357,8.742411707377315e-44,0.6890005827505827,0.36240644665232735,155,0.15871775480311864,resonant phase-memory
3.8625,0.132,80,360,1313,6,0.9038079741159379,0.1317006932807354,0.6901433908833103,0.0,1.9969278033794163e-05,0.3634070546788202,0.6901433908833103,3.2766511461683614e-75,0.7364801864801864,0.36240644665232735,155,0.16142819719753107,resonant phase-memory
3.8625,0.132,80,520,101,4,0.9064241797601174,0.14723333547325873,0.7752566802412215,0.00014843140550721266,3.3181357649442756e-05,0.5088586186524955,0.7751082488357143,1.2926885972623275e-90,0.7037169312169311,0.42588741427047494,0,0.0,resonant phase-memory
3.8625,0.132,80,520,101,6,0.9064241797601174,0.14723333547325873,0.7063288186315114,0.0,0.0,0.368554949178423,0.7063288186315114,2.928492223343267e-148,0.762010582010582,0.42588741427047494,0,0.0,resonant phase-memory
3.8625,0.132,80,520,707,4,0.8961699563592849,0.15745730912115452,0.7352522171440057,0.00016661632183266188,0.0,0.5193228123852353,0.735085600822173,1.2119127667447175e-111,0.731929012345679,0.4225158482713627,1,0.007009058272765092,resonant phase-memory
3.8625,0.132,80,520,707,6,0.8961699563592849,0.15745730912115452,0.6608053515378982,2.389418290428104e-05,0.0,0.3903564428804494,0.6607814573549939,4.055949001144222e-175,0.7870238095238096,0.4225158482713627,1,0.006650066366155398,resonant phase-memory
3.8625,0.132,80,520,1313,4,0.9203411996010067,0.11785959307128424,0.7981396834001554,0.0015328887558626644,0.0009834925398422738,0.5680669094140121,0.7966067946442927,7.95132655706011e-55,0.6717438271604939,0.3628190758677642,0,0.0,resonant phase-memory
3.8625,0.132,80,520,1313,6,0.9203411996010067,0.11785959307128424,0.7389711306814033,0.0,1.2075905692926969e-05,0.3907708646070336,0.7389711306814033,9.677481918480075e-94,0.720542328042328,0.3628190758677642,0,0.0,resonant phase-memory
3.8625,0.132,80,720,101,4,0.9104652132741091,0.14382330922513692,0.7888661837412558,0.00010293356090972445,2.2989889263360617e-05,0.5145799644876023,0.7887632501803461,2.4442091223042766e-98,0.7026418439716311,0.3939535924242565,0,0.0,resonant phase-memory
3.8625,0.132,80,720,101,6,0.9104652132741091,0.14382330922513692,0.7259546891816347,0.0,0.0,0.3753094917853095,0.7259546891816347,7.376990268457884e-162,0.7597185998627316,0.3939535924242565,0,0.0,resonant phase-memory
3.8625,0.132,80,720,707,4,0.903977072200601,0.15051176109481562,0.757938392616215,0.00011387468295673077,0.0,0.53115544871487,0.7578245179332582,1.9005055304935182e-119,0.7247909517272935,0.42970715101531676,1,0.006821680120677798,resonant phase-memory
3.8625,0.132,80,720,707,6,0.903977072200601,0.15051176109481562,0.6887013245367131,1.6155299329033938e-05,0.0,0.3981313544668336,0.688685169237384,5.844338963597895e-193,0.7831451612903226,0.42970715101531676,1,0.006966626031839446,resonant phase-memory
3.8625,0.132,80,720,1313,4,0.927603076585657,0.1115458232288907,0.817168375639185,0.0009755454033166918,0.0006100563397282826,0.579299398942511,0.8161928302358683,9.170356717479166e-61,0.6659371425303133,0.3828752449504814,0,0.0,resonant phase-memory
3.8625,0.132,80,720,1313,6,0.927603076585657,0.1115458232288907,0.763154004729637,0.0,8.11730819586279e-06,0.40280625120766844,0.763154004729637,5.0486208866067953e-104,0.7141254861587738,0.3828752449504814,0,0.0,resonant phase-memory
