horizon,motif_size,runs,parity_mean,parity_sd,parity_sem,score_mean,score_sd,motif_even_mean,wall_entropy_mean,cluster_lifetime_mean,motif_repeat_rate_mean
720,4,12,0.8066561933310994,0.018255411048532188,0.005269883241518663,0.00990759566238384,0.019282849034376316,0.8067815014950305,0.3266466477017655,5.0,7.026541492814094e-05
720,6,12,0.7464992279169058,0.022308958947783036,0.006440041726921423,0.00990759566238384,0.019282849034376316,0.7465079356826774,0.3266466477017655,5.0,3.9841214649976825e-06
1440,4,12,0.8132481663698251,0.01679995064124637,0.004849728012548009,0.008090381568563766,0.0192404523175954,0.8133072720757989,0.27264854051148024,4.333333333333333,3.61941162844568e-05
1440,6,12,0.7551065106350121,0.020219271566652864,0.005836800940912589,0.008090381568563766,0.0192404523175954,0.755110623443485,0.27264854051148024,4.333333333333333,2.171646977067408e-06
2880,4,12,0.8162833411900113,0.016454299149120468,0.004749947021535666,0.0074952318918982104,0.017538607118808502,0.8163114997242938,0.21271716625342119,4.333333333333333,1.8090772258886187e-05
2880,6,12,0.7590595871712722,0.01971757884981105,0.005691974728353042,0.0074952318918982104,0.017538607118808502,0.7590615405066862,0.21271716625342119,4.333333333333333,1.0854463355331713e-06
