r,epsilon,runs,atlas_score_mean,atlas_score_std,motif_even_mean,motif_odd_mean,frame_even_mean,parity_mean,smooth_mean,resonance_mean,wall_entropy_mean,cluster_lifetime_mean
3.865,0.1345,4,0.0,0.0,0.8059796874832157,1.1142721669037459e-05,0.9430220376062111,0.8059685447615466,2.1665407817520327e-82,0.711191724941725,0.21759564886086966,0.0
3.865,0.137,4,0.044622043521505485,0.034888905111283404,0.6170226076846541,0.0004881925222175259,0.8785332808992083,0.6165344151624366,0.17065208352582628,0.6694375624375624,0.5845432422595653,8.0
3.8675,0.122,4,0.018265918626612598,0.006707426049881669,0.7352127859539654,2.7248973497573722e-05,0.926661805096785,0.7351855369804678,2.176466396531433e-12,0.6831246357808858,0.4862522285972045,3.0
3.8675,0.1245,4,0.025384346892879463,0.008127368103509159,0.6682897324449744,0.0007500927621141223,0.8961572609178455,0.6675396396828603,4.705182031152236e-18,0.6706322843822844,0.6088473768025426,4.0
3.8675,0.127,4,0.0,0.0,0.7337449353401974,0.0,0.9078249297745266,0.7337449353401974,6.10614252696919e-78,0.7514737950221821,0.47217428867590977,0.0
3.8675,0.1295,4,0.016403966988560198,0.002841388023689834,0.6797658161730743,0.00020152893864264226,0.8895795201102661,0.6795642872344316,2.5428765195444828e-80,0.7579299665388375,0.4216713034705769,2.5
3.8675,0.132,4,0.0,0.0,0.8245852902138184,1.184865147944488e-05,0.9425069080784807,0.8245734415623389,2.6626002589846927e-14,0.679705710955711,0.33205315484179576,0.0
3.8675,0.1345,4,0.0,0.0,0.799043953274548,2.9671073523758585e-05,0.9344938789369233,0.7990142822010242,1.7230711704422148e-36,0.6582692307692307,0.7806660412391796,0.0
3.8675,0.137,4,0.0,0.0,0.7472752617845864,0.0005981339556868964,0.9262067975707089,0.7466771278288994,2.7365083032566057e-07,0.6245410839160839,0.7596852255240969,0.0
3.87,0.122,4,0.011429214925756083,0.003308941859021945,0.6459025257336749,0.0,0.8948522408371199,0.6459025257336749,3.132626482530274e-110,0.7524723193473193,0.44732052419574214,2.0
3.87,0.1245,4,0.0169616888188253,0.0036594285921060558,0.630552807743332,0.00010382279791114675,0.8859099923933593,0.6304489849454208,1.60698899387305e-88,0.7777076048951048,0.366229764289017,3.0
3.87,0.127,4,0.0,0.0,0.7932668641842029,2.0620581304006283e-05,0.9344179392516085,0.7932462436028989,5.37638376822342e-14,0.6991647241647242,0.37899111972936717,0.0
3.87,0.1295,4,0.0054619494444158555,0.0007878531033947455,0.7596160595956463,0.0,0.9212634685542952,0.7596160595956463,1.1282406891009673e-117,0.7591244172494171,0.13776516587880916,1.0
3.87,0.132,4,0.0,0.0,0.7681539122839526,1.1142721669037459e-05,0.9176074852566787,0.7681427695622836,1.6148874015974082e-86,0.7426165501165501,0.2678204743376471,0.0
3.87,0.1345,4,0.010092460547662092,0.013597647413221111,0.6373627243052646,0.005492287117556627,0.8635113235219082,0.631870437187708,1.1071621158230497e-52,0.7260060839257219,0.7145988827174903,2.5
3.87,0.137,4,0.034057607549706784,0.039348195768031384,0.7665017935693339,0.00030395385524415624,0.9345703854277443,0.7661978397140898,0.0011234391796118663,0.6304157549439807,0.5240834487505825,5.0
3.8725,0.122,4,0.021960097265928628,0.0039043163745449165,0.7429601061740678,0.0005051869447291553,0.9287004954051326,0.7424549192293387,9.20253391825556e-23,0.6478590629800307,0.7048348130727466,3.5
3.8725,0.1245,4,0.0,0.0,0.8261404557304255,2.6119402985074623e-05,0.9492093932613086,0.8261143363274404,2.6059202483903397e-13,0.6420033931122641,0.3663400982387459,0.0
3.8725,0.127,4,0.017470142099288415,0.004275714870608282,0.630433496610916,9.850838788178962e-05,0.8838560157920037,0.6303349882230341,1.0822083464496767e-107,0.7771222393198199,0.41477295299527395,3.0
3.8725,0.1295,4,0.011113571188685238,0.00288560155006002,0.6390191679959825,0.0,0.8705246014066579,0.6390191679959825,5.28465226056079e-192,0.8350690161652863,0.23382900444633492,2.0
3.8725,0.132,4,0.005716803784571893,0.0006560203353594481,0.6833358348640607,0.00028204189882918303,0.8867577670984929,0.6830537929652315,3.313555697152131e-141,0.7956995826753892,0.1302850887468387,1.0
3.8725,0.1345,4,0.07218442781562591,0.08017110411189055,0.6507679505474364,0.002186483503442939,0.8756828529333569,0.6485814670439936,0.00021552140231682716,0.7233141307617115,0.5153994996587679,29.0
3.8725,0.137,4,0.0,0.0,0.8077115255376344,0.0002139183943349008,0.9396027984112661,0.8074976071432995,7.109898605172829e-12,0.6504166666666666,0.6813188699796294,0.0
3.875,0.122,4,0.014154377030793492,0.010605031108729417,0.5377726733951532,0.0013209649371254558,0.8559972146469123,0.5364517084580278,0.00025089043830467855,0.5517556125701057,0.559502757581018,7.5
3.875,0.1245,4,0.024523352442139393,0.015552573677211494,0.6455320635345837,0.0014372656489284993,0.8931263531495386,0.6440947978856552,0.00247866667917581,0.6648118964368964,0.6406808282767363,4.5
3.875,0.127,4,0.019917772152985312,0.008164962176604765,0.724885069903215,0.0,0.916652274304996,0.724885069903215,4.3369916746584406e-94,0.7441348033686743,0.44213152496270214,3.0
3.875,0.1295,4,0.0017193768889036277,0.0022082054560376395,0.6461459419276959,0.00010369089903528573,0.8828223594282063,0.6460422510286606,5.115155912274604e-116,0.7701538045288046,0.2669673232514335,0.5
3.875,0.132,4,0.006032596707249014,0.007430676087031194,0.7435097263287789,0.00024680278128741303,0.9160224036715972,0.7432629235474915,2.7447775214253294e-16,0.7220023726273725,0.5661309223689639,1.0
3.875,0.1345,4,0.023409630899987238,0.03581352274780661,0.572738409188258,0.0003081532670040299,0.8498775292248074,0.572430255921254,2.460302862001082e-128,0.7349944950351073,0.47946463530938466,65.5
3.875,0.137,4,0.0,0.0,0.7893939145531887,8.11730819586279e-06,0.9298383538504507,0.7893857972449929,9.826343699559573e-09,0.6971620046620046,0.5049716202120267,0.0
