r,epsilon,long_memory_score,motif_100,motif_150,comp_100,comp_150,wall_period,wall_period_power,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.55,0.08333333333333333,0.0,1.0,0.5107142857142858,0.0,0.0,3.4285714285714284,0.884126984126984,0.041518219863323214,0.00708382526564347,0.19236032406633266,3.0,2.0
3.6,0.08333333333333333,5.550491457766422e-07,0.801952380952381,0.5981753246753246,5.9523809523809525e-06,0.0002662337662337662,2.2857142857142856,0.6869372471614458,0.24664065096984464,0.006604175020558932,0.34511501907271375,694.0,2.0
3.65,0.08333333333333333,6.889518453864387e-09,0.7059107142857143,0.3617077922077922,2.976190476190476e-05,1.9480519480519476e-05,2.5714285714285716,0.7430659583177108,0.28297262618066316,0.01800652868637616,0.9581893944554888,698.0,2.2857142857142856
3.7,0.08333333333333333,2.0416506014791483e-07,0.4882083333333333,0.31687662337662337,0.00011904761904761903,9.740259740259739e-05,52.095965103598694,0.328193886857861,0.6543793653259016,0.02691696721587641,0.546931141275102,594.0,2.3816793893129775
3.85,0.16666666666666666,0.0,0.7187976190476191,0.45775974025974026,0.0,0.0,2.5714285714285716,0.56861876623771,0.405399884422475,0.026640447331477832,3.8041466500789056,42.0,2.5714285714285716
3.9,0.16666666666666666,0.0,0.4211547619047619,0.39416233766233766,0.0,0.0,2.8775795526818584,0.24887746993373022,0.7411703123156815,0.0029818669478525366,2.524305010678401,28.0,102.31260780126944
3.95,0.16666666666666666,0.0,0.9242321428571428,0.216,0.0,0.0,2.0,0.6025222228208067,0.37120955540086625,0.054487172095864546,0.24977018120659697,11.0,2.0688956433637284
4.0,0.14,0.0,0.739827380952381,0.7223636363636363,0.0,0.0,560.0,0.2956662046492068,0.3933108233734893,0.4547330672980654,0.0749166933452439,13.0,560.0
4.0,0.16666666666666666,0.0,0.6961369047619047,0.3349220779220779,0.0,0.0,201.42939009414653,0.34833142072860485,0.47093112226949,0.1293018695729011,0.22816530155629847,18.0,2.286532951289398
4.0,0.18,0.0,0.5812321428571429,0.06107792207792208,0.0,0.0,102.30946064088376,0.24858446637256962,0.6499700557078072,0.031194525234248222,1.2214378262584886,695.0,202.00081866557508
