r,epsilon,long_memory_score,smooth_even_score,resonant_even_score,odd_even_motif_index,even_decay_index,motif_25,motif_50,motif_75,motif_100,motif_125,motif_150,motif_175,motif_200,motif_225,motif_250,motif_260,comp_25,comp_50,comp_75,comp_100,comp_125,comp_150,comp_175,comp_200,comp_225,comp_250,comp_260,frame_25,frame_50,frame_75,frame_100,frame_125,frame_150,frame_175,frame_200,frame_225,frame_250,frame_260,wall_period,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period,frame_even_mean,motif_even_mean,motif_odd_mean,comp_even_mean,parity_index,smooth_index,resonance_index,class,atlas_score
3.845,0.12,5.906433566049043e-06,0.0,5.906433566049043e-06,0.5423528205128205,0.0,3.3333333333333335e-05,0.423375,1.923076923076923e-05,0.8157083333333334,0.0,0.384275,0.0,0.736125,0.0,0.3523333333333333,0.7164285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18265,0.8209821428571429,0.1886538461538461,0.9565208333333334,0.1979318181818181,0.8034,0.2094166666666666,0.93028125,0.2141071428571428,0.7886666666666666,0.925,301.0,0.5030171774873922,-0.0657001269987075,0.2088712332098831,60.0,3.0,0.8599701785714287,0.5423633333333333,1.0512820512820513e-05,0.0,0.5423528205128205,1.2812910428816996e-160,0.8089166666666667,resonant phase-memory,0.0401172197181855
3.845,0.1253,4.986625858067335e-06,0.0,4.986625858067335e-06,0.5991472433122433,0.0,0.0,0.47075,1.923076923076923e-05,0.8063333333333333,2.272727272727273e-05,0.4695499999999999,2.777777777777778e-05,0.779625,3.571428571428572e-05,0.4695833333333333,0.7686160714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719833333333333,0.8375,0.1740576923076923,0.9570416666666668,0.1752272727272727,0.8384,0.1762777777777777,0.94896875,0.1775714285714285,0.8385,0.9458928571428572,52.0,0.5669105106361872,-0.0107554602509092,0.2021632496954533,98.0,2.99009900990099,0.8840820833333334,0.5991683333333333,2.1090021090021093e-05,0.0,0.5991472433122432,1.0629442056745703e-119,0.7245222222222223,resonant phase-memory,0.03607453907147309
3.845,0.1307,4.2200107643263e-06,0.0,4.2200107643263e-06,0.5883253977966478,0.0,0.0002666666666666,0.4753214285714285,0.0001538461538461,0.7802916666666667,4.545454545454545e-05,0.476525,0.0001388888888888,0.74034375,0.0,0.46975,0.7008928571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1652333333333333,0.8456428571428571,0.1658076923076923,0.9491458333333334,0.1664545454545454,0.8501,0.1668055555555555,0.94084375,0.16925,0.8508333333333333,0.930625,103.0,0.719616336040897,-0.0097412364043663,0.2046767875452639,180.0,2.99009900990099,0.8873131547619048,0.588446369047619,0.00012097125097120911,0.0,0.5883253977966478,1.2906251398008523e-92,0.7070277777777778,resonant phase-memory,0.04076195301173005
3.845,0.136,2.8958723379112355e-06,6.016993554889736e-07,2.2941729824222616e-06,0.5476207292707292,0.0278979642857142,0.0009,0.4948571428571428,0.0002307692307692,0.6065625,0.0002727272727272,0.50515,0.00025,0.6376875,0.0005,0.496,0.6016964285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1483499999999999,0.8748392857142857,0.1484230769230769,0.9022916666666668,0.1492954545454545,0.8792249999999999,0.1500277777777777,0.91025,0.1511071428571428,0.8755416666666667,0.9008928571428572,3.0,0.7998388105152631,-0.0031854582712826,0.1915413751686419,51.0,2.5,0.8884295238095238,0.5480514285714285,0.00043069930069928,0.0,0.5476207292707292,3.986606063992896e-16,0.5502952380952382,resonant phase-memory,0.03193558173277109
3.855,0.103,6.958683763136668e-06,1.8276679308942049e-06,5.131015832242464e-06,0.4045301492951493,0.0686346309523809,0.00015,0.4496785714285713,0.000576923076923,0.4196249999999999,0.0007727272727272,0.4137,0.0009722222222222,0.382625,0.0012142857142857,0.3607083333333333,0.3695982142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629166666666666,0.8674821428571429,0.1764423076923076,0.8512083333333333,0.1872954545454545,0.840875,0.1998888888888889,0.82675,0.2085,0.8155416666666666,0.8158928571428572,201.89577717879604,0.8434388766005888,-0.0235845218542131,0.1774535541201868,17.0,102.352487135506,0.8403714285714287,0.4052673809523809,0.00073723165723162,0.0,0.4045301492951493,0.3742352144977757,0.3955273834210967,resonant phase-memory,0.012324238846148711
3.855,0.1083,1.4037837921153728e-05,5.839815782684272e-06,8.198022138469455e-06,0.4940407022144522,0.0879109523809523,0.00035,0.5400892857142857,0.0004807692307692,0.5110208333333334,0.0013636363636363,0.489575,0.0009166666666666,0.47096875,0.0007142857142857,0.462375,0.4514732142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1504166666666666,0.8829464285714286,0.1640961538461538,0.8677291666666667,0.1771363636363636,0.8548749999999999,0.1832777777777778,0.8483125,0.1898571428571428,0.8417083333333333,0.8383482142857143,250.5,0.8272387234741146,-0.0176914115824554,0.1687732596409692,17.0,101.5,0.8591142857142857,0.49480577380952384,0.0007650715950715599,0.0,0.4940407022144523,0.6025307429006966,0.46784523809523815,smooth even-lag motif memory,0.010214508424149662
3.855,0.1137,8.07226019435905e-06,0.0,8.07226019435905e-06,0.4122773534798535,0.0,0.0003,0.3548214285714285,0.000826923076923,0.569125,0.001,0.32685,0.0014166666666666,0.5085625,0.0026785714285714,0.30825,0.4629464285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881499999999999,0.8274821428571428,0.1991346153846153,0.8889583333333333,0.2143181818181818,0.803975,0.2239166666666666,0.8554375000000001,0.2353214285714285,0.7882916666666666,0.8356696428571428,102.00251256281408,0.788407447471766,-0.0208604047463295,0.2069081365216925,13.0,102.00251256281408,0.8328289285714285,0.4135217857142857,0.0012444322344322,0.0,0.4122773534798535,2.8860529533535e-44,0.5308788309108088,resonant phase-memory,0.012753011966078177
3.855,0.119,1.1988963819631258e-06,0.0,1.1988963819631258e-06,0.5793770995670995,0.0,0.0,0.4699642857142857,0.0,0.7858333333333334,4.545454545454545e-05,0.460675,8.333333333333333e-05,0.72,0.0,0.4605416666666666,0.7617857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1510333333333333,0.8517857142857143,0.1523846153846154,0.9567916666666668,0.1542727272727272,0.851925,0.1537777777777778,0.94253125,0.1547857142857142,0.8534583333333333,0.9490625,2.0,0.6013583017287174,-0.0005389817032344,0.1704498442959824,25.0,2.171140939597316,0.8912983928571429,0.5794028571428571,2.5757575757575755e-05,0.0,0.5793770995670995,3.097781245605247e-95,0.7168611111111112,resonant phase-memory,0.02422988568030745
3.855,0.12,9.538289135852509e-07,0.0,9.538289135852509e-07,0.5986128904428905,0.0,0.0,0.464375,9.615384615384615e-05,0.8496458333333333,2.272727272727273e-05,0.451725,0.0,0.7858125,0.0,0.441625,0.79125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1536666666666666,0.8483928571428572,0.1552692307692307,0.9693958333333332,0.1557045454545454,0.84795,0.1565555555555555,0.95646875,0.1597142857142857,0.84575,0.9549553571428572,2.0,0.4840171452844396,-0.0189719395722724,0.1625592848475422,14.0,2.0,0.893591488095238,0.5986366666666667,2.377622377622378e-05,0.0,0.5986128904428905,5.031194890852847e-150,0.7720138888888888,resonant phase-memory,0.012471208545760287
3.855,0.1253,3.518660254830929e-05,0.0,3.518660254830929e-05,0.7077667261904762,0.0,0.0,0.5784107142857142,0.0,0.9230208333333334,0.0,0.57285,0.0,0.90321875,0.0,0.5613333333333334,0.8780357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1408666666666666,0.8613035714285714,0.1422115384615384,0.982375,0.14275,0.8595,0.1437777777777777,0.97771875,0.1451428571428571,0.8570833333333333,0.971875,201.5,0.3986057463522988,-0.0259626129655287,0.1520558248603085,28.0,201.0,0.907596130952381,0.7077667261904762,0.0,0.0,0.7077667261904762,5.420987580008941e-131,0.741125,resonant phase-memory,0.02127267475964608
