r,epsilon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,comp_odd,parity,smooth,resonance,wall_spectral_entropy,max_cluster_lifetime,atlas_score,class,motif_25,frame_25,comp_25,motif_50,frame_50,comp_50,motif_75,frame_75,comp_75,motif_100,frame_100,comp_100,motif_125,frame_125,comp_125,motif_150,frame_150,comp_150,motif_175,frame_175,comp_175,motif_200,frame_200,comp_200,motif_225,frame_225,comp_225,motif_250,frame_250,comp_250
3.855,0.122,101,4,0.8917340633157165,0.16593420312726356,0.688661430974939,0.00027660026190888114,0.0,0.46634511998585804,0.6883848307130301,2.038006783073256e-93,0.7089950372208438,0.6644436201739027,3,0.02334360284826318,resonant phase-memory,7.462686567164179e-05,0.1653731343283582,0.46738805970149255,0.5626612903225806,0.8405645161290323,0.0,0.0005263157894736842,0.16710526315789473,0.46596491228070175,0.8761538461538462,0.9641346153846154,0.0,0.00010638297872340425,0.16670212765957446,0.46202127659574466,0.5797619047619048,0.8489285714285715,0.0,0.0006756756756756757,0.16567567567567568,0.46635135135135136,0.83609375,0.95140625,0.0,0.0,0.1648148148148148,0.47,0.5886363636363636,0.8536363636363636,0.0
3.855,0.122,101,6,0.8917340633157165,0.16593420312726356,0.5862400509436799,0.0,0.0,0.3154804343378327,0.5862400509436799,2.3661654152734604e-148,0.7612923904052935,0.6644436201739027,3,0.015689357916371705,resonant phase-memory,0.0,0.1653731343283582,0.31708955223880597,0.4325806451612903,0.8405645161290323,0.0,0.0,0.16710526315789473,0.3154385964912281,0.8245192307692307,0.9641346153846154,0.0,0.0,0.16670212765957446,0.31159574468085105,0.4483333333333333,0.8489285714285715,0.0,0.0,0.16567567567567568,0.31364864864864866,0.7703125,0.95140625,0.0,0.0,0.1648148148148148,0.31962962962962965,0.45545454545454545,0.8536363636363636,0.0
3.855,0.122,707,4,0.9333418161139935,0.10382538924410196,0.823977902809556,0.0,0.0,0.6281065857186097,0.823977902809556,6.223923983872741e-56,0.6585547785547785,0.5176336222258224,0,0.0,resonant phase-memory,0.0,0.10380597014925373,0.6271641791044776,0.7355645161290323,0.8960483870967741,0.0,0.0,0.10394736842105264,0.6244736842105263,0.9719230769230769,0.9929807692307693,0.0,0.0,0.10393617021276595,0.6296808510638298,0.7344047619047619,0.8958333333333334,0.0,0.0,0.10391891891891891,0.6266216216216216,0.94390625,0.9859375,0.0,0.0,0.10351851851851852,0.6325925925925926,0.7340909090909091,0.8959090909090909,0.0
3.855,0.122,707,6,0.9333418161139935,0.10382538924410196,0.7654147206959706,0.0,0.0,0.49584851820448755,0.7654147206959706,2.8169478927896016e-93,0.7052564102564103,0.5176336222258224,0,0.0,resonant phase-memory,0.0,0.10380597014925373,0.49507462686567166,0.6525,0.8960483870967741,0.0,0.0,0.10394736842105264,0.4921052631578947,0.9578846153846153,0.9929807692307693,0.0,0.0,0.10393617021276595,0.4975531914893617,0.6505952380952381,0.8958333333333334,0.0,0.0,0.10391891891891891,0.4943243243243243,0.91609375,0.9859375,0.0,0.0,0.10351851851851852,0.5001851851851852,0.65,0.8959090909090909,0.0
3.855,0.1245,101,4,0.9013066771937739,0.16254206958876777,0.7813840192065997,0.0,0.0,0.45213789546261,0.7813840192065997,5.92328979791329e-135,0.7298221670802316,0.28692515767359394,0,0.0,resonant phase-memory,0.0,0.1626865671641791,0.4512686567164179,0.6441129032258065,0.8369354838709677,0.0,0.0,0.16289473684210526,0.4506140350877193,0.9888461538461538,0.9972115384615384,0.0,0.0,0.1626595744680851,0.45191489361702125,0.6446428571428572,0.8375,0.0,0.0,0.16243243243243244,0.4518918918918919,0.985,0.99625,0.0,0.0,0.16203703703703703,0.455,0.6443181818181818,0.8386363636363636,0.0
3.855,0.1245,101,6,0.9013066771937739,0.16254206958876777,0.7187686345912152,0.0,0.0,0.31050618805866087,0.7187686345912152,4.007963197731828e-221,0.7927708850289497,0.28692515767359394,0,0.0,resonant phase-memory,0.0,0.1626865671641791,0.30977611940298505,0.5441129032258064,0.8369354838709677,0.0,0.0,0.16289473684210526,0.308859649122807,0.9832692307692308,0.9972115384615384,0.0,0.0,0.1626595744680851,0.3101063829787234,0.5446428571428571,0.8375,0.0,0.0,0.16243243243243244,0.31027027027027027,0.9775,0.99625,0.0,0.0,0.16203703703703703,0.31351851851851853,0.5443181818181818,0.8386363636363636,0.0
3.855,0.1245,707,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory,0.0,0.1,0.6,0.75,0.9,0.0,0.0,0.1,0.6,1.0,1.0,0.0,0.0,0.1,0.6,0.75,0.9,0.0,0.0,0.1,0.6,1.0,1.0,0.0,0.0,0.1,0.6,0.75,0.9,0.0
3.855,0.1245,707,6,0.9400000000000001,0.1,0.805,0.0,0.0,0.42502866811923995,0.805,3.837465853151656e-121,0.7166666666666666,0.0,0,0.0,resonant phase-memory,0.0,0.1,0.42507462686567166,0.675,0.9,0.0,0.0,0.1,0.4249122807017544,1.0,1.0,0.0,0.0,0.1,0.4251063829787234,0.675,0.9,0.0,0.0,0.1,0.42486486486486486,1.0,1.0,0.0,0.0,0.1,0.42518518518518517,0.675,0.9,0.0
3.855,0.127,101,4,0.9080361758537162,0.12312498783485396,0.733923128954379,0.0007675822937309458,1.6129032258064517e-05,0.5871371081599559,0.733155546660648,2.0774794730284016e-16,0.6053962703962705,0.615277744907858,32,0.16821217863191748,resonant phase-memory,0.0013432835820895521,0.11380597014925373,0.6153731343283582,0.7,0.8958064516129032,8.064516129032258e-05,0.0013157894736842105,0.12026315789473684,0.5954385964912281,0.8267307692307693,0.9450961538461539,0.0,0.0006382978723404255,0.1270212765957447,0.5757446808510638,0.6769047619047619,0.8863095238095238,0.0,0.0005405405405405405,0.12675675675675677,0.5763513513513514,0.79734375,0.93296875,0.0,0.0,0.12777777777777777,0.5727777777777778,0.6686363636363636,0.88,0.0
3.855,0.127,101,6,0.9080361758537162,0.12312498783485396,0.6258847580510887,0.0,0.0,0.40688838730927274,0.6258847580510887,1.7446698536786618e-33,0.6466200466200467,0.615277744907858,32,0.1362039685306928,resonant phase-memory,0.0,0.11380597014925373,0.4463432835820896,0.5766129032258065,0.8958064516129032,0.0,0.0,0.12026315789473684,0.4185964912280702,0.7553846153846154,0.9450961538461539,0.0,0.0,0.1270212765957447,0.39063829787234045,0.5461904761904762,0.8863095238095238,0.0,0.0,0.12675675675675677,0.39256756756756755,0.71578125,0.93296875,0.0,0.0,0.12777777777777777,0.3862962962962963,0.5354545454545454,0.88,0.0
