seed,motif_size,local_parity,rewired_parity,parity_drop,local_score,rewired_score,score_drop
17,4,0.8017527987439769,0.731875,0.06987779874397682,0.0045112555856234,0.0020342388563592,0.0024770167292642
17,6,0.7421257380592235,0.6465625,0.09556323805922351,0.0045112555856234,0.0017618560645512,0.0027493995210722
42,4,0.8137420389681137,0.7333313573398808,0.08041068162823295,0.0020804435101004,0.0040169978383783,-0.0019365543282779006
42,6,0.7544468376642277,0.6482796889218405,0.1061671487423872,0.0020804435101004,0.0035088647082112,-0.0014284211981108004
73,4,0.8161229944909958,0.7315889051365314,0.08453408935446438,0.0,0.0019615672853418,-0.0019615672853418
73,6,0.7550035757716447,0.6481716544608662,0.10683192131077845,0.0,0.0017125219234757,-0.0017125219234757
101,4,0.8191696270718911,0.6995313367925927,0.1196382902792984,0.002147834555824,0.0111467528482499,-0.008998918292425901
101,6,0.7661365563897397,0.6120091988197743,0.15412735756996532,0.002147834555824,0.0080749396331332,-0.0059271050773092
137,4,0.8237760612855478,0.7433131502429742,0.08046291104257364,0.002069528479933,0.0038230741447514,-0.0017535456648184
137,6,0.769505230252492,0.662952271484144,0.10655295876834792,0.002069528479933,0.0034858450661544,-0.0014163165862214
173,4,0.7928125,0.7436344979574776,0.04917800204252243,0.0041459920082731,0.0166701382499732,-0.012524146241700099
173,6,0.7309374999999999,0.6566650037395473,0.07427249626045263,0.0041459920082731,0.0149501373482498,-0.010804145339976699
211,4,0.7945416110903947,0.7192969702100799,0.0752446408803148,0.0689084136301027,0.006437494002209,0.062470919627893695
211,6,0.7305889076074068,0.6296441520719507,0.10094475553545612,0.0689084136301027,0.0051167029775337,0.063791710652569
257,4,0.804157723284606,0.7531683842082642,0.050989339076341844,0.0023001009328454,0.0262506563337739,-0.0239505554009285
257,6,0.7443844346103229,0.6723492341770405,0.07203520043328238,0.0023001009328454,0.0245224402600021,-0.022222339327156698
307,4,0.8421745698493672,0.746077153050345,0.09609741679902217,0.0021421132170057,0.0062799471057546,-0.0041378338887489
307,6,0.7882352819039562,0.6547614935705004,0.1334737883334558,0.0021421132170057,0.0056035294211817,-0.003461416204176
359,4,0.790000405205561,0.7358954534651807,0.054104951740380325,0.0021479996708536,0.0061136110598802,-0.0039656113890266
359,6,0.7282042246835548,0.6530266532274019,0.07517757145615289,0.0021479996708536,0.0054298568400027,-0.0032818571691490997
401,4,0.8288155570694437,0.7079332770687766,0.12088228000066703,0.0,0.0065960622887249,-0.0065960622887249
401,6,0.7729723191138285,0.613399795625629,0.1595725234881995,0.0,0.0048101490165476,-0.0048101490165476
457,4,0.8319121093780035,0.7948250616962834,0.03708704768172011,0.0066308972322035,0.0057692852204849,0.0008616120117185995
457,6,0.7787375215637493,0.7144478747842937,0.06428964677945559,0.0066308972322035,0.0057692852204849,0.0008616120117185995
