topology,motif_size,runs,parity_mean,parity_sd,score_mean,score_sd,motif_even_mean,wall_entropy_mean,cluster_lifetime_mean
local,4,12,0.8132481663698251,0.01679995064124637,0.008090381568563766,0.0192404523175954,0.8133072720757989,0.27264854051148024,4.333333333333333
local,6,12,0.7551065106350121,0.020219271566652864,0.008090381568563766,0.0192404523175954,0.755110623443485,0.27264854051148024,4.333333333333333
rewired,4,12,0.8132481663698251,0.01679995064124637,0.008090381568563766,0.0192404523175954,0.8133072720757989,0.27264854051148024,4.333333333333333
rewired,6,12,0.7551065106350121,0.020219271566652864,0.008090381568563766,0.0192404523175954,0.755110623443485,0.27264854051148024,4.333333333333333
