r,epsilon,n,horizon,seed,sigma,motif_size,partition,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,17,0.0,4,fixed_half,0.5,0.8018934165028446,0.00014061775886781047,1.1534525431143846e-05,0.8017527987439769
3.8625,0.132,320,1440,17,0.0,4,median,0.729271411895752,0.9935411045648899,0.0,2.248201438848921e-06,0.9935411045648899
3.8625,0.132,320,1440,17,0.0,6,fixed_half,0.5,0.7421347338719682,8.995812744577169e-06,0.0,0.7421257380592235
3.8625,0.132,320,1440,17,0.0,6,median,0.729271411895752,0.9910104768748204,0.0,0.0,0.9910104768748204
3.8625,0.132,320,1440,42,0.0,4,fixed_half,0.5,0.8137424806642268,4.41696113074205e-07,0.0,0.8137420389681137
3.8625,0.132,320,1440,42,0.0,4,median,0.7262175679206848,0.9995893643637255,0.0,0.0,0.9995893643637255
3.8625,0.132,320,1440,42,0.0,6,fixed_half,0.5,0.7544468376642277,0.0,0.0,0.7544468376642277
3.8625,0.132,320,1440,42,0.0,6,median,0.7262175679206848,0.9994095594105639,0.0,0.0,0.9994095594105639
3.8625,0.132,320,1440,73,0.0,4,fixed_half,0.5,0.8162072577689777,8.426327798199595e-05,2.1083854863418492e-05,0.8161229944909958
3.8625,0.132,320,1440,73,0.0,4,median,0.721723735332489,0.9914543932020244,2.954612476285305e-05,2.5385803006775533e-05,0.9914248470772616
3.8625,0.132,320,1440,73,0.0,6,fixed_half,0.5,0.7550044753432156,8.995715709496629e-07,0.0,0.7550035757716447
3.8625,0.132,320,1440,73,0.0,6,median,0.721723735332489,0.987908270301024,0.0,0.0,0.987908270301024
3.8625,0.132,320,1440,101,0.0,4,fixed_half,0.5,0.8191789102321885,9.283160297358377e-06,0.0,0.8191696270718911
3.8625,0.132,320,1440,101,0.0,4,median,0.7247265577316284,0.9975451510656587,0.0,0.0,0.9975451510656587
3.8625,0.132,320,1440,101,0.0,6,fixed_half,0.5,0.7661369980858528,4.41696113074205e-07,0.0,0.7661365563897397
3.8625,0.132,320,1440,101,0.0,6,median,0.7247265577316284,0.9964832616671261,0.0,0.0,0.9964832616671261
3.8625,0.132,320,1440,137,0.0,4,fixed_half,0.5,0.8239616504246143,0.00018558913906655748,6.526139018476659e-05,0.8237760612855478
3.8625,0.132,320,1440,137,0.0,4,median,0.7279782295227051,0.9945498742847505,9.218565625084552e-05,0.00010440606400546671,0.9944576886284997
3.8625,0.132,320,1440,137,0.0,6,fixed_half,0.5,0.7695355011253768,3.0270872884903518e-05,7.306167615718027e-06,0.769505230252492
3.8625,0.132,320,1440,137,0.0,6,median,0.7279782295227051,0.9929541486918616,9.708175337021243e-06,1.2148983321733414e-05,0.9929444405165245
