r,epsilon,n,horizon,seed,motif_size,topology,motif_even,motif_odd,comp_even,parity
3.8625,0.132,640,2880,211,4,local,0.8157583101869743,4.249789238403868e-05,4.491544759487971e-06,0.8157158122945902
3.8625,0.132,640,2880,211,4,rewired,0.7575343907069427,8.053009306703041e-06,0.0,0.757526337697636
3.8625,0.132,640,2880,211,6,local,0.7607073473056293,1.9648866911864884e-06,0.0,0.760705382418938
3.8625,0.132,640,2880,211,6,rewired,0.6746620333626392,0.0,0.0,0.6746620333626392
3.8625,0.132,640,2880,257,4,local,0.8121425715073378,4.520148992827583e-05,2.974144833862404e-06,0.8120973700174096
3.8625,0.132,640,2880,257,4,rewired,0.7293239317211585,0.00010668034921998148,9.326722803702542e-05,0.7292172513719385
3.8625,0.132,640,2880,257,6,local,0.7554920225946592,2.0203036749112177e-06,0.0,0.7554900022909843
3.8625,0.132,640,2880,257,6,rewired,0.6382050532817418,0.0,0.0,0.6382050532817418
3.8625,0.132,960,2880,17,4,local,0.8048545691328943,4.205191453518825e-05,8.154328509287207e-06,0.8048125172183591
3.8625,0.132,960,2880,17,4,rewired,0.7336283421732391,1.042278969611916e-05,0.0,0.733617919383543
3.8625,0.132,960,2880,17,6,local,0.7460235615970685,2.6192336527576684e-06,3.8166530905175803e-07,0.7460209423634158
3.8625,0.132,960,2880,17,6,rewired,0.6434368699615155,0.0,0.0,0.6434368699615155
3.8625,0.132,960,2880,42,4,local,0.8273484150737318,1.475419704854205e-06,0.0,0.827346939654027
3.8625,0.132,960,2880,42,4,rewired,0.7493315347637266,0.0005227591702026239,2.209517150769888e-06,0.748808775593524
3.8625,0.132,960,2880,42,6,local,0.7712333972352843,0.0,0.0,0.7712333972352843
3.8625,0.132,960,2880,42,6,rewired,0.664508315015735,0.0,0.0,0.664508315015735
3.8625,0.132,960,2880,73,4,local,0.801652980896056,1.3971943861152743e-05,3.338484036577172e-06,0.8016390089521949
