r,epsilon,n,horizon,seed,sigma,motif_size,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,101,0.003,6,0.7135265480457245,4.41696113074205e-07,0.0,0.7135261063496113
3.8625,0.132,320,1440,137,0.003,4,0.7962038134570251,0.000182397899378257,6.481615010028794e-05,0.7960214155576468
3.8625,0.132,320,1440,137,0.003,6,0.7306108780289303,3.1237622571910094e-05,7.306167615718027e-06,0.7305796404063584
3.8625,0.132,320,1440,173,0.003,4,0.7641617979060371,0.0,0.0,0.7641617979060371
3.8625,0.132,320,1440,173,0.003,6,0.6911689709577965,0.0,0.0,0.6911689709577965
3.8625,0.132,320,1440,211,0.003,4,0.7634503164042001,0.00010749896137894868,1.7221770770254923e-05,0.7633428174428212
3.8625,0.132,320,1440,211,0.003,6,0.6886233071076293,4.888992049404238e-06,0.0,0.6886184181155799
3.8625,0.132,320,1440,257,0.003,4,0.7768523516318977,8.180603041034176e-05,9.833855163657913e-06,0.7767705456014874
3.8625,0.132,320,1440,257,0.003,6,0.7071160429830794,1.7991431418993258e-06,0.0,0.7071142438399375
3.8625,0.132,320,1440,307,0.003,4,0.8089700499566442,2.715410230886511e-05,4.278349582429431e-06,0.8089428958543353
3.8625,0.132,320,1440,307,0.003,6,0.7414552577330322,0.0,0.0,0.7414552577330322
3.8625,0.132,320,1440,359,0.003,4,0.7531066266767875,4.4784396844222296e-05,1.7671568387569698e-05,0.7530618422799433
3.8625,0.132,320,1440,359,0.003,6,0.6773596270750928,0.0,0.0,0.6773596270750928
3.8625,0.132,320,1440,401,0.003,4,0.7937913895818313,1.0099374407449872e-05,0.0,0.7937812902074238
3.8625,0.132,320,1440,401,0.003,6,0.7235027267970686,0.0,0.0,0.7235027267970686
3.8625,0.132,320,1440,457,0.003,4,0.7937789032959133,1.7561974942036204e-05,1.9801563765768983e-06,0.7937613413209712
3.8625,0.132,320,1440,457,0.003,6,0.7264306833900704,4.578754578754579e-07,0.0,0.7264302255146126
3.8625,0.132,320,1440,17,0.01,4,0.7008783835948235,0.00015136956871509948,1.1475733257557992e-05,0.7007270140261084
3.8625,0.132,320,1440,17,0.01,6,0.6016306919565173,7.368500749995925e-06,0.0,0.6016233234557673
3.8625,0.132,320,1440,42,0.01,4,0.7122760217763128,4.41696113074205e-07,0.0,0.7122755800801996
3.8625,0.132,320,1440,42,0.01,6,0.6111570507079518,0.0,0.0,0.6111570507079518
3.8625,0.132,320,1440,73,0.01,4,0.71610977229504,9.863902154788198e-05,2.2968905309698054e-05,0.7160111332734922
3.8625,0.132,320,1440,73,0.01,6,0.6160264607093177,9.69356317347721e-07,0.0,0.6160254913530003
3.8625,0.132,320,1440,101,0.01,4,0.7093996181246699,1.1647705502694432e-05,0.0,0.7093879704191672
3.8625,0.132,320,1440,101,0.01,6,0.613357376150067,0.0,0.0,0.613357376150067
3.8625,0.132,320,1440,137,0.01,4,0.7288153831084296,0.00018349544626683367,6.0816922408612106e-05,0.7286318876621628
3.8625,0.132,320,1440,137,0.01,6,0.6357451404957525,3.065466490175692e-05,7.795221272585147e-06,0.6357144858308508
3.8625,0.132,320,1440,173,0.01,4,0.687381150866288,0.0,0.0,0.687381150866288
3.8625,0.132,320,1440,173,0.01,6,0.5812121496327909,0.0,0.0,0.5812121496327909
3.8625,0.132,320,1440,211,0.01,4,0.6825983408042783,0.00011906551436252212,1.724604820860987e-05,0.6824792752899158
3.8625,0.132,320,1440,211,0.01,6,0.576723002144872,8.433287260366117e-06,0.0,0.5767145688576116
