r,epsilon,long_memory_score,odd_even_motif_index,motif_25,motif_50,motif_75,motif_100,motif_125,motif_150,motif_175,motif_200,motif_225,motif_250,motif_260,comp_25,comp_50,comp_75,comp_100,comp_125,comp_150,comp_175,comp_200,comp_225,comp_250,comp_260,frame_25,frame_50,frame_75,frame_100,frame_125,frame_150,frame_175,frame_200,frame_225,frame_250,frame_260,wall_period,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.86,0.095,6.68321070119755e-06,0.22583508014568848,0.0003523809523809524,0.27502,0.0008842105263157894,0.23015555555555553,0.001435294117647059,0.2160625,0.002693333333333333,0.211,0.002630769230769231,0.20493333333333333,0.2037413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2628666666666667,0.8006,0.27565263157894737,0.7840333333333334,0.2845882352941177,0.775875,0.2940533333333334,0.7659571428571429,0.3039076923076923,0.7556166666666667,0.7557758620689655,3.8195918066607724,0.7471870809567532,-0.0016347412416638563,0.4007931016082905,15.0,3.8195918066607724
3.86,0.1117,0.00017464426821500604,0.49464821908466483,0.0001619047619047619,0.51985,0.00015789473684210527,0.5207222222222223,0.0002823529411764706,0.4908,0.00018666666666666666,0.47700000000000004,0.0002923076923076923,0.46595,0.4575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14132380952380952,0.88798,0.14875789473684212,0.8861666666666667,0.1571764705882353,0.8744,0.16346666666666668,0.8672000000000001,0.1715846153846154,0.8617666666666667,0.8578275862068965,330.4,0.7944110944269351,-0.009686635187523449,0.14869632279286477,19.0,111.97069062324537
3.86,0.1283,0.00027814537064337356,0.6598779915115844,0.00020952380952380954,0.50956,0.00015789473684210527,0.9099,5.8823529411764714e-05,0.5021125,0.00010666666666666667,0.8852285714285714,6.153846153846154e-05,0.49318333333333336,0.8684310344827587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15613333333333332,0.84769,0.15830526315789473,0.9758333333333333,0.16129411764705884,0.8432999999999999,0.16305333333333333,0.967442857142857,0.16555384615384616,0.8397,0.9623103448275863,222.00583941605836,0.5684754535123856,0.13409556733869815,0.17325465509168497,23.0,222.00583941605836
3.86,0.145,1.7699076477332355e-05,0.4061132191942904,0.001895238095238095,0.36443,0.0018210526315789476,0.45184444444444444,0.001611764705882353,0.37320000000000003,0.0015733333333333333,0.46375714285714287,0.0016307692307692308,0.3858666666666667,0.4423275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20584761904761906,0.8401099999999999,0.20663157894736842,0.8601444444444445,0.20659999999999998,0.8433875000000001,0.20610666666666666,0.8657571428571428,0.2059076923076923,0.8476666666666667,0.8598965517241378,4.0146841027747175,0.8143508395471765,-0.0013199233104316315,0.3129773993700384,21.0,3.617668216128089
3.88,0.095,5.747486045352119e-06,0.19153228889720533,0.000580952380952381,0.23268,0.002957894736842105,0.20545555555555559,0.005247058823529412,0.1756,0.006293333333333333,0.1874,0.009461538461538462,0.18106666666666665,0.17970689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28959999999999997,0.77062,0.3107684210526316,0.7567,0.32535294117647057,0.7332,0.3376133333333333,0.7265428571428572,0.35418461538461543,0.7103666666666666,0.7087586206896551,3.9063601466957776,0.7628706080494362,-0.0007171386863422071,0.4531941070442187,15.0,3.9063601466957776
3.88,0.1117,0.0003711129370936127,0.5271517214718545,0.000580952380952381,0.59897,0.0007263157894736842,0.5549888888888889,0.0011176470588235294,0.523625,0.0016,0.4956714285714286,0.004938461538461538,0.4714666666666666,0.4642758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12792380952380952,0.89451,0.14463157894736842,0.8729888888888888,0.1603294117647059,0.852875,0.17696,0.8333285714285715,0.19721538461538463,0.8122999999999999,0.8077758620689656,550.0,0.6513730760151566,-0.0070506265154458205,0.12268273743108371,18.0,440.4059040590406
3.88,0.1283,1.0003947259961748e-05,0.6149707709904474,9.523809523809525e-06,0.45345,0.0,0.8880222222222223,1.1764705882352942e-05,0.4482875,1.3333333333333333e-05,0.8398428571428571,3.076923076923077e-05,0.44531666666666664,0.7923965517241379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16768571428571427,0.83367,0.16917894736842104,0.9755222222222223,0.16968235294117645,0.8317125000000001,0.17068,0.966,0.17186153846153845,0.8301166666666667,0.9570172413793104,2.4029197080291973,0.38832917974379877,-0.005194847844103921,0.18015107798376845,29.0,2.3971014492753624
3.88,0.145,0.00016692663827541144,0.5531432265391987,0.00023809523809523812,0.42673000000000005,0.0002526315789473684,0.7752000000000001,0.00048235294117647055,0.41607500000000003,0.00018666666666666666,0.7410285714285714,0.0001076923076923077,0.4079499999999999,0.7269310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15555238095238094,0.85601,0.15958947368421053,0.9452666666666667,0.16287058823529413,0.8525375000000001,0.16354666666666667,0.9362142857142857,0.16666153846153847,0.8499833333333333,0.9314655172413794,221.2,0.6119314322846662,0.1406003593915698,0.16357037167387536,21.0,111.6
3.9,0.095,6.559603027709032e-05,0.12224088571163957,0.004666666666666666,0.14984999999999998,0.006831578947368422,0.14302222222222222,0.012494117647058826,0.1366875,0.015093333333333334,0.12407142857142857,0.018107692307692307,0.11476666666666666,0.10700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34319047619047616,0.73464,0.36909473684210525,0.7139777777777778,0.39284705882352944,0.6974,0.40687999999999996,0.6778714285714286,0.42587692307692304,0.6591666666666667,0.6538793103448276,367.4754901960784,0.8404161859689502,0.0005653287437846766,0.5443124870305587,11.0,112.98909379584947
3.9,0.1117,0.00036809203605622364,0.28150861560953666,0.0020666666666666667,0.34142,0.00431578947368421,0.3165444444444444,0.0082,0.2771375,0.012786666666666668,0.2661,0.019923076923076925,0.2536333333333333,0.2512758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22259047619047617,0.80745,0.2556842105263158,0.7761666666666667,0.2856470588235294,0.7450625000000001,0.31052,0.7229857142857143,0.33173846153846154,0.7005166666666667,0.697655172413793,550.0,0.7387857316489914,-0.007279907854515748,0.25286804116971684,13.0,550.0
3.9,0.1283,0.00011250408890661329,0.5774742508420372,0.00021904761904761907,0.5586800000000001,0.0005368421052631578,0.6701,0.0005647058823529412,0.539725,0.0007466666666666666,0.6070142857142857,0.0008307692307692307,0.51475,0.5717931034482758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11981904761904763,0.89198,0.12758947368421053,0.9177555555555555,0.1352235294117647,0.8785874999999999,0.14496,0.8919428571428571,0.15452307692307693,0.8623666666666667,0.8764655172413793,222.14146341463416,0.6630018483756022,0.015377847245265886,0.12328374818998075,16.0,111.77291666666667
3.9,0.145,2.466202736077195e-05,0.49146504992496326,0.0001238095238095238,0.21682,0.0004526315789473684,0.9224777777777777,0.00041176470588235296,0.21200000000000002,0.0013066666666666665,0.8993428571428572,0.0021538461538461538,0.21113333333333334,0.8804827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2205238095238095,0.7821,0.22390526315789475,0.9769888888888889,0.2275529411764706,0.775425,0.231,0.9658857142857142,0.23503076923076924,0.7703,0.9590689655172413,112.00291970802921,0.33951023237719635,-0.007367509739191191,0.2400528303975748,14.0,2.805839416058394
3.92,0.095,3.2406331088102486e-06,0.007727595313699027,0.026561904761904766,0.04823,0.03492631578947368,0.04282222222222222,0.03568235294117647,0.0423875,0.03712,0.04002857142857143,0.03792307692307693,0.03738333333333334,0.03737931034482759,0.0,0.0,0.0,0.0,1.1764705882352942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5246857142857142,0.60794,0.5632736842105264,0.5896,0.5706352941176471,0.5887249999999999,0.5712666666666667,0.5837,0.5771076923076923,0.5731666666666667,0.5710172413793103,339.16666666666663,0.8905157857207804,-0.019335231279500553,0.9450202161167285,14.0,2.443424233307698
3.92,0.1117,1.5256991749442551e-05,0.25765394559740223,0.0007904761904761904,0.27945,0.002126315789473684,0.2746444444444444,0.0033058823529411767,0.2635125,0.006373333333333333,0.24588571428571426,0.009276923076923077,0.24664999999999998,0.2506206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23285714285714287,0.80307,0.24946315789473683,0.7912333333333332,0.2651647058823529,0.776325,0.28070666666666666,0.7604142857142857,0.29533846153846155,0.7473833333333333,0.7470862068965517,112.46248103134789,0.7493210507555326,-0.008678562956340442,0.33037323888416786,14.0,2.9042480996209847
3.92,0.1283,0.0003769149192699989,0.3289038188041748,0.0017904761904761906,0.41853999999999997,0.002505263157894737,0.36291111111111113,0.004058823529411765,0.31977500000000003,0.00584,0.2919285714285714,0.008307692307692308,0.27386666666666665,0.26736206896551723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20984761904761906,0.81687,0.2417894736842105,0.7826777777777778,0.26816470588235297,0.7563,0.28857333333333335,0.7344,0.3054461538461538,0.7195833333333332,0.7153620689655172,403.3333333333333,0.7486907711421124,0.020738875447702927,0.2080476141286466,13.0,293.7347931873479
3.92,0.145,3.4332038788876485e-05,0.5619233355069423,0.00020952380952380954,0.38237,0.0006315789473684211,0.8560555555555556,0.0007176470588235293,0.38392499999999996,0.00092,0.8286,0.0017384615384615383,0.36288333333333334,0.8169827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17002857142857142,0.8301000000000001,0.1771894736842105,0.9603444444444446,0.18330588235294115,0.8186375,0.18792,0.9462142857142857,0.19256923076923077,0.80885,0.9382931034482759,166.2,0.35305264352924937,-0.01775259113620775,0.16963195240320975,17.0,2.0
3.94,0.095,4.875357929064007e-07,0.0006057205230270257,0.036638095238095233,0.042969999999999994,0.0381578947368421,0.03955555555555555,0.03968235294117647,0.03825,0.041466666666666666,0.038571428571428576,0.040769230769230766,0.04006666666666667,0.042396551724137935,0.0,0.0,0.0,0.0,1.1764705882352942e-05,1.25e-05,0.0,0.0,0.0,0.0,1.7241379310344825e-05,0.572504761904762,0.59285,0.5853789473684211,0.5846111111111111,0.5864235294117647,0.5856250000000001,0.5881466666666666,0.5829285714285715,0.5864307692307692,0.5846666666666667,0.5876724137931035,91.91399081080849,0.9110168516468959,-0.0034130001569677992,1.1191911812130393,13.0,2.5321772849170108
3.94,0.1117,2.4199902619577042e-05,0.26167109491110885,0.0007619047619047619,0.2914,0.0014736842105263158,0.27182222222222224,0.0024588235294117646,0.2598625,0.003986666666666667,0.2515428571428572,0.004507692307692308,0.24691666666666667,0.2449655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23736190476190475,0.80824,0.24808421052631577,0.7977555555555556,0.2534705882352941,0.7900750000000001,0.2604666666666667,0.7834142857142857,0.26890769230769235,0.7745666666666666,0.7722241379310345,167.25037537537537,0.7673024812720787,-0.007548855696190258,0.34400718950893205,11.0,3.736786867232952
3.94,0.1283,0.0003234887509471551,0.5329319961234157,0.0008476190476190478,0.5927,0.001663157894736842,0.5575222222222223,0.0022823529411764706,0.5299125,0.0028933333333333333,0.5092142857142857,0.00716923076923077,0.49016666666666664,0.4848103448275863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13852380952380952,0.87794,0.16257894736842107,0.8531000000000001,0.18008235294117647,0.83445,0.19574666666666668,0.8190285714285714,0.2076769230769231,0.8082499999999999,0.8069655172413792,302.5,0.690772538395466,-0.006490403447273359,0.12786540059402482,14.0,275.4602510460251
