r,epsilon,domain_wall_density,mean_wall_velocity,median_wall_velocity,lag1_similarity,lag5_similarity,lag10_similarity,lag20_similarity,motif_simpson,motif_entropy,motif_count,slow_domain_wall_score
3.4,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0425,4.751619972655992,32,0.01879967054261363
3.4,0.08333333333333333,0.21666666666666667,0.8758992805755396,1.0,0.11666666666666668,0.11666666666666667,1.0,1.0,0.10083333333333333,3.8048743443621342,21,0.0010147625522524861
3.4,0.16666666666666666,0.15,2.7978417266187052,2.5,0.39999999999999997,0.3999999999999999,1.0,1.0,0.19388888888888894,3.1120932537909773,16,2.3570887573641533e-10
3.4,0.25,0.13333333333333333,2.0,2.0,0.26666666666666666,0.2666666666666666,1.0,1.0,0.18291666666666667,3.0846643890916594,15,1.0778055290949953e-07
3.4,0.3333333333333333,0.06666666666666667,2.0,2.0,0.13333333333333333,0.1333333333333333,1.0,1.0,0.29958333333333337,2.347866621508973,13,6.163869235474904e-08
3.4,0.41666666666666663,0.06666666666666667,2.366906474820144,2.25,0.1577937649880096,0.15777777777777782,0.9993589743589745,0.9986111111111112,0.290237216553288,2.345269582848639,10,3.363485566788487e-09
3.4,0.5,0.06666666666666667,2.8902877697841727,3.0,0.19268585131894483,0.19271604938271605,0.9993589743589745,0.9986111111111112,0.31961094104308385,2.2917058357807463,16,5.4895010238647533e-11
3.4,0.5833333333333333,0.03333333333333333,3.0,3.0,0.09999999999999999,0.09999999999999998,1.0,1.0,0.39513888888888893,1.7748814476750616,12,1.5812378302863125e-11
3.4,0.6666666666666666,0.03333333333333333,3.0,3.0,0.09999999999999999,0.09999999999999998,1.0,1.0,0.3827777777777778,1.8248343648083356,10,1.5628296985799055e-11
3.4,0.75,0.0,,,0.0,0.0,1.0,1.0,0.5,0.9999999999999997,2,0.0
3.4,0.8333333333333333,0.03333333333333333,4.0,4.0,0.13333333333333333,0.1333333333333333,1.0,1.0,0.3984722222222222,1.7694132146490698,12,5.552467115937258e-15
