n,topology,motif_size,runs,parity_mean,parity_sd,parity_sem,motif_even_mean,motif_odd_mean
640,local,4,8,0.8090551440403948,0.012177229820945762,0.004305300891228898,0.809081998949878,2.685490948319062e-05
640,local,6,8,0.7525217288694787,0.013691634167307934,0.0048407236826144345,0.7525233233711485,1.5945016698035763e-06
640,rewired,4,8,0.7287187018272814,0.01611484014795484,0.0056974563731780475,0.7287911587138436,7.245688656226796e-05
640,rewired,6,8,0.6425242570554714,0.01759868646450828,0.006222075269514856,0.6425242570554714,0.0
960,local,4,8,0.8058792254914879,0.01176313550197463,0.004158896440731242,0.805902833584468,2.3608092980104154e-05
960,local,6,8,0.748875923915001,0.013002329275842597,0.004597017601084336,0.7488773504766425,1.4265616415119909e-06
960,rewired,4,8,0.7302459932747919,0.02131899731297961,0.007537403784052834,0.7304917306213968,0.00024573734660487837
960,rewired,6,8,0.6443922216744501,0.022965507005934575,0.008119532868641753,0.6443922216744501,0.0
