n,horizon,motif_size,runs,parity_coupled,parity_null,parity_difference,parity_pooled_sd,parity_effect_size,score_coupled,score_null,score_difference,score_pooled_sd,score_effect_size
60,720,4,3,0.7934544893058743,0.0020673685102221002,0.7913871207956522,0.009938391838379078,79.62929351804719,0.0269778266945893,0.0,0.0269778266945893,0.027748022242397422,0.9722432272440914
60,720,6,3,0.7298334622905257,0.0004415030341245333,0.7293919592564012,0.013931144844517681,52.3569288380085,0.0269778266945893,0.0,0.0269778266945893,0.027748022242397422,0.9722432272440914
80,360,4,3,0.7325861419347749,0.0,0.7325861419347749,0.023111270188994257,31.69822064923274,0.047068379073276066,0.0,0.047068379073276066,0.02390577937860905,1.9689121332472836
80,360,6,3,0.6554787406024836,1.033482278853711e-05,0.655468405779695,0.02897527750739723,22.62164376552934,0.03994322586610513,0.0,0.03994322586610513,0.020203102707646067,1.977083740260758
80,720,4,3,0.7875935327831577,0.0017100420531939002,0.7858834907299638,0.020660919203006636,38.03719878133978,0.0008764148139367667,0.0,0.0008764148139367667,0.0010733845485806687,0.8164965809277261
80,720,6,3,0.7259312877162186,0.00027343564445190003,0.7256578520717667,0.026329248501403182,27.560902546576433,0.0008528378459513,0.0,0.0008528378459513,0.0010445087779575048,0.8164965809277259
120,360,4,3,0.7314086772847558,0.0008848275044151333,0.7305238497803407,0.023724398172461178,30.792091941380356,0.03138104872875197,0.0,0.03138104872875197,0.025883868237482274,1.212378630614
120,360,6,3,0.6547404020710472,0.0005534542451169334,0.6541869478259303,0.030886318264677297,21.180476812417037,0.028049182334814404,0.0,0.028049182334814404,0.0239578714385914,1.1707710514562955
120,720,4,3,0.7634656558112538,0.0016393229973776667,0.7618263328138761,0.01680617645176835,45.33014008273825,0.005342018103912267,0.0,0.005342018103912267,0.0019294424005048701,2.7686849332814707
120,720,6,3,0.6963631530585266,0.00027567606836636664,0.6960874769901603,0.022614875007472654,30.780071822645557,0.0051848514428486,0.0,0.0051848514428486,0.0019446234579686653,2.666249561889295
160,360,4,3,0.7347022154305316,0.0012531638445517,0.73344905158598,0.02125244254340839,34.51128264847208,0.0050421375966011,0.0,0.0050421375966011,0.0016255044581409562,3.1018909676616024
160,360,6,3,0.6593048753328813,0.0006738754435414001,0.6586309998893399,0.026352591294655225,24.993026018770383,0.004602436944602133,0.0,0.004602436944602133,0.0016702783414798913,2.755491004286331
160,720,4,3,0.7494826422276616,0.0014748206254772333,0.7480078216021844,0.02599768460069916,28.77209386493088,0.006543326621567866,0.0,0.006543326621567866,0.0009179803015898214,7.127959728804293
160,720,6,3,0.6791949911580848,0.00022638031202091807,0.6789686108460639,0.03268052219436476,20.77594130252733,0.005948542788856634,0.0,0.005948542788856634,0.0004910118344498243,12.114866427856956
240,360,4,3,0.7493953155713383,0.0014273247179691,0.7479679908533692,0.001542448514667766,484.92250064792404,0.017601676158994134,0.0,0.017601676158994134,0.011591380098136985,1.5185142761234403
240,360,6,3,0.672457909539906,0.0007086700671873001,0.6717492394727187,0.004202846416967056,159.831974054736,0.0164545736994836,0.0,0.0164545736994836,0.010840723295985451,1.5178483252659973
240,720,4,3,0.7738755005981557,0.0015735103655645335,0.7723019902325912,0.000858846005782358,899.2322081408175,0.0069033343361413,0.0,0.0069033343361413,0.0011887148320282779,5.80739311914052
240,720,6,3,0.7053673466637216,0.0005389411263412333,0.7048284055373804,0.0027570861214283675,255.6425060716743,0.0069033343361413,0.0,0.0069033343361413,0.0011887148320282779,5.80739311914052
