r,epsilon,n,horizon,seed,motif_size,topology,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_entropy,cluster_lifetime,atlas_score
3.8625,0.132,320,1440,307,4,local,0.9357834330453496,0.10623389382773636,0.8422032671615526,2.869731218540832e-05,4.332741552724163e-06,0.8421745698493672,0.281398175340768,1,0.0021421132170057816
3.8625,0.132,320,1440,307,4,rewired,0.9246839212303399,0.12295022950552145,0.7461240029282799,4.684987793474836e-05,0.0,0.746077153050345,0.18940527356664355,3,0.006279947105754647
3.8625,0.132,320,1440,307,6,local,0.9357834330453496,0.10623389382773636,0.7882352819039562,0.0,0.0,0.7882352819039562,0.281398175340768,1,0.0021421132170057816
3.8625,0.132,320,1440,307,6,rewired,0.9246839212303399,0.12295022950552145,0.6547614935705004,0.0,0.0,0.6547614935705004,0.18940527356664355,3,0.005603529421181792
3.8625,0.132,320,1440,359,4,local,0.9112345082597569,0.14644003377143955,0.7900461661798499,4.5760974288902826e-05,1.716753612950518e-05,0.790000405205561,0.16044506645894438,1,0.0021479996708536632
3.8625,0.132,320,1440,359,4,rewired,0.9156478113211218,0.13991027975787215,0.7366796860938265,0.0007842326286457751,0.0,0.7358954534651807,0.10941544072825389,3,0.006113611059880237
3.8625,0.132,320,1440,359,6,local,0.9112345082597569,0.14644003377143955,0.7282042246835548,0.0,0.0,0.7282042246835548,0.16044506645894438,1,0.0021479996708536632
3.8625,0.132,320,1440,359,6,rewired,0.9156478113211218,0.13991027975787215,0.6530266532274019,0.0,0.0,0.6530266532274019,0.10941544072825389,3,0.005429856840002749
3.8625,0.132,320,1440,401,4,local,0.9303661318177536,0.11563074753898117,0.8288239635969463,8.406527502685869e-06,0.0,0.8288155570694437,0.31051528779515386,0,0.0
3.8625,0.132,320,1440,401,4,rewired,0.9103206530522279,0.1482037160099384,0.7087141674902975,0.000780890421520822,0.0,0.7079332770687766,0.18871536890709928,3,0.00659606228872492
3.8625,0.132,320,1440,401,6,local,0.9303661318177536,0.11563074753898117,0.7729723191138285,0.0,0.0,0.7729723191138285,0.31051528779515386,0,0.0
3.8625,0.132,320,1440,401,6,rewired,0.9103206530522279,0.1482037160099384,0.613399795625629,0.0,0.0,0.613399795625629,0.18871536890709928,3,0.004810149016547602
3.8625,0.132,320,1440,457,4,local,0.9318699622752131,0.11299027482769804,0.8319253476170662,1.3238239062579455e-05,3.363933076147475e-06,0.8319121093780035,0.3072031441177637,3,0.006630897232203534
3.8625,0.132,320,1440,457,4,rewired,0.9372338431307672,0.1023071423198914,0.7948250616962834,0.0,9.222107363942733e-05,0.7948250616962834,0.13491594103470245,3,0.00576928522048497
3.8625,0.132,320,1440,457,6,local,0.9318699622752131,0.11299027482769804,0.7787375215637493,0.0,0.0,0.7787375215637493,0.3072031441177637,3,0.006630897232203534
3.8625,0.132,320,1440,457,6,rewired,0.9372338431307672,0.1023071423198914,0.7144478747842937,0.0,0.0,0.7144478747842937,0.13491594103470245,3,0.00576928522048497
